timestamp,d0,d1,d2,d3,v_mm_s,gz
1783084553.503722,9081,8611,1717,3687,0.0000,-0.0600
1783084553.519930,9052,8658,1782,3649,0.0000,-0.0600
1783084553.535780,8687,8602,1735,3658,0.0000,-0.0600
1783084553.551737,9090,8668,1735,3621,0.0000,-0.0600
1783084553.568016,8696,8743,1726,3640,26.0100,0.0000
1783084553.583111,8724,8611,1754,3640,26.0100,0.0000
1783084553.599090,8677,8733,1735,3621,26.0100,0.0000
1783084553.615009,8677,8593,1735,3696,58.3400,0.0000
1783084553.630846,8827,8649,1735,3668,58.3400,0.0000
1783084553.646788,9062,8574,1773,3640,58.3400,0.0000
1783084553.662700,8752,8593,1726,3640,80.0400,-3.3800
1783084553.680800,9127,8649,1792,3640,80.0400,-3.3800
1783084553.696798,9062,8593,1792,3668,80.0400,-3.3800
1783084553.712811,9071,8640,1754,3687,106.0700,0.0600
1783084553.730065,9165,8546,1782,3687,106.0700,0.0600
1783084553.747984,9118,8593,1764,3687,106.0700,0.0600
1783084553.763815,8668,8593,1839,3602,115.9200,-2.3100
1783084553.781954,8658,8593,1792,3649,115.9200,-2.3100
1783084553.802222,8658,8555,1754,3649,115.9200,-2.3100
1783084553.817869,8630,8565,1764,3621,124.4200,1.3100
1783084553.835110,8630,8565,1735,3583,124.4200,1.3100
1783084553.852210,8630,8583,1726,3640,124.4200,1.3100
1783084553.868116,8677,8565,1745,3677,124.4200,-0.2500
1783084553.886084,8677,8536,1735,3612,124.4200,-0.2500
1783084553.904099,8762,8555,1782,3612,127.1200,0.9400
1783084553.922582,8762,8546,1726,3658,127.1200,0.9400
1783084553.937931,9109,8499,1745,3602,127.1200,0.9400
1783084553.953915,8649,8546,1698,3574,127.1200,0.9400
1783084553.970087,8705,8546,1698,3630,127.1200,0.9400
1783084553.985930,9052,8527,1689,3649,127.1200,0.9400
1783084554.002132,8621,8518,1717,3649,127.1200,0.9400
1783084554.018424,9118,8536,1679,3602,129.8300,1.1200
1783084554.034205,9034,8574,1670,3621,129.8300,1.1200
1783084554.049998,8724,8499,1717,3630,129.8300,1.1200
1783084554.065031,8687,8555,1689,3640,137.9400,0.2500
1783084554.080954,8630,8518,1632,3630,137.9400,0.2500
1783084554.097016,8630,8499,1660,3649,137.9400,0.2500
1783084554.113342,8668,8536,1595,3583,140.6400,2.0000
1783084554.133100,8668,8536,1613,3593,140.6400,2.0000
1783084554.149319,9043,8499,1613,3593,140.6400,2.0000
1783084554.164309,9043,8527,1595,3630,148.7600,0.8800
1783084554.181186,9081,8527,1651,3612,148.7600,0.8800
1783084554.198187,9081,8480,1632,3612,148.7600,0.8800
1783084554.215075,9034,8527,1613,3649,146.0500,0.7500
1783084554.233192,8762,8536,1613,3649,146.0500,0.7500
1783084554.248426,9184,8536,1595,3574,146.0500,0.7500
1783084554.268103,8658,8536,1595,3593,151.1400,-1.2500
1783084554.284288,8649,8546,1595,3602,151.1400,-1.2500
1783084554.301384,8649,8546,1623,3593,151.1400,-1.2500
1783084554.317398,8724,8518,1660,3555,157.3100,-0.6300
1783084554.333239,8818,8471,1604,3593,157.3100,-0.6300
1783084554.350315,8818,8471,1698,3565,157.3100,-0.6300
1783084554.366336,8677,8452,1623,3555,156.8700,-0.6300
1783084554.383757,8677,8518,1679,3574,156.8700,-0.6300
1783084554.399416,8687,8471,1632,3546,156.8700,-0.6300
1783084554.415497,8611,8452,1651,3555,164.9900,-0.3100
1783084554.431580,8677,8461,1670,3537,164.9900,-0.3100
1783084554.447401,9081,8490,1698,3593,164.9900,-0.3100
1783084554.463154,9071,8499,1698,3555,162.2800,0.4400
1783084554.479336,8630,8471,1679,3546,162.2800,0.4400
1783084554.495168,9071,8480,1698,3546,162.2800,0.4400
1783084554.511217,8649,8452,1717,3565,170.4000,-1.3700
1783084554.527366,8611,8480,1698,3565,170.4000,-1.3700
1783084554.543217,9043,8405,1717,3527,170.4000,-1.3700
1783084554.559791,8687,8490,1689,3537,167.6900,0.2500
1783084554.574505,8687,8461,1698,3546,167.6900,0.2500
1783084554.591314,8640,8461,1707,3602,167.6900,0.2500
1783084554.607453,9090,8480,1679,3537,175.8000,-0.3700
1783084554.622685,8658,8461,1764,3508,175.8000,-0.3700
1783084554.638316,8640,8452,1717,3537,175.8000,-0.3700
1783084554.654461,8687,8443,1754,3583,175.8000,-0.2500
1783084554.670223,8705,8433,1792,3537,175.8000,-0.2500
1783084554.686298,9109,8461,1717,3537,175.8000,-0.2500
1783084554.702466,8649,8452,1735,3546,175.8000,-0.2500
1783084554.720441,8649,8433,1707,3565,182.9600,0.1900
1783084554.736319,8649,8377,1717,3583,182.9600,0.1900
1783084554.754368,9052,8377,1726,3461,182.9600,0.1900
1783084554.770389,9052,8396,1717,3508,187.6700,0.6900
1783084554.787419,9062,8415,1764,3499,187.6700,0.6900
1783084554.803509,8593,8405,1754,3471,185.6200,0.6300
1783084554.818358,8705,8433,1754,3508,185.6200,0.6300
1783084554.834590,9043,8405,1764,3471,185.6200,0.6300
1783084554.850408,8602,8396,1764,3508,185.6200,0.6300
1783084554.866335,8640,8386,1735,3471,198.7100,-0.3100
1783084554.882467,9015,8377,1754,3518,198.7100,-0.3100
1783084554.899106,8630,8396,1726,3490,198.7100,-0.3100
1783084554.914364,8593,8377,1782,3518,190.9200,-0.0600
1783084554.930459,8593,8424,1764,3471,190.9200,-0.0600
1783084554.946462,8630,8377,1782,3443,190.9200,-0.0600
1783084554.962364,8630,8377,1764,3499,204.2300,0.0000
1783084554.978418,8658,8377,1754,3499,204.2300,0.0000
1783084554.994372,9005,8415,1726,3480,204.2300,0.0000
1783084555.010312,9034,8752,1810,3490,205.5600,-0.8800
