Standard EKF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=6547.4  y=985.7
   0.002       1     6565.4      912.6
   0.016       2     6590.4      935.8
   0.033       3     6585.3      937.3
   0.050       4     6589.7      942.9
   0.066       5     6587.2      934.0
   0.083       6     6586.3      930.0
   0.100       7     6584.4      932.1
   0.117       8     6582.2      928.3
   0.134       9     6579.1      928.4
   0.152      10     6581.5      928.9
   0.169      11     6579.8      930.6
   0.186      12     6577.2      932.9
   0.202      13     6575.0      933.0
   0.219      14     6572.9      933.6
   0.236      15     6573.2      933.2
   0.253      16     6574.0      933.2
   0.270      17     6574.8      934.5
   0.287      18     6574.2      932.5
   0.304      19     6573.5      932.2
   0.320      20     6574.6      931.5
   0.337      21     6574.0      930.2
   0.354      22     6576.0      930.8
   0.371      23     6575.6      930.2
   0.388      24     6576.1      929.2
   0.405      25     6576.3      928.6
   0.422      26     6575.9      927.7
   0.438      27     6575.4      928.0
   0.454      28     6574.6      928.5
   0.473      29     6573.3      928.1
   0.489      30     6573.0      927.1
   0.506      31     6572.6      925.6
   0.523      32     6572.1      924.1
   0.540      33     6571.2      924.8
   0.556      34     6571.5      925.6
   0.575      35     6571.0      925.8
   0.591      36     6571.5      924.7
   0.608      37     6571.7      924.7
   0.625      38     6572.3      925.1
   0.642      39     6571.9      925.0
   0.659      40     6571.7      925.6
   0.676      41     6571.6      926.0
   0.692      42     6571.3      926.1
   0.709      43     6572.3      924.5
   0.726      44     6572.8      925.3
   0.743      45     6572.9      925.7
   0.760      46     6572.1      925.5
   0.777      47     6572.5      925.3
   0.795      48     6572.6      925.5
   0.812      49     6572.7      924.9
   0.829      50     6572.5      925.7
   0.845      51     6571.9      925.1
   0.862      52     6571.9      924.7
   0.879      53     6571.9      924.4
   0.896      54     6572.4      923.8
   0.912      55     6571.9      924.2
   0.929      56     6572.2      924.2
   0.946      57     6571.8      925.3
   0.963      58     6571.8      925.8
   0.980      59     6571.2      925.7
   0.996      60     6571.1      925.1
   1.015      61     6571.1      924.9
   1.031      62     6571.3      924.8
   1.048      63     6571.2      925.1
   1.065      64     6571.1      925.0
   1.082      65     6570.7      924.9
   1.099      66     6570.5      924.6
   1.116      67     6570.5      924.7
   1.132      68     6570.0      924.3
   1.149      69     6569.9      924.4
   1.166      70     6569.8      924.5
   1.183      71     6570.1      924.0
   1.200      72     6570.6      924.2
   1.217      73     6570.9      923.6
   1.234      74     6570.4      923.9
   1.251      75     6570.3      924.2
   1.267      76     6570.0      924.2
   1.284      77     6569.8      924.5
   1.301      78     6569.7      924.3
   1.318      79     6570.3      924.7
   1.335      80     6570.8      924.3
   1.352      81     6570.5      924.0
   1.369      82     6570.7      923.7
   1.386      83     6569.9      924.3
   1.402      84     6569.8      924.2
   1.419      85     6569.9      924.4
   1.436      86     6570.1      924.3
   1.453      87     6570.2      924.4
   1.470      88     6570.2      924.6
   1.487      89     6570.3      924.3
   1.504      90     6570.5      924.6
   1.521      91     6570.7      924.7
   1.537      92     6570.6      925.0
   1.554      93     6571.0      925.0
   1.571      94     6571.5      925.3
   1.588      95     6571.5      925.8
   1.605      96     6571.3      926.0
   1.622      97     6571.4      925.9
   1.639      98     6571.6      926.1
   1.656      99     6571.9      926.4
   1.672     100     6571.9      926.5
   1.689     101     6572.0      926.7
   1.705     102     6572.4      926.5
   1.722     103     6572.3      926.7
   1.739     104     6572.7      926.6
   1.756     105     6572.6      926.7
   1.773     106     6572.7      926.9
   1.789     107     6572.6      926.7
   1.806     108     6572.4      926.5
   1.823     109     6572.4      926.3
   1.840     110     6572.1      926.2
   1.856     111     6572.4      926.1
   1.873     112     6572.6      926.1
   1.890     113     6572.7      926.3
   1.907     114     6572.5      925.9
   1.924     115     6572.5      926.6
   1.941     116     6572.3      927.0
   1.958     117     6572.9      927.3
   1.975     118     6572.8      927.3
   1.991     119     6573.0      926.6
   2.008     120     6573.2      927.3
   2.024     121     6573.5      927.4
   2.041     122     6573.5      927.5
   2.058     123     6573.4      927.8
   2.075     124     6573.7      927.9
   2.092     125     6573.3      928.2
   2.109     126     6573.2      928.5
   2.126     127     6573.4      928.4
   2.143     128     6573.4      928.1
   2.159     129     6573.5      928.1
   2.176     130     6573.9      928.3
   2.193     131     6573.9      928.3
   2.210     132     6574.0      928.5
   2.227     133     6574.2      928.2
   2.244     134     6574.4      927.9
   2.261     135     6574.3      927.7
   2.278     136     6574.5      927.8
   2.294     137     6574.2      927.6
   2.311     138     6574.3      927.9
   2.328     139     6574.2      928.2
   2.345     140     6574.8      928.3
   2.362     141     6574.7      928.3
   2.379     142     6574.9      928.1
   2.396     143     6575.3      928.4
   2.413     144     6575.5      928.6
   2.429     145     6576.0      928.6
   2.446     146     6576.1      928.6
   2.463     147     6575.9      928.8
   2.480     148     6576.0      928.9
   2.497     149     6575.9      928.9
   2.514     150     6575.8      929.2
   2.531     151     6575.7      929.0
   2.548     152     6575.7      929.1
   2.565     153     6575.4      929.0
   2.581     154     6575.5      928.8
   2.598     155     6575.5      928.9
   2.615     156     6575.4      929.2
   2.632     157     6575.3      929.5
   2.649     158     6575.5      929.6
   2.666     159     6575.5      929.4
   2.683     160     6575.5      929.3
   2.700     161     6575.2      929.3
   2.716     162     6575.4      929.3
   2.733     163     6575.5      929.3
   2.750     164     6575.5      929.5
   2.767     165     6575.4      929.3
   2.784     166     6575.8      929.3
   2.801     167     6575.6      929.2
   2.818     168     6575.5      929.5
   2.835     169     6575.6      929.7
   2.851     170     6575.4      929.8
   2.868     171     6575.4      929.6
   2.885     172     6575.2      929.7
   2.902     173     6575.5      929.7
   2.919     174     6575.5      929.8
   2.936     175     6575.7      929.7
   2.954     176     6576.1      929.6
   2.971     177     6576.1      929.5
   2.987     178     6575.9      929.2
   3.004     179     6576.0      929.3
   3.021     180     6576.1      929.2
   3.038     181     6576.0      929.5
   3.055     182     6575.8      929.6
   3.072     183     6575.7      929.7
   3.089     184     6575.6      929.8
   3.106     185     6575.6      929.6
