KF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=6568.4  y=985.2
   0.002       1     6601.2      936.9
   0.017       2     6582.0      945.6
   0.034       3     6572.9      925.3
   0.050       4     6561.2      922.4
   0.067       5     6561.3      920.3
   0.084       6     6561.8      917.3
   0.101       7     6563.8      914.0
   0.118       8     6567.9      920.0
   0.135       9     6566.0      918.3
   0.152      10     6566.6      916.6
   0.168      11     6564.4      918.0
   0.184      12     6562.0      916.6
   0.201      13     6561.1      917.4
   0.218      14     6560.4      917.1
   0.235      15     6559.9      916.9
   0.252      16     6561.4      916.2
   0.269      17     6562.0      917.5
   0.286      18     6562.8      917.4
   0.303      19     6564.0      917.0
   0.320      20     6563.2      917.7
   0.336      21     6562.0      917.4
   0.353      22     6562.2      916.2
   0.370      23     6560.2      914.5
   0.387      24     6560.1      914.5
   0.404      25     6560.9      915.3
   0.421      26     6561.2      914.8
   0.440      27     6561.7      914.4
   0.455      28     6560.8      916.1
   0.472      29     6560.9      917.5
   0.489      30     6561.2      916.9
   0.507      31     6560.3      918.2
   0.523      32     6562.0      917.8
   0.540      33     6562.1      918.6
   0.557      34     6562.1      918.5
   0.574      35     6562.0      918.3
   0.590      36     6561.9      918.6
   0.607      37     6561.6      919.8
   0.624      38     6562.2      919.1
   0.641      39     6562.4      919.2
   0.658      40     6562.3      920.0
   0.675      41     6562.7      920.1
   0.693      42     6562.8      920.1
   0.709      43     6562.5      921.1
   0.726      44     6562.4      921.0
   0.742      45     6562.8      921.1
   0.759      46     6564.0      921.8
   0.777      47     6563.8      921.9
   0.793      48     6563.4      921.6
   0.811      49     6564.4      922.3
   0.827      50     6564.5      921.6
   0.844      51     6564.5      922.5
   0.861      52     6564.8      922.1
   0.877      53     6565.6      922.1
   0.893      54     6565.4      921.6
   0.910      55     6564.4      921.4
   0.927      56     6564.7      922.4
   0.944      57     6565.2      922.6
   0.962      58     6565.1      922.8
   0.978      59     6564.3      923.0
   0.996      60     6564.0      923.7
   1.012      61     6564.3      924.3
   1.029      62     6564.8      924.9
   1.046      63     6564.9      924.8
   1.063      64     6564.5      925.1
   1.079      65     6564.8      925.6
   1.095      66     6565.0      925.3
   1.113      67     6565.0      925.0
   1.130      68     6565.7      924.8
   1.146      69     6565.4      924.6
   1.163      70     6564.9      924.8
   1.180      71     6564.1      924.8
   1.197      72     6563.2      924.5
   1.214      73     6562.7      924.8
   1.231      74     6562.6      924.8
   1.247      75     6563.0      924.8
   1.264      76     6563.2      924.9
   1.281      77     6563.4      925.0
   1.297      78     6563.3      924.9
   1.314      79     6563.0      924.8
   1.333      80     6562.4      925.1
   1.349      81     6562.7      925.8
   1.366      82     6562.1      925.4
   1.383      83     6562.6      925.6
   1.400      84     6562.8      925.2
   1.418      85     6562.8      925.0
   1.434      86     6562.9      924.9
   1.451      87     6563.1      925.3
   1.468      88     6563.1      925.3
   1.485      89     6564.0      925.1
   1.502      90     6563.9      925.1
   1.519      91     6564.0      925.3
   1.536      92     6564.1      925.3
   1.552      93     6564.4      925.9
   1.568      94     6564.5      926.0
   1.585      95     6564.7      926.1
   1.602      96     6564.4      926.0
   1.620      97     6564.6      926.0
   1.636      98     6565.0      926.0
   1.655      99     6565.8      926.3
   1.671     100     6565.7      926.5
   1.688     101     6565.7      926.5
