timestamp,d0,d1,d2,d3,v_mm_s,gz
1784799068.046728,9550,9052,1867,4343,29.1700,0.0000
1784799068.071719,9399,9090,1829,4362,29.1700,0.0000
1784799068.097565,9437,9034,1848,4334,71.5900,-1.3100
1784799068.122452,9437,9090,1820,4334,71.5900,-1.3100
1784799068.147763,9381,9052,1857,4343,80.0400,-0.8800
1784799068.173387,9475,9090,1810,4343,80.0400,-0.8800
1784799068.198768,9475,9118,1848,4334,100.0700,-0.9400
1784799068.223827,9437,9099,1904,4278,100.0700,-0.9400
1784799068.249383,9512,9090,1886,4278,102.7800,0.5000
1784799068.274651,9512,9062,1895,4296,102.7800,0.5000
1784799068.299803,9596,9109,1876,4296,111.3700,-0.3100
1784799068.325339,9587,9071,1829,4306,111.3700,-0.3100
1784799068.350431,9690,9118,1895,4287,118.6800,-1.1900
1784799068.375533,9690,9109,1857,4287,118.6800,-1.1900
1784799068.401290,9981,9137,1820,4278,121.7100,0.5600
1784799068.426414,9944,9090,1839,4268,121.7100,0.5600
1784799068.451560,9859,9090,1867,4268,116.6700,0.2500
1784799068.476708,9559,9062,1792,4268,116.6700,0.2500
1784799068.502441,9212,9099,1876,4231,124.1900,-0.6900
1784799068.527809,9550,9109,1839,4212,124.1900,-0.6900
1784799068.552810,9324,9165,1857,4212,129.8300,-1.0000
1784799068.578392,9653,9137,1857,4212,129.8300,-1.0000
1784799068.603744,9259,9156,1839,4221,129.9300,-0.1900
1784799068.628815,9212,9184,1829,4231,129.9300,-0.1900
1784799068.654377,9296,9146,1829,4221,135.2300,-0.2500
1784799068.679501,9287,9193,1857,4193,135.2300,-0.2500
1784799068.704599,9343,9193,1876,4174,135.2300,-0.4400
1784799068.730366,9390,8771,1857,4212,135.2300,-0.4400
1784799068.755467,9390,8752,1904,4184,143.5100,0.6900
1784799068.780752,9596,9221,1923,4137,143.5100,0.6900
1784799068.806365,9606,8846,1886,4156,146.0500,-0.1900
1784799068.831817,9653,8536,1970,4146,146.0500,-0.1900
1784799068.856793,9653,8921,1942,4156,146.0500,0.0600
1784799068.882321,9334,8649,1932,4165,146.0500,0.0600
1784799068.907437,9324,8574,1923,4118,148.4900,-1.2500
1784799068.932805,9324,8574,1848,4165,148.4900,-1.2500
1784799068.958127,9221,8640,1848,4193,154.5500,0.7500
1784799068.983576,9296,8611,1886,4203,154.5500,0.7500
1784799069.008533,9653,8658,1867,4174,153.8000,0.3700
1784799069.033849,9625,8940,1876,4203,153.8000,0.3700
1784799069.059413,9503,9015,1867,4193,165.5900,0.8100
1784799069.084511,9362,8921,1848,4231,165.5900,0.8100
1784799069.109661,9287,8846,1886,4203,162.2800,-0.2500
1784799069.135432,9296,8762,1829,4203,162.2800,-0.2500
1784799069.160810,9268,8715,1839,4137,170.4000,-0.4400
1784799069.185814,9287,8715,1848,4109,170.4000,-0.4400
1784799069.211394,9212,8733,1867,4099,169.7100,-1.3100
1784799069.236500,9212,8705,1820,4081,169.7100,-1.3100
1784799069.261812,9221,8696,1848,4081,179.3900,-0.9400
1784799069.287355,9259,8733,1848,3996,179.3900,-0.9400
1784799069.312481,9278,8790,1876,3996,180.3100,-2.1900
1784799069.337578,9259,8762,1867,3968,180.3100,-2.1900
1784799069.362824,9221,8677,1810,3949,193.1900,-0.9400
1784799069.388453,9249,8762,1867,3921,193.1900,-0.9400
1784799069.413555,9231,8696,1848,3884,185.6200,-0.7500
1784799069.438689,9212,8649,1857,3912,185.6200,-0.7500
1784799069.464818,9174,9240,1820,3912,198.7100,1.9400
1784799069.489815,9174,8818,1829,3874,198.7100,1.9400
1784799069.514804,9221,8837,1904,3921,202.8500,-0.7500
1784799069.540435,9193,8959,1886,3968,202.8500,-0.7500
1784799069.565530,9212,8959,1923,3977,202.8500,2.3100
1784799069.590834,9193,8621,1876,3874,202.8500,2.3100
1784799069.616425,9240,8630,1961,3884,205.5600,0.4400
1784799069.641525,9212,8668,1886,3931,205.5600,0.4400
1784799069.666663,9231,8687,1876,3902,202.8500,1.8800
1784799069.692506,9202,8649,1923,3921,205.5600,-0.5000
1784799069.717513,9278,8536,1895,3893,205.5600,-0.5000
1784799069.742596,9240,8583,1951,3987,205.5600,-0.5000
1784799069.768361,9287,8499,1895,3987,205.5600,-0.2500
1784799069.793847,9240,8518,1932,3968,205.5600,-0.2500
1784799069.818836,9268,8546,1942,3940,198.8700,-1.3100
1784799069.843826,9221,8593,1970,3977,204.2300,-0.1900
1784799069.869493,9212,8687,1914,4034,204.2300,-0.1900
1784799069.894586,9240,8771,1989,3931,204.2300,-0.1900
1784799069.919849,9137,8940,1942,3996,205.5600,0.3100
1784799069.945466,9193,9118,1961,3996,200.1500,1.1900
1784799069.970562,9193,9137,1932,3968,200.1500,1.1900
1784799069.995651,9240,9184,1989,3949,202.8500,-0.6900
1784799070.021445,9278,9118,1989,4015,202.8500,-0.6900
1784799070.046776,9240,9193,1979,4024,200.1500,-0.4400
1784799070.071651,9240,9334,2045,4024,200.1500,-0.4400
1784799070.097506,9240,9315,1979,3940,197.4400,0.0600
1784799070.122858,9231,8621,1989,3931,197.4400,0.0600
1784799070.147932,9165,8752,2017,3893,193.5700,0.2500
1784799070.173435,9127,8733,1989,3959,193.5700,0.2500
1784799070.198505,9174,8733,2045,3987,194.7400,1.1900
1784799070.223874,9174,8771,2007,3987,194.7400,1.1900
1784799070.249389,9165,8808,1979,4006,201.4700,-1.8100
1784799070.274508,9127,8808,2036,4006,201.4700,-1.8100
1784799070.299617,9165,8846,2054,4109,197.4400,-0.1200
1784799070.324883,9165,8855,2073,4071,197.4400,-0.1200
1784799070.350699,9165,8855,2045,4099,197.4400,-0.3700
1784799070.375601,9174,8808,2054,4024,197.4400,-0.3700
1784799070.400717,9184,8874,2083,4071,201.5300,1.2500
1784799070.426512,9202,8808,2148,4006,201.5300,1.2500
1784799070.451872,9259,8902,2120,3968,204.2300,-1.5000
1784799070.476882,9306,8921,2148,3949,204.2300,-1.5000
1784799070.502470,9296,8902,2158,3996,197.4400,2.8800
1784799070.527569,9278,8940,2186,3977,197.4400,2.8800
1784799070.552950,9296,8940,2242,3987,202.8500,-0.8100
1784799070.578458,9287,8940,2298,3921,202.8500,-0.8100
1784799070.603557,9268,8949,2223,3968,201.5300,2.0000
1784799070.628684,9268,8912,2261,3931,201.5300,2.0000
1784799070.654410,9287,8977,2251,3912,204.2300,-0.4400
1784799070.679537,9268,8987,2204,3949,204.2300,-0.4400
1784799070.704684,9268,9015,2214,3949,196.2200,1.0600
1784799070.730423,9221,8968,2186,3855,196.2200,1.0600
1784799070.755877,9221,9024,2280,3874,206.9900,0.3100
1784799070.780914,9221,9062,2261,3846,206.9900,0.3100
1784799070.805926,9249,8987,2214,3865,202.8500,0.1900
1784799070.831568,9249,8987,2186,3921,202.8500,0.1900
1784799070.856885,9249,8968,2251,3912,198.8700,-1.1200
1784799070.881928,9240,8977,2223,3855,198.8700,-1.1200
1784799070.907510,9296,9015,2167,3855,202.8500,-1.5000
1784799070.932594,9249,9052,2158,3855,202.8500,-1.5000
1784799070.957741,9287,9081,2280,3809,206.9900,-1.2500
1784799070.983490,9278,9005,2261,3874,206.9900,-1.2500
1784799071.008592,9278,9099,2270,3874,205.5600,3.0000
1784799071.033705,9212,9099,2326,3799,205.5600,3.0000
1784799071.059478,9240,9015,2251,3799,201.5300,-0.1900
1784799071.084905,9259,8977,2251,3874,201.5300,-0.1900
1784799071.109908,9259,8949,2280,3743,204.2300,2.4400
1784799071.135445,9193,8930,2233,3827,204.2300,2.4400
1784799071.160579,9249,8987,2242,3893,202.8500,-1.8100
1784799071.185926,9240,8959,2242,3912,202.8500,-1.8100
1784799071.211026,9165,8949,2204,3865,201.5300,0.2500
1784799071.236560,9240,8949,2251,3884,201.5300,0.2500
1784799071.261893,9174,8949,2204,3902,206.9900,0.4400
1784799071.286780,9221,8940,2223,3865,206.9900,0.4400
1784799071.312544,9184,8940,2223,3696,202.8500,-1.1900
1784799071.337654,9202,8874,2251,3799,202.8500,-1.1900
1784799071.362775,9137,8884,2204,3799,202.8500,-0.6900
1784799071.388524,9127,8921,2214,3752,202.8500,-0.6900
1784799071.413923,9156,8771,2270,3790,205.5600,-2.5600
1784799071.438945,9156,8827,2261,3734,205.5600,-2.5600
1784799071.464518,9174,8827,2242,3771,205.5600,0.8100
1784799071.489603,9127,8846,2308,3415,205.5600,0.8100
1784799071.514946,9127,8930,2223,3771,205.5600,-1.0600
1784799071.540503,9146,8968,2167,3518,205.5600,-1.0600
1784799071.565603,9127,8940,2214,3161,205.5600,2.0600
1784799071.590695,9193,8959,2204,3499,205.5600,2.0600
1784799071.616009,9137,8959,2242,3724,205.5600,0.5600
1784799071.641604,9146,8949,2167,3762,205.5600,0.5600
1784799071.666698,9174,8930,2251,3818,205.5600,1.6300
1784799071.691899,9184,8893,2233,3461,205.5600,1.6300
1784799071.717622,9184,8874,2233,3415,205.5600,0.9400
1784799071.742930,9202,8940,2223,3452,205.5600,0.9400
1784799071.767996,9249,8959,2223,3433,200.1500,1.1200
1784799071.793555,9212,8949,2242,3499,200.1500,0.1200
1784799071.818635,9202,8940,2261,3461,200.1500,0.1200
1784799071.843980,9184,8940,2261,3415,200.1500,0.1200
1784799071.869541,9174,8930,2233,3734,196.2200,-0.9400
1784799071.894643,9127,8949,2233,3452,197.4400,-0.6300
1784799071.919770,9127,8865,2223,3677,197.4400,-0.6300
1784799071.945489,9146,8846,2233,3630,197.4400,0.0000
1784799071.970630,9081,8930,2251,3687,197.4400,0.0000
1784799071.995748,9156,8902,2270,3630,197.4400,0.0000
1784799072.021481,9127,8902,2233,3630,200.1500,1.5600
1784799072.046999,9099,8930,2261,3527,209.7500,1.8800
1784799072.071959,9052,8893,2251,3518,209.7500,1.8800
1784799072.097370,9099,8921,2289,3424,202.8500,-2.0600
1784799072.122593,9127,8865,2261,3461,202.8500,-2.0600
1784799072.147695,9090,8855,2298,3349,205.5600,0.3100
1784799072.173013,9099,8837,2270,3349,205.5600,0.3100
1784799072.198593,9118,8771,2345,3405,198.8700,-0.4400
1784799072.223696,9118,8771,2289,3311,198.8700,-0.4400
1784799072.248837,9165,8865,2317,3349,204.2300,0.6900
1784799072.274579,9165,8762,2298,3321,204.2300,0.6900
1784799072.299682,9024,8762,2280,3311,202.8500,-0.1200
1784799072.324807,9005,8705,2308,3255,202.8500,-0.1200
1784799072.350787,9137,8640,2317,3227,205.5600,-0.0600
1784799072.375957,9099,8705,2326,3264,205.5600,-0.0600
1784799072.400995,9109,8743,2336,3227,198.8700,-1.1200
1784799072.426547,9052,8743,2439,3264,198.8700,-1.1200
1784799072.451649,9090,8733,2420,3255,204.2300,-1.1900
1784799072.476981,9109,8743,2355,3274,204.2300,-1.1900
1784799072.502506,9081,8705,2373,3255,204.1800,0.0600
1784799072.527620,9090,8762,2392,3246,204.1800,0.0600
1784799072.552767,9090,8715,2345,3218,200.1500,-0.3700
1784799072.577912,9099,8827,2420,3218,200.1500,-0.3700
1784799072.603611,9081,8668,2439,3246,204.2300,1.9400
1784799072.628710,9081,8668,2420,3236,204.2300,1.9400
1784799072.653984,9099,8705,2401,3236,196.2200,1.0600
1784799072.679615,9090,8715,2420,3218,196.2200,1.0600
1784799072.704989,9090,8640,2411,3274,201.4700,1.0600
1784799072.730064,9090,8687,2392,3236,201.4700,1.0600
1784799072.755630,9090,8687,2401,3246,193.5700,0.0600
1784799072.780701,9071,8790,2401,3208,193.5700,0.0600
1784799072.806023,9099,8715,2401,3236,197.4400,-2.5600
1784799072.831584,9118,8724,2401,3199,197.4400,-2.5600
1784799072.856705,9034,8912,2401,3218,200.1500,0.1200
1784799072.881775,9099,8959,2401,3208,200.1500,0.1200
1784799072.907580,9109,8987,2392,3189,202.8500,-2.6900
1784799072.932731,9146,8987,2364,3152,202.8500,-2.6900
1784799072.957768,9137,8930,2448,3208,200.1500,-0.0600
1784799072.983558,9071,9090,2383,3180,200.1500,-0.0600
1784799073.008658,9156,9052,2458,3199,202.8500,0.6900
1784799073.034007,9118,9034,2392,3199,202.8500,0.6900
1784799073.059166,9118,8884,2383,3180,205.5600,2.3100
1784799073.084630,9071,8921,2448,3218,205.5600,2.3100
1784799073.109746,9043,8846,2477,3171,202.8500,0.2500
1784799073.135193,9005,8818,2411,3152,202.8500,0.2500
1784799073.160628,9071,8837,2477,3105,210.9700,-0.7500
1784799073.185715,9127,8893,2495,3171,210.9700,-0.7500
1784799073.210849,9062,8874,2420,3114,208.2600,0.6900
1784799073.236610,9062,8930,2439,3133,208.2600,0.6900
1784799073.261715,9052,8893,2477,3096,205.5600,-0.3700
1784799073.287033,9071,8921,2439,3067,205.5600,-0.3700
1784799073.312596,9081,8949,2477,3058,205.5600,-0.3100
1784799073.338022,9071,8949,2467,3067,205.5600,-0.3100
1784799073.363058,9109,8949,2495,3058,200.1500,-0.0600
1784799073.388577,9109,8912,2495,3096,200.1500,-0.0600
1784799073.413679,9052,8949,2495,3086,205.5600,-0.1200
1784799073.439048,9118,8930,2477,3058,205.5600,-0.1200
1784799073.464173,9090,8930,2477,3067,197.4400,-1.4400
1784799073.489679,9062,8987,2505,3030,197.4400,-1.4400
1784799073.514812,9109,8959,2542,3086,202.8500,-2.6300
1784799073.539938,9118,8987,2552,3077,202.8500,-2.6300
1784799073.565667,9081,8865,2561,3067,197.4400,0.3100
1784799073.590762,9090,8949,2542,3039,197.4400,0.3100
1784799073.616070,9034,8902,2542,3049,202.8500,0.1900
1784799073.641685,9071,8959,2552,3039,202.8500,0.1900
1784799073.667046,9090,8949,2514,3011,200.1500,1.1200
1784799073.692088,9043,8968,2598,2974,200.1500,1.1200
1784799073.717637,9071,8959,2570,3021,202.8500,1.5600
1784799073.742740,9062,8968,2580,3030,200.1500,1.1900
1784799073.768055,9071,8987,2552,3030,200.1500,1.1900
1784799073.793618,9043,8996,2580,3002,200.1500,1.1900
1784799073.818719,9034,9015,2589,2992,202.8500,2.2500
1784799073.843814,9015,9015,2580,2974,202.8500,2.2500
1784799073.869623,8996,8996,2589,3011,200.1500,0.8100
1784799073.894706,8968,8987,2617,2964,202.8500,2.8800
1784799073.919837,9005,9024,2664,2946,202.8500,2.8800
1784799073.945096,9015,9034,2617,3039,202.8500,2.8800
1784799073.971128,8968,9024,2664,2955,197.4400,-1.7500
1784799073.996102,8968,9024,2645,2983,200.1500,1.3700
1784799074.021172,9015,9071,2608,2964,200.1500,1.3700
1784799074.046852,8949,9005,2683,2974,202.8500,-1.1900
1784799074.071764,8940,9043,2683,2936,202.8500,-1.1900
1784799074.097163,8987,9005,2655,2964,200.1500,2.3800
1784799074.122673,8996,8996,2655,2955,200.1500,2.3800
1784799074.147781,9052,8987,2627,2917,200.1500,-1.9400
1784799074.172945,9071,8949,2664,2899,200.1500,-1.9400
1784799074.198678,9024,9024,2899,2908,200.1500,1.4400
1784799074.223769,9034,9034,2552,2955,200.1500,1.4400
1784799074.248896,8968,9024,2467,2908,200.1500,-0.3700
1784799074.274643,8968,8949,2477,2992,200.1500,-0.3700
1784799074.300050,9024,8977,2458,2983,200.1500,0.1200
1784799074.325098,9015,8996,2467,2955,200.1500,0.1200
1784799074.350604,9015,9034,2477,3002,197.4400,-0.0600
1784799074.375724,9015,8912,2486,3030,197.4400,-0.0600
1784799074.401092,9015,8884,2514,2983,200.1500,1.2500
1784799074.426152,9015,8818,2486,2936,200.1500,1.2500
1784799074.451722,9015,8790,2552,2946,202.8500,-1.8100
1784799074.476817,9015,8799,2561,3002,202.8500,-1.8100
1784799074.502211,8940,8762,2645,2917,200.1500,-0.1900
1784799074.527748,8959,8902,2674,3021,200.1500,-0.1900
1784799074.552912,9249,8893,2711,2964,202.8500,-1.3700
1784799074.577968,9174,8846,2730,2927,202.8500,-1.3700
1784799074.603715,9174,8837,2749,2955,202.8500,-0.5600
1784799074.629140,9184,8902,2795,2946,202.8500,-0.5600
1784799074.654096,9212,8902,2852,2946,202.8500,0.1200
1784799074.679705,9212,8902,2870,2964,202.8500,0.1200
1784799074.705095,9184,8912,2833,2917,205.5600,1.3100
1784799074.730120,9071,8921,2767,2955,205.5600,1.3100
1784799074.755685,9071,8940,2777,2880,202.8500,-1.8100
1784799074.780792,8902,8977,2758,2936,202.8500,-1.8100
1784799074.805903,8949,8940,2824,2861,202.8500,-3.8100
1784799074.831674,8921,9005,2777,2936,202.8500,-3.8100
1784799074.856768,8921,8977,2777,2889,202.8500,1.3700
1784799074.881880,9334,9015,2777,2889,202.8500,1.3700
1784799074.907641,9334,8996,2833,3002,202.8500,-0.5600
1784799074.932791,9109,9081,2805,2870,202.8500,-0.5600
1784799074.958065,8949,9024,2889,2917,202.8500,2.0000
1784799074.983171,8940,8977,2899,2917,202.8500,2.0000
1784799075.008765,8959,9015,2927,2936,197.4400,-1.0000
1784799075.034114,8959,9062,2992,2908,197.4400,-1.0000
1784799075.059149,8912,8977,2974,2899,194.7400,2.6300
1784799075.084749,9071,9034,2992,2974,194.7400,2.6300
1784799075.109849,8996,9034,3021,2983,198.8700,-0.5600
1784799075.135153,9062,8968,2917,2992,198.8700,-0.5600
1784799075.160752,8799,8940,3002,2964,204.2300,0.6900
1784799075.185848,8855,8996,3021,2946,204.2300,0.6900
1784799075.210933,8855,8968,3011,2983,205.5600,-1.7500
1784799075.236720,9231,8987,3086,2992,205.5600,-1.7500
1784799075.261808,9615,8977,2992,2955,200.1500,-2.1300
1784799075.287219,8733,9043,3077,2992,200.1500,-2.1300
1784799075.312706,8696,8996,3049,2936,201.5300,-1.3100
1784799075.338133,8696,9043,3049,2946,201.5300,-1.3100
1784799075.363103,8705,9071,3011,2870,204.2300,-2.4400
1784799075.388667,8621,9062,2992,2917,204.2300,-2.4400
1784799075.413785,8583,9118,2974,2917,192.0300,-1.3700
1784799075.439150,8536,9099,2974,2870,192.0300,-1.3700
1784799075.464165,8593,9202,2983,2899,194.7400,-0.5000
1784799075.489774,9034,9324,2946,2861,194.7400,-0.5000
1784799075.514869,9034,8921,2936,2824,193.5700,-1.2500
1784799075.540041,8996,9343,2899,2880,193.5700,-1.2500
1784799075.565771,8996,9005,2936,2814,201.4700,-0.8100
1784799075.590864,8752,9034,2917,2833,201.4700,-0.8100
1784799075.616009,9231,9015,2880,2861,198.8700,-2.1300
1784799075.641753,9165,9024,2917,2889,198.8700,-2.1300
1784799075.667122,9109,9381,2870,2870,200.1500,0.9400
1784799075.692170,9174,8996,2852,2880,200.1500,0.9400
1784799075.717733,9127,8996,2908,2889,201.4700,-0.2500
1784799075.742841,9062,9034,2870,2917,201.4700,-0.2500
1784799075.768138,8968,8621,2861,2899,197.4400,2.1300
1784799075.793725,8940,8640,2936,2842,197.4400,2.1300
1784799075.818849,8968,8611,2936,2889,198.8700,1.1200
1784799075.843925,8921,8546,2889,2861,201.4700,0.6300
1784799075.869691,8846,8658,2880,2936,201.4700,0.6300
1784799075.894810,8930,8968,2992,2880,201.4700,0.6300
1784799075.919912,8902,9156,2908,2880,197.4400,0.4400
1784799075.945097,8874,9156,2927,2936,193.5700,0.8800
1784799075.971180,8874,9081,2946,2946,193.5700,0.8800
1784799075.996194,8940,9127,2983,2983,194.7400,-0.1900
1784799076.021186,8902,9081,2936,2983,194.7400,-0.1900
1784799076.046804,8855,9071,2908,3030,194.7400,-0.0600
1784799076.072160,8893,9446,2899,3096,194.7400,-0.0600
1784799076.097303,8893,9127,2955,3096,194.7400,0.6900
