timestamp,d0,d1,d2,d3,v_mm_s,gz
1785145989.577173,8987,8799,1632,3715,0.0000,0.0000
1785145989.602031,9062,8715,1613,3687,0.0000,0.0000
1785145989.627123,9015,8808,1557,3640,20.8100,0.0000
1785145989.652114,9015,8743,1623,3734,20.8100,0.0000
1785145989.677272,9015,8771,1604,3649,62.2100,-0.3700
1785145989.702270,9062,8837,1651,3640,62.2100,-0.3700
1785145989.727906,9062,8846,1595,3640,83.8500,-0.6200
1785145989.752993,9062,8752,1651,3630,83.8500,-0.6200
1785145989.778209,9005,8733,1595,3705,100.0700,-0.8800
1785145989.804167,9052,8790,1623,3612,100.0700,-0.8800
1785145989.829232,9015,8752,1632,3612,108.1900,-0.8800
1785145989.853975,9071,8762,1623,3621,108.1900,-0.8800
1785145989.879945,9043,8818,1604,3649,111.3700,-0.8800
1785145989.905193,9024,8752,1632,3612,111.3700,-0.8800
1785145989.930749,9090,8808,1670,3621,113.6000,-0.8800
1785145989.956355,9034,8733,1585,3640,113.6000,-0.8800
1785145989.981153,9081,8818,1613,3630,113.6000,-0.8800
1785145990.006321,8987,8762,1585,3602,113.6000,-0.8800
1785145990.032309,9024,8799,1604,3621,118.6800,-0.9400
1785145990.057872,9005,8733,1642,3649,118.6800,-0.9400
1785145990.082211,9005,8790,1660,3602,119.0100,-0.9400
1785145990.107944,9015,8902,1623,3658,119.0100,-0.9400
1785145990.133708,8996,8799,1623,3658,121.7100,-0.8800
1785145990.158369,8987,8818,1595,3687,129.8300,-0.8800
1785145990.185717,9052,8743,1642,3640,129.8300,-0.8800
1785145990.209198,9005,8930,1679,3743,129.8300,-0.8800
1785145990.234002,8977,8855,1613,3874,127.1200,-0.9400
1785145990.260389,9005,8855,1604,3743,132.5300,-0.9400
1785145990.285405,8959,8884,1670,4137,132.5300,-0.9400
1785145990.310173,9005,8715,1651,3921,137.9400,-0.9400
1785145990.336282,8996,8837,1651,3827,137.9400,-0.9400
1785145990.361033,9015,8884,1660,3809,137.9400,-0.9400
1785145990.386546,9024,8912,1604,3884,140.6400,-0.8800
1785145990.411401,8987,8780,1632,3865,140.6400,-0.7500
1785145990.437228,8996,8949,1679,3799,140.6400,-0.7500
1785145990.463744,9005,8893,1679,3762,151.4600,-0.7500
1785145990.487824,8977,8930,1651,3799,151.4600,-0.7500
1785145990.515071,9005,8808,1651,3790,151.4600,-0.6900
1785145990.538430,9015,8808,1689,3780,151.4600,-0.6900
1785145990.564579,8977,8733,1670,3790,151.1400,-0.6900
1785145990.590417,8987,8799,1717,3762,151.1400,-0.6900
1785145990.615064,8949,8893,1689,3799,160.0700,-0.6900
1785145990.639417,8996,8837,1717,3790,160.0700,-0.6900
1785145990.665190,8977,8930,1707,3884,161.7500,-0.6200
1785145990.690219,8921,8808,1707,3818,161.7500,-0.6200
1785145990.716294,8940,9109,1745,3771,171.1100,-0.5600
1785145990.741431,8987,8996,1726,3762,171.1100,-0.5600
1785145990.765960,8949,9034,1698,3715,172.3600,-0.5600
1785145990.790966,8940,8968,1735,3640,172.3600,-0.5600
