timestamp,d0,d1,d2,d3,v_mm_s,gz
1783085530.303622,9062,8611,1735,3621,0.0000,0.0600
1783085530.319250,8687,8555,1754,3649,0.0000,0.0600
1783085530.335238,8724,8611,1717,3630,0.0000,0.0600
1783085530.351738,8687,8611,1745,3658,0.0000,0.0600
1783085530.367362,8762,8705,1735,3658,23.4100,-0.0600
1783085530.383291,8687,8611,1773,3630,23.4100,-0.0600
1783085530.399291,8696,8583,1726,3658,23.4100,-0.0600
1783085530.415493,9090,8677,1726,3612,45.0800,-0.3700
1783085530.431325,8687,8555,1735,3658,45.0800,-0.3700
1783085530.447470,8705,8583,1735,3668,45.0800,-0.3700
1783085530.463466,8705,8574,1717,3658,82.8000,-0.4400
1783085530.479331,8696,8574,1726,3640,82.8000,-0.4400
1783085530.495326,8724,8583,1792,3612,82.8000,-0.4400
1783085530.511353,9099,8565,1754,3630,92.8100,1.0600
1783085530.527521,8696,8611,1735,3640,92.8100,1.0600
1783085530.544560,8696,8536,1745,3658,92.8100,1.0600
1783085530.560358,9118,8593,1717,3621,110.4000,-0.2500
1783085530.576668,8705,8546,1735,3640,110.4000,-0.2500
1783085530.592818,9090,8555,1689,3668,110.4000,-0.2500
1783085530.608654,8724,8555,1698,3649,116.3000,0.7500
1783085530.624422,8705,8518,1707,3658,116.3000,0.7500
1783085530.640609,8649,8555,1754,3602,116.3000,0.7500
1783085530.656480,8715,8527,1698,3583,119.3200,1.0000
1783085530.672476,8640,8508,1679,3593,119.3200,1.0000
1783085530.688670,8668,8518,1726,3583,119.3200,1.0000
1783085530.704368,8658,8527,1792,3621,124.1900,-0.6300
1783085530.721555,8658,8527,1735,3565,124.1900,-0.6300
1783085530.738655,8687,8527,1698,3612,124.1900,-0.6300
1783085530.753513,8677,8499,1726,3612,121.7100,0.0600
1783085530.769431,9052,8499,1735,3583,121.7100,0.0600
1783085530.785603,8621,8555,1689,3593,121.7100,0.0600
1783085530.801607,8733,8536,1698,3546,121.7100,0.0600
1783085530.817577,8696,8518,1623,3555,127.2800,-0.1900
1783085530.833527,8705,8518,1679,3621,127.2800,-0.1900
1783085530.849562,8640,8490,1689,3602,127.2800,-0.1900
1783085530.865553,8677,8490,1726,3602,137.9900,0.1200
1783085530.881504,8658,8490,1670,3593,137.9900,0.1200
