timestamp_s,anchor_id,distance_mm,v_mm_s,heading_deg
0.0134,0x1001,1492.00,0.00,0.50
0.0151,0x1002,4128.00,0.00,0.50
0.0167,0x1003,7458.00,0.00,0.50
0.0184,0x1004,6529.00,0.00,0.50
0.0290,0x1001,1529.00,0.00,0.50
0.0307,0x1002,4099.00,0.00,0.50
0.0323,0x1003,7551.00,0.00,0.50
0.0339,0x1004,6520.00,0.00,0.50
0.0465,0x1001,1520.00,24.34,0.50
0.0471,0x1002,4137.00,24.34,0.50
0.0477,0x1003,7551.00,24.34,0.50
0.0483,0x1004,6529.00,24.34,0.50
0.0635,0x1001,1492.00,24.34,0.50
0.0641,0x1002,4156.00,24.34,0.50
0.0647,0x1003,7467.00,24.34,0.50
0.0653,0x1004,6538.00,24.34,0.50
0.0795,0x1001,1510.00,121.71,0.50
0.0801,0x1002,4268.00,121.71,0.50
0.0807,0x1003,7467.00,121.71,0.50
0.0813,0x1004,6501.00,121.71,0.50
0.0965,0x1001,1492.00,121.71,0.50
0.0971,0x1002,4184.00,121.71,0.50
0.0977,0x1003,7448.00,121.71,0.50
0.0983,0x1004,6548.00,121.71,0.50
0.1135,0x1001,1576.00,121.71,0.50
0.1141,0x1002,4165.00,121.71,0.50
0.1147,0x1003,7448.00,121.71,0.50
0.1153,0x1004,6566.00,121.71,0.50
0.1304,0x1001,1557.00,129.83,1.12
0.1310,0x1002,4165.00,129.83,1.12
0.1316,0x1003,7476.00,129.83,1.12
0.1322,0x1004,6463.00,129.83,1.12
0.1475,0x1001,1529.00,129.83,1.12
0.1481,0x1002,4174.00,129.83,1.12
0.1486,0x1003,7458.00,129.83,1.12
0.1492,0x1004,6548.00,129.83,1.12
0.1645,0x1001,1492.00,129.83,1.12
0.1651,0x1002,4128.00,129.83,1.12
0.1656,0x1003,7551.00,129.83,1.12
0.1662,0x1004,6529.00,129.83,1.12
0.1815,0x1001,1529.00,137.94,1.87
0.1821,0x1002,4156.00,137.94,1.87
0.1827,0x1003,7495.00,137.94,1.87
0.1833,0x1004,6473.00,137.94,1.87
0.1985,0x1001,1510.00,137.94,1.87
0.1991,0x1002,4165.00,137.94,1.87
0.1997,0x1003,7448.00,137.94,1.87
0.2003,0x1004,6538.00,137.94,1.87
0.2155,0x1001,1520.00,137.94,1.87
0.2161,0x1002,4174.00,137.94,1.87
0.2166,0x1003,7430.00,137.94,1.87
0.2172,0x1004,6454.00,137.94,1.87
0.2314,0x1001,1529.00,146.05,2.25
0.2320,0x1002,4165.00,146.05,2.25
0.2326,0x1003,7383.00,146.05,2.25
0.2332,0x1004,6510.00,146.05,2.25
0.2484,0x1001,1548.00,146.05,2.25
0.2490,0x1002,4156.00,146.05,2.25
0.2496,0x1003,7392.00,146.05,2.25
0.2501,0x1004,6426.00,146.05,2.25
0.2655,0x1001,1557.00,146.05,2.25
0.2660,0x1002,4184.00,146.05,2.25
0.2666,0x1003,7448.00,146.05,2.25
0.2672,0x1004,6520.00,146.05,2.25
0.2824,0x1001,1548.00,154.17,2.12
0.2830,0x1002,4165.00,154.17,2.12
0.2836,0x1003,7439.00,154.17,2.12
0.2841,0x1004,6463.00,154.17,2.12
0.3015,0x1001,1520.00,154.17,2.12
0.3020,0x1002,4137.00,154.17,2.12
0.3026,0x1003,7439.00,154.17,2.12
0.3032,0x1004,6482.00,154.17,2.12
0.3174,0x1001,1492.00,154.17,2.12
