timestamp,d0,d1,d2,d3,v_mm_s,gz
1784798720.571055,9137,8996,1782,3893,0.0300,0.0600
1784798720.596094,9193,8968,1839,3827,0.0300,0.0600
1784798720.621903,9193,8996,1801,3818,26.5200,-0.0600
1784798720.647001,9212,8949,1773,3818,26.5200,-0.0600
1784798720.672081,9146,8977,1782,3846,81.1400,-3.1900
1784798720.697932,9156,8977,1810,3855,81.1400,-3.1900
1784798720.723327,9081,9005,1848,3846,81.1400,4.6300
1784798720.748302,9109,9005,1895,3846,81.1400,4.6300
1784798720.773883,9081,8987,1848,3884,106.0700,0.0000
1784798720.799000,9165,9043,1839,3827,106.0700,0.0000
1784798720.824324,9127,9043,1867,3827,110.4000,-0.6300
1784798720.849867,9137,9071,1867,3846,110.4000,-0.6300
1784798720.874965,9090,8996,1839,3809,108.1900,0.0600
1784798720.900058,9109,9071,1801,3865,108.1900,0.0600
1784798720.925330,9081,9118,1848,3799,116.3000,-0.3100
1784798720.951031,9127,9118,1876,3809,116.3000,-0.3100
1784798720.976083,9165,9156,1857,3855,116.3000,-1.1200
1784798721.001288,9118,9127,1867,3874,116.3000,-1.1200
1784798721.027082,9146,9137,1829,3818,113.6000,-0.2500
1784798721.052304,9137,9137,1839,3799,113.6000,-0.2500
1784798721.077348,9127,9137,1867,3827,116.3000,0.0600
1784798721.102929,9099,9146,1773,3855,116.3000,0.0600
1784798721.128045,9099,9099,1848,3837,124.4200,-0.2500
1784798721.153343,9071,9062,1895,3827,124.4200,-0.2500
1784798721.179020,9081,9043,1876,3799,121.9800,-0.3100
1784798721.204035,9127,9034,1839,3818,121.9800,-0.3100
1784798721.229120,9127,9034,1895,3837,129.7100,0.4400
1784798721.254923,9165,9024,1904,3790,129.7100,0.4400
1784798721.280019,9202,9081,1914,3799,129.9300,0.1200
1784798721.305366,9118,9024,1904,3799,137.9900,-0.0600
1784798721.330923,9099,9043,1810,3799,137.9900,-0.0600
1784798721.356015,9127,9062,1886,3705,137.9900,-0.0600
1784798721.381367,9137,9024,1867,3734,143.1900,1.0600
1784798721.406897,9090,8996,1970,3771,151.7900,-1.2500
1784798721.431999,9099,8987,1895,3827,151.7900,-1.2500
1784798721.457098,9099,8977,1951,3855,156.8700,0.1900
1784798721.482379,9090,8987,1989,3780,156.8700,0.1900
1784798721.508019,9109,8996,1942,3855,156.8700,0.1900
1784798721.533142,9090,9015,1914,3855,156.8700,0.6900
1784798721.558175,9109,8987,1904,4034,159.5800,1.1900
1784798721.583981,9090,9034,1942,4146,159.5800,1.1900
1784798721.609368,9127,9146,1942,4240,156.8700,-0.8800
1784798721.634316,9099,9118,1932,4165,156.8700,-0.8800
1784798721.660032,9127,8884,1979,4165,161.7500,-0.2500
1784798721.685314,9062,9193,1989,4118,161.7500,-0.2500
1784798721.710337,9090,8790,2036,4024,171.1100,-1.1200
1784798721.735967,9118,9212,2073,4015,171.1100,-1.1200
1784798721.761051,9109,9212,1998,4006,170.4000,-0.5000
1784798721.786358,9090,8893,2064,4006,170.4000,-0.5000
1784798721.811945,9015,9221,2007,3959,178.5100,-0.5600
1784798721.837115,9052,9099,1961,3940,178.5100,-0.5600
1784798721.862150,9043,9034,1970,3968,178.5100,0.2500
1784798721.887943,9090,9024,1979,3874,178.5100,0.2500
1784798721.913368,9052,9034,1951,3884,186.6200,-1.6300
1784798721.938355,9081,9081,1914,3855,186.6200,-1.6300
1784798721.963911,9081,9024,1914,3865,189.3300,-2.6300
1784798721.989066,9081,9081,1923,3893,189.3300,-2.6300
1784798722.014355,9109,9071,1970,3780,194.7400,0.4400
1784798722.039364,9034,9099,1942,3809,194.7400,0.4400
1784798722.065014,9052,8640,1961,3818,197.4400,0.2500
1784798722.090115,9052,8555,1979,3827,197.4400,0.2500
1784798722.115386,9062,8593,2054,3818,197.4400,1.6300
1784798722.141002,8996,8555,2007,3809,197.4400,1.6300
1784798722.166116,9024,8611,2007,3809,198.8700,1.9400
1784798722.191225,9015,8677,1979,3790,198.8700,1.9400
1784798722.217008,9034,8762,1979,3762,201.4700,-1.8800
1784798722.242384,8987,8818,1989,3790,201.4700,-1.8800
1784798722.267362,9015,8724,1989,3780,200.1500,0.6900
1784798722.293011,9015,8696,2054,3790,200.1500,0.6900
1784798722.318386,8987,8640,1998,3752,202.8500,-2.5000
1784798722.343369,8949,8649,1961,3818,202.8500,-2.5000
1784798722.368977,9034,8687,1951,3752,200.1500,-0.0600
1784798722.394076,9062,8808,1998,3771,200.1500,-0.0600
1784798722.419181,8987,9062,2036,3743,202.8500,0.5000
1784798722.444947,9024,9071,1951,3715,202.8500,0.5000
1784798722.470076,8977,9090,1998,3696,201.5300,3.7500
1784798722.495171,9034,9109,1951,3743,201.5300,3.7500
1784798722.520982,8977,8921,2017,3705,201.4700,-1.3100
1784798722.546054,9005,8827,2054,3705,201.4700,-1.3100
1784798722.571390,8996,8874,2026,3771,202.8500,1.2500
1784798722.596375,9034,8940,2007,3705,202.8500,1.2500
1784798722.622044,9034,9024,2017,3752,197.4400,1.5000
