timestamp,d0,d1,d2,d3,v_mm_s,gz
1785389925.26534,9034,8574,1679,3668,0,0
1785389925.3101,9221,8611,1632,3677,13,0
1785389925.35426,9221,8583,1613,3677,53.03,0.06
1785389925.40092,9278,8574,1613,3687,32.46,-0.19
1785389925.44673,8930,8621,1623,3696,56.8,-0.31
1785389925.48716,9296,8555,1604,3658,56.8,-0.31
1785389925.54033,9043,8602,1604,3705,55.2,-0.31
1785389925.58361,9249,8574,1585,3668,60.99,-0.31
1785389925.62881,9249,8574,1613,3649,60.72,-0.37
1785389925.67346,9184,8602,1642,3677,78.44,-0.5
1785389925.71594,9550,8546,1576,3658,70.32,-0.56
1785389925.75936,8968,8593,1642,3658,81.14,-0.5
1785389925.80414,8968,8602,1585,3612,79.55,-0.56
1785389925.84941,9202,8546,1632,3612,80.04,-0.5
1785389925.89946,8865,8602,1632,3640,81.14,-0.56
1785389925.94386,9278,8602,1632,3677,84.85,-0.56
1785389925.99106,9268,8593,1576,3630,84.85,-0.56
1785389926.03475,9240,8602,1604,3621,86.55,-0.62
1785389926.07726,9202,8640,1660,3658,96.6,-0.62
1785389926.1213,8921,8640,1604,3640,95.46,-0.62
1785389926.16579,8865,8611,1651,3612,100.07,-0.62
1785389926.21217,9596,8611,1632,3630,110.4,-0.62
1785389926.25712,9193,8621,1698,3565,108.72,-0.5
1785389926.30312,9596,8602,1679,3593,115.92,-0.44
1785389926.34618,9231,8621,1623,3583,114.02,-0.37
1785389926.38956,8949,8593,1642,3612,124.19,-0.25
1785389926.4372,9249,8593,1670,3555,124.19,-0.25
1785389926.48163,8968,8611,1670,3621,119.32,-0.19
1785389926.52807,8855,8705,1698,3583,132.47,-0.13
1785389926.57717,8902,8658,1689,3574,127.28,-0.06
1785389926.6244,8874,8630,1679,3527,129.71,0.06
1785389926.66734,8865,8583,1670,3527,135.23,0.13
1785389926.70823,8865,8743,1764,3555,143.51,0.19
1785389926.75254,8855,8649,1735,3555,145.84,0.25
1785389926.7959,8874,8677,1773,3546,151.79,0.37
1785389926.83802,8902,8602,1735,3546,154.17,0.5
1785389926.88588,8865,8658,1754,3508,154.17,0.5
1785389926.93481,8846,8649,1773,3499,154.17,0.69
1785389926.97964,8865,8687,1792,3490,164.99,0.75
1785389927.02349,8846,8677,1829,3499,167.69,0.88
1785389927.06622,8837,8649,1782,3471,167.05,0.94
1785389927.11237,8874,8658,1773,3461,182.15,1
1785389927.16184,8921,8715,1839,3480,183.92,1
1785389927.20605,8837,8752,1867,3471,189.33,1
1785389927.24872,8865,8743,1782,3527,189.33,1
1785389927.29821,8865,8621,1857,3471,186.62,1.06
1785389927.34433,8893,8602,1857,3424,192.03,1.12
1785389927.38501,8893,8602,1989,3499,192.03,1.12
1785389927.42781,8855,8621,1895,3433,189.33,1.25
1785389927.4775,8846,8630,1839,3377,188.27,1.37
1785389927.52084,8855,8565,1829,3415,189.33,1.44
1785389927.57245,8846,8593,1801,3415,187.67,1.5
1785389927.61952,8818,8536,1904,3396,189.33,1.5
1785389927.66178,8837,8536,1895,3433,185.62,1.5
1785389927.7044,8855,8536,1895,3396,187.67,1.44
1785389927.74735,8818,8518,1914,3415,186.62,1.37
1785389927.80383,8884,8527,1886,3405,189.33,1.37
1785389927.85979,8884,8508,1895,3405,188.27,1.31
1785389927.91281,8818,8527,1895,3405,193.19,1.37
1785389927.96613,8884,8508,1989,3368,189.33,1.44
1785389928.01924,8855,8518,1923,3443,189.33,1.44
1785389928.07346,8855,8499,1895,3386,188.27,1.37
1785389928.12878,8837,8508,2007,3377,190.43,1.31
1785389928.18529,8827,8536,2007,3405,189.33,1.19
1785389928.23721,8846,8555,2026,3405,186.62,1.12
1785389928.28041,8855,8583,2026,3330,189.33,1.06
1785389928.32487,8799,8546,2111,3358,189.33,1.06
1785389928.36603,8827,8565,2036,3330,194.74,1.12
1785389928.41061,8827,8536,2054,3311,192.03,1.12
1785389928.45367,8808,8602,2026,3368,188.27,1.19
1785389928.4957,8818,8555,2036,3264,193.19,1.25
1785389928.53526,8827,8621,2120,3321,193.19,1.25
1785389928.57886,8846,8621,2101,3330,185.62,1.31
1785389928.62074,8827,8630,2129,3340,189.33,1.37
1785389928.66424,8808,8677,2111,3264,192.03,1.31
1785389928.70714,8808,8658,2092,3358,193.19,1.25
1785389928.74997,8837,8668,2120,3293,194.74,1.19
1785389928.7904,8799,8640,2129,3246,194.74,1.19
1785389928.83255,8827,8630,2073,3208,194.74,1.19
1785389928.87426,9596,8668,2129,3302,190.92,1.12
1785389928.91604,8808,8649,2167,3274,197.44,1.19
1785389928.95771,8827,8677,2120,3236,194.74,1.19
1785389928.9997,8846,8677,2129,3293,204.23,1.25
1785389929.03961,8818,8649,2139,3274,204.23,1.25
1785389929.08139,8808,8677,2158,3264,194.74,1.25
1785389929.12354,8837,8677,2195,3246,190.92,1.25
1785389929.16537,8808,8687,2158,3208,198.71,1.12
1785389929.20702,8818,8715,2204,3255,197.44,1
1785389929.24877,8818,8715,2158,3218,194.74,0.94
1785389929.28944,8790,8696,2195,3189,194.74,0.94
1785389929.33128,8780,8687,2186,3236,192.03,0.81
1785389929.37338,8808,8696,2204,3189,192.03,0.62
1785389929.41677,8771,8780,2176,3171,192.03,0.44
1785389929.46122,8780,8715,2195,3199,188.27,0.31
1785389929.50632,8771,8715,2204,3096,187.67,0.31
1785389929.55058,8762,8715,2167,3143,189.33,0.31
1785389929.59936,8752,8705,2176,3114,189.33,0.37
1785389929.64599,8780,8733,2186,3114,189.33,0.44
1785389929.69073,8733,8752,2148,3096,186.62,0.5
1785389929.73829,8780,8771,2214,3171,186.62,0.5
1785389929.78275,8733,8724,2242,3096,188.27,0.5
1785389929.82406,8715,8752,2223,3143,198.71,0.5
1785389929.86861,8705,8715,2251,3124,189.33,0.5
1785389929.91584,8743,8715,2280,3133,192.03,0.5
1785389929.96231,8762,8743,2270,3199,190.92,0.5
1785389930.00661,8827,8724,2270,3124,193.19,0.5
1785389930.0532,8762,8668,2308,3161,188.27,0.44
1785389930.10354,8743,8771,2251,3161,190.43,0.37
1785389930.15316,8780,8799,2289,3143,185.62,0.37
1785389930.19901,8743,8790,2289,3161,190.43,0.37
1785389930.24512,8724,8780,2326,3133,180.31,0.31
1785389930.28917,8743,8715,2345,3133,186.62,0.19
1785389930.34031,8743,8696,2289,3096,186.62,0.19
1785389930.38604,8752,8640,2336,3096,190.43,0.13
1785389930.42935,8762,8658,2317,3058,189.33,0
1785389930.47322,8724,8677,2336,3086,186.62,-0.19
1785389930.51435,8715,8677,2336,3049,186.62,-0.37
1785389930.56443,8762,8621,2298,3021,185.62,-0.5
1785389930.60747,8677,8593,2336,2927,193.19,-0.69
1785389930.65268,8771,8593,2364,2908,189.33,-0.75
1785389930.69428,8752,8611,2392,2964,192.03,-0.81
1785389930.73507,8724,8602,2364,2889,192.03,-0.81
1785389930.7795,8743,8611,2383,2927,182.96,-0.81
1785389930.82445,8724,8602,2411,2899,187.67,-0.94
1785389930.86745,8715,8630,2411,2974,189.33,-0.94
1785389930.91031,8687,8611,2430,2861,192.03,-1
1785389930.95865,8705,8536,2430,2974,193.57,-1.12
1785389931.00242,8677,8574,2430,2964,198.71,-1.25
1785389931.05102,8668,8640,2392,2908,192.03,-1.31
1785389931.09366,8658,8696,2439,2964,197.44,-1.31
1785389931.13866,8687,8677,2401,2927,197.44,-1.31
1785389931.18434,8696,8658,2401,2955,185.62,-1.31
1785389931.22773,8668,8687,2430,2880,198.71,-1.25
1785389931.27255,8668,8724,2430,2899,192.03,-1.19
1785389931.31715,8687,8762,2458,2833,194.74,-1.12
1785389931.36261,8696,8762,2505,2899,188.27,-1.12
1785389931.40665,8611,8780,2514,2842,195.95,-1.12
1785389931.45039,8677,8771,2495,2842,193.57,-1.12
1785389931.49716,8724,8724,2495,2870,193.19,-1.19
1785389931.54018,8715,8762,2523,2814,193.19,-1.19
1785389931.58584,8649,8771,2542,2786,192.03,-1.19
1785389931.63268,8668,8762,2533,2814,188.27,-1.19
1785389931.67808,8658,8762,2542,2758,195.95,-1.19
1785389931.72264,8687,8780,2505,2777,188.27,-1.12
1785389931.76846,8715,8780,2570,2758,193.19,-1.12
1785389931.8122,8705,8790,2608,2692,186.62,-1.12
1785389931.85552,8705,8818,2655,2720,188.27,-1.06
1785389931.89993,8705,8827,2636,2739,198.71,-1
1785389931.94628,8687,8827,2533,2739,194.74,-1
1785389931.98887,8762,8855,2598,2655,194.74,-1
1785389932.04293,8649,8808,2617,2674,193.57,-1.06
1785389932.08244,8649,8837,2570,2711,193.57,-1.06
1785389932.13019,8677,8752,2505,2655,195.95,-1.19
1785389932.17302,8677,8808,2617,2617,192.03,-1.25
1785389932.21924,8687,8855,2608,2674,194.74,-1.31
1785389932.26107,8687,8874,2608,2598,192.03,-1.31
1785389932.30861,8677,8884,2636,2655,192.03,-1.25
1785389932.3505,8696,8874,2636,2580,188.27,-1.25
1785389932.39508,8687,8855,2598,2580,192.03,-1.19
1785389932.43716,8687,8874,2645,2570,192.03,-1.19
1785389932.48514,8687,8893,2674,2627,192.03,-1.19
1785389932.52684,8705,8827,2580,2608,194.74,-1.25
1785389932.57259,8649,8827,2617,2598,189.33,-1.25
1785389932.6191,8630,8846,2711,2608,195.95,-1.31
1785389932.66481,8621,8874,2627,2589,188.27,-1.31
1785389932.70692,8649,8818,2674,2580,187.67,-1.31
1785389932.75625,8621,8837,2636,2598,188.27,-1.31
1785389932.79966,8640,8827,2674,2523,190.43,-1.25
1785389932.84467,8658,8808,2702,2523,182.96,-1.31
1785389932.88687,8621,8846,2702,2523,182.96,-1.31
1785389932.92932,8621,8846,2702,2523,184.91,-1.31
1785389932.96941,8630,8846,2674,2514,185.62,-1.37
1785389933.01433,8640,8808,2692,2505,186.62,-1.37
1785389933.05904,8658,8808,2730,2552,189.33,-1.44
1785389933.09924,8658,8808,2730,2552,189.33,-1.44
1785389933.1418,8621,8846,2767,2552,194.74,-1.44
1785389933.18251,8621,8846,2674,2514,194.74,-1.44
1785389933.22747,8621,8799,2758,2495,194.74,-1.5
1785389933.27358,8611,8865,2683,2467,186.62,-1.62
1785389933.31915,8640,8837,2730,2467,190.43,-1.56
1785389933.36443,8668,8771,2683,2448,177.66,-1.25
1785389933.40991,8611,8771,2749,2514,184.91,-1
1785389933.45308,8611,8771,2720,2514,188.27,-1.06
1785389933.49858,8593,8724,2758,2495,187.67,-1.06
1785389933.54034,8583,8790,2777,2458,185.62,-1.12
1785389933.58401,8668,8780,2767,2448,185.62,-1.12
1785389933.63319,8630,8780,2758,2373,193.19,-1.19
1785389933.68113,8583,8724,2711,2411,188.27,-1.31
