timestamp,d0,d1,d2,d3,v_mm_s,gz
1784776518.612212,9127,8818,1679,3583,0.0000,-0.0600
1784776518.664108,9193,8808,1735,3630,31.2100,0.0000
1784776518.715387,9165,8865,1717,3640,75.7300,-1.2500
1784776518.767506,9165,8808,1717,3621,79.5500,-1.5000
1784776518.818506,8987,8799,1726,3705,94.6600,3.9400
1784776518.870190,8959,8912,1717,3583,104.8800,-0.3100
1784776518.922050,8940,8799,1707,3621,108.1900,1.6900
1784776518.973248,8921,8827,1689,3602,108.1900,0.6300
1784776519.025146,8874,8865,1829,3612,113.6000,-0.9400
1784776519.076485,8921,8893,1717,3630,110.8900,2.3800
1784776519.128151,9043,8780,1764,3583,114.0200,0.7500
1784776519.179530,8987,8921,1707,3574,118.6800,-0.8100
1784776519.231250,9052,8921,1679,3612,114.0200,0.4400
1784776519.282580,9428,8884,1726,3537,121.4400,-0.9400
1784776519.334239,8987,8884,1707,3583,121.9800,-1.4400
1784776519.386104,9024,8921,1782,3602,129.7100,-0.0600
1784776519.437678,9034,8893,1698,3518,127.2800,-1.2500
1784776519.489156,9034,8874,1754,3593,143.3500,0.1900
1784776519.541427,9062,8930,1707,3621,140.7500,0.4400
1784776519.592200,9081,8893,1698,3630,140.6400,-0.2500
1784776519.643566,9034,8893,1707,3612,137.8900,1.1200
1784776519.695251,9062,8930,1735,3574,137.9400,-0.7500
1784776519.747085,9024,8968,1792,3537,151.7900,0.9400
1784776519.798526,9034,8921,1792,3527,148.7600,0.3700
1784776519.850148,9071,8921,1792,3593,148.7600,-0.0600
1784776519.901526,9034,8893,1764,3658,156.4500,0.0000
1784776519.953269,9081,8902,1745,3612,162.2800,0.5600
1784776520.004817,9109,8762,1764,3518,164.9900,0.5000
1784776520.056541,9043,8790,1792,3499,167.6900,1.1900
1784776520.107583,9052,9034,1735,3490,173.1000,0.6900
1784776520.159646,9081,9015,1773,3518,173.1000,-0.8100
1784776520.211203,9015,9043,1698,3415,181.2100,0.4400
1784776520.262348,9043,9052,1801,3368,183.9200,0.8100
1784776520.314209,9024,8968,1792,3480,181.2100,-1.9400
1784776520.365525,8996,9127,1773,3471,186.6200,0.0600
1784776520.417418,8921,8912,1810,3443,183.9200,-0.1200
1784776520.468588,8902,9024,1820,3433,189.3300,0.2500
1784776520.520604,8827,8902,1904,3499,186.6200,-1.8100
1784776520.572187,8827,8762,1857,3368,190.4300,0.3700
1784776520.623333,9390,8771,1810,3311,185.6200,0.1200
1784776520.675259,8733,8696,1867,3321,189.3300,-0.6300
1784776520.726369,8780,8687,1886,3424,186.6200,0.3100
1784776520.778304,8780,8611,1867,3424,183.9200,-1.4400
1784776520.829653,8733,8668,1810,3415,183.9200,0.4400
1784776520.881292,9052,8640,1867,3311,183.9200,-0.3700
1784776520.932794,9287,8687,1801,3358,186.6200,-1.3100
1784776520.984392,9118,8733,1886,3386,181.2100,0.0600
1784776521.036231,8902,8724,1867,3340,183.9200,1.1200
1784776521.087418,8921,8762,1876,3311,180.3100,-0.4400
1784776521.139618,8902,8808,1951,3330,181.2100,0.6300
1784776521.190658,8837,8827,1876,3330,180.3100,0.9400
1784776521.242556,8837,8855,1923,3368,176.6300,1.1200
1784776521.293880,8837,8855,1876,3293,181.2100,-0.7500
1784776521.345404,8902,8846,1886,3227,172.3600,2.3800
1784776521.397228,8874,8846,1923,3283,179.3900,1.4400
1784776521.448390,8977,8827,1914,3274,175.8000,-0.2500
1784776521.500257,8949,8865,1951,3236,175.0100,1.3100
1784776521.551645,8968,8930,1932,3302,173.1000,-1.0000
1784776521.603325,8902,8884,1932,3218,178.5100,1.9400
1784776521.654698,8846,8884,1942,3171,173.1000,-0.5600
1784776521.706356,8893,8921,1970,3321,173.1000,-0.6300
1784776521.757732,8893,9024,1970,3236,179.3900,0.0600
1784776521.809455,8893,8940,1970,3255,175.0100,-0.4400
1784776521.861251,8893,8930,1998,3208,176.6300,0.8800
1784776521.912685,8912,8959,1970,3189,183.9200,0.5600
1784776521.964300,8865,8902,2017,3218,178.5100,-1.0000
1784776522.015673,8874,8912,2007,3208,175.0100,1.5000
1784776522.067363,8884,8921,2036,3180,181.2100,0.5000
1784776522.118562,8884,8959,1932,3133,175.8000,1.2500
1784776522.170418,8865,8921,1970,3152,182.1500,0.7500
1784776522.222284,8855,8959,2054,3171,172.3600,-1.0000
1784776522.273705,8874,8959,1989,3124,178.5100,0.3100
1784776522.325321,8837,8912,1979,3133,178.5100,-0.8100
1784776522.376482,8837,8940,2073,3152,183.9200,1.1900
1784776522.428351,8808,8987,2026,3114,186.6200,0.5000
1784776522.479555,8855,8977,2026,3114,186.6200,1.0600
1784776522.531699,8855,8977,2073,3133,189.3300,-1.7500
1784776522.582803,8855,8968,2064,3067,178.5100,1.7500
1784776522.634438,8818,8968,2101,3096,183.9200,0.0600
1784776522.686285,8780,9024,2101,3199,181.2100,0.6300
1784776522.737512,8780,9005,2036,3189,183.9200,0.3700
1784776522.789354,8790,8968,2064,3114,183.9200,-0.4400
1784776522.840529,8743,8987,2111,3161,187.6700,-1.6900
1784776522.892883,8790,9034,2101,3067,182.9600,-1.0000
1784776522.943758,8790,8996,2195,3124,186.6200,-1.7500
1784776522.995494,8808,9099,2111,3152,186.6200,-1.2500
1784776523.046800,8752,9090,2129,3011,192.0300,-0.9400
1784776523.098533,8837,9043,2345,2983,189.3300,0.5000
1784776523.150366,8743,9043,2261,3058,186.6200,0.9400
1784776523.201604,8780,9024,2289,3021,186.6200,1.1200
1784776523.253395,8799,9015,2251,3021,186.6200,2.0600
1784776523.304778,8771,9071,2317,3021,189.3300,-0.5000
1784776523.356447,8752,9024,2355,2955,189.3300,-0.3700
1784776523.407799,8743,9109,2420,3021,186.6200,0.8800
1784776523.459581,8752,9109,2317,2899,186.6200,-0.2500
1784776523.511350,8752,9090,2533,3039,189.3300,0.8100
1784776523.562530,8658,9081,2326,3021,189.3300,0.5000
1784776523.614415,8715,9043,2411,2927,183.9200,-0.9400
1784776523.665798,8677,9081,2514,2992,185.6200,-1.6300
1784776523.717441,8771,9118,2477,2908,187.6700,0.8800
1784776523.768814,8808,9081,2430,3030,189.3300,-2.8100
1784776523.820492,8715,9043,2505,2917,185.6200,3.0000
1784776523.871745,8762,9024,2523,2880,184.9100,-2.6300
1784776523.923847,8771,9062,2430,2946,189.3300,2.0000
1784776523.975405,8762,9156,2514,2936,183.9200,-1.8800
1784776524.026789,8724,9156,2589,2927,182.9600,-0.3100
1784776524.078444,8687,9099,2561,3011,187.6700,-1.1200
1784776524.129683,8677,9071,2655,2908,185.6200,-0.9400
1784776524.181498,8658,8996,2627,2974,190.4300,-0.8800
1784776524.232752,8658,9071,2598,2824,190.9200,0.5600
1784776524.284873,8658,8959,2542,2870,193.1900,0.3100
1784776524.335887,8733,9024,2608,2880,196.2200,1.0600
1784776524.387771,8687,9015,2645,2795,193.1900,1.5600
1784776524.439449,8743,8949,2589,2899,180.3100,-0.3700
1784776524.490677,8743,8977,2645,2842,182.9600,-1.3700
1784776524.542614,8687,9024,2627,2805,181.2100,0.5000
1784776524.593790,8687,9043,2617,2805,183.9200,-0.3100
1784776524.645517,8649,9099,2655,2852,184.9100,2.0600
1784776524.696824,8696,9081,2683,2852,180.3100,1.5000
1784776524.748601,8611,9062,2692,2786,181.2100,-0.7500
1784776524.800407,8621,9062,2655,2805,178.5100,1.7500
1784776524.851629,8621,8996,2674,2739,182.1500,1.7500
1784776524.903822,8583,8930,2645,2674,177.6600,0.3100
1784776524.954848,8630,8930,2683,2730,173.1000,2.1300
1784776525.006525,8677,8930,2692,2664,178.5100,-0.3100
1784776525.057843,8640,9043,2674,2711,181.2100,0.7500
1784776525.109591,8630,8987,2767,2702,181.2100,-0.6900
1784776525.160866,8724,8987,2749,2692,181.2100,-1.0000
1784776525.212621,8658,8987,2767,2608,183.9200,-0.1900
1784776525.264519,8649,9259,2861,2664,187.6700,-0.6900
1784776525.315869,8696,9278,2767,2674,180.3100,-0.0600
1784776525.367556,8724,9324,2758,2645,183.9200,0.9400
1784776525.418858,8752,9240,2720,2589,186.6200,1.0600
1784776525.470614,8743,9221,2786,2608,183.9200,1.1200
1784776525.521864,8780,9249,2805,2627,183.9200,1.0000
1784776525.573614,8780,9306,2833,2645,182.1500,0.6900
1784776525.625482,8780,9259,2842,2589,180.3100,1.5000
1784776525.676906,8687,9231,2880,2552,175.8000,-1.5600
1784776525.728536,8677,9099,2814,2580,178.5100,-0.5600
1784776525.779720,8705,9099,2842,2608,183.9200,-0.3100
1784776525.831554,8696,8893,2861,2542,183.9200,0.6900
1784776525.882776,8658,8893,2852,2552,183.9200,1.0000
1784776525.934915,8640,8902,2899,2533,186.6200,-1.3700
1784776525.985942,8649,8912,2946,2552,183.9200,-0.9400
1784776526.037670,8640,8959,2964,2552,183.9200,-1.1200
1784776526.089502,8668,8808,2861,2523,189.3300,-3.8100
1784776526.140740,8583,8808,2833,2495,186.6200,-1.5000
1784776526.192565,8649,8846,2870,2514,183.9200,1.1900
1784776526.243732,8677,8846,2842,2495,181.2100,-1.6300
1784776526.295951,8621,8818,2814,2580,183.9200,0.5600
1784776526.346951,8602,8818,2908,2486,186.6200,-1.1200
1784776526.398751,8602,8818,2880,2495,183.9200,0.6300
1784776526.449963,8630,8846,2889,2486,183.9200,-0.5600
1784776526.501719,8715,8846,2889,2542,185.6200,-0.5600
1784776526.553586,8602,8874,2936,2458,195.9500,0.4400
1784776526.604777,8658,8865,2861,2467,185.6200,-0.4400
1784776526.656638,8668,8818,2870,2486,183.9200,1.3100
1784776526.707975,8621,8827,2889,2533,183.9200,-0.7500
1784776526.759655,8611,8846,2870,2430,182.1500,-0.1200
1784776526.810969,8687,8827,2880,2467,177.6600,-1.1200
1784776526.862716,8668,8865,2955,2383,176.6300,0.0600
1784776526.913994,8611,9221,2974,2477,172.3600,-1.1900
1784776526.965990,8640,9465,2936,2439,173.1000,1.5000
1784776527.017618,8574,9090,2917,2411,173.8700,-0.1200
1784776527.068968,8555,9118,2917,2411,175.0100,-0.5600
1784776527.120666,8565,9137,2936,2523,176.6300,-1.5000
1784776527.171908,8565,9099,2927,2355,173.1000,0.3700
1784776527.223711,8583,9484,2974,2383,172.3600,-0.1200
1784776527.275021,8630,9428,2955,2308,173.1000,0.1200
1784776527.326978,8583,9446,2983,2401,175.8000,0.3700
1784776527.378630,8583,9493,3011,2336,179.3900,0.5000
1784776527.430092,8574,9503,2974,2345,178.5100,-0.5000
1784776527.481658,8518,9456,2936,2392,177.6600,-0.5600
1784776527.532923,8536,9409,2983,2364,182.1500,-0.4400
1784776527.584711,8536,9399,3011,2308,177.6600,0.4400
1784776527.635917,8546,9437,2983,2364,182.1500,-1.6300
1784776527.688104,8518,9428,3021,2308,178.5100,-0.4400
1784776527.739036,8536,9418,3011,2317,178.5100,-0.4400
1784776527.790881,8640,9456,3011,2280,178.5100,-0.4400
1784776527.842664,8565,9493,3011,2280,173.8700,1.6900
1784776527.893962,8565,8940,3049,2280,172.3600,1.0000
1784776527.945739,8602,9005,3049,2317,171.1100,0.3700
1784776527.996901,8565,9052,2992,2233,169.7100,-1.2500
1784776528.049137,8518,9062,3049,2270,175.8000,0.6300
1784776528.100153,8518,9071,3067,2317,178.5100,-1.0600
1784776528.151921,8518,9071,3049,2251,178.5100,0.8100
1784776528.203696,8508,9099,3086,2289,184.9100,1.1200
1784776528.254894,8508,9099,3143,2270,182.9600,-1.6900
1784776528.306717,8546,9099,3105,2270,181.2100,-0.1900
1784776528.358128,8602,9156,3058,2261,178.5100,0.7500
1784776528.409767,8565,9249,3133,2317,175.8000,-0.5600
1784776528.461130,8555,9268,3105,2242,178.5100,1.7500
1784776528.512876,8583,9418,3143,2270,178.5100,-0.6900
1784776528.564215,8649,9475,3124,2186,178.5100,0.7500
1784776528.616120,8640,9512,3152,2223,178.5100,-0.3100
1784776528.667709,8640,9493,3171,2251,181.2100,-1.1200
1784776528.719103,8687,9512,3133,2158,184.9100,-0.3700
1784776528.770957,8621,9484,3143,2214,180.3100,-1.0000
1784776528.822227,8611,9399,3161,2204,183.9200,2.5000
1784776528.873800,8630,9399,3218,2251,189.3300,0.4400
1784776528.925475,8630,9005,3189,2289,189.3300,1.6900
1784776528.976827,8630,9081,3218,2242,181.2100,-0.8100
1784776529.028690,8630,9428,3227,2289,178.5100,0.6300
1784776529.080213,8499,9315,3255,2289,183.9200,2.1300
1784776529.131801,8555,9127,3218,2139,181.2100,1.4400
1784776529.183179,8536,9137,3274,2233,178.5100,-0.3100
1784776529.234847,8508,9118,3218,2158,175.0100,1.5600
1784776529.286393,8518,9174,3199,2148,182.1500,-1.1900
1784776529.337920,8546,9165,3302,2148,175.8000,1.2500
1784776529.389105,8574,9174,3227,2129,175.8000,-0.3700
1784776529.441268,8583,9156,3264,2148,175.8000,0.0000
1784776529.492734,8508,9127,3236,2054,178.5100,1.1900
1784776529.544332,8574,9212,3377,2129,181.2100,-0.2500
1784776529.595805,8593,9231,3274,2129,175.0100,-0.1200
1784776529.646966,8555,9240,3311,2158,182.1500,1.8100
1784776529.698951,8536,9240,3311,2101,178.5100,-0.8800
1784776529.750081,8574,9202,3349,2139,178.5100,1.2500
1784776529.802211,8640,9259,3340,2054,175.0100,-1.3700
1784776529.853247,8621,9202,3396,2064,176.6300,0.3100
1784776529.905200,8527,9446,3415,2158,175.0100,-1.6300
1784776529.956807,8555,9446,3321,2026,182.1500,1.1200
1784776530.007976,8583,9446,3302,1979,178.5100,-0.7500
1784776530.059842,8565,9484,3321,1979,178.5100,1.3700
1784776530.111058,8583,9315,3330,2045,181.2100,-0.2500
1784776530.163196,8574,9324,3349,2017,181.2100,2.9400
1784776530.214278,8574,9324,3377,1989,173.1000,0.6900
1784776530.265937,8555,9109,3386,1951,173.1000,2.1300
1784776530.317790,8565,9240,3340,1989,172.3600,0.4400
1784776530.368992,8611,9137,3377,2007,173.1000,0.0000
1784776530.420848,8593,9137,3443,1951,173.8700,-1.1200
1784776530.472073,8555,9109,3377,1951,169.7100,-1.1900
1784776530.524300,8536,9034,3377,1932,173.1000,-1.2500
1784776530.575271,8536,9034,3480,1998,178.5100,-1.1200
1784776530.626932,8546,8968,3546,1932,176.6300,-2.3100
1784776530.678293,8536,9005,3537,1989,173.1000,-0.5600
1784776530.730202,8536,8987,3518,1932,170.4000,1.1200
1784776530.781818,8499,8930,3508,1857,167.0500,0.8100
1784776530.833067,8499,8940,3471,1876,162.2800,0.4400
1784776530.884872,8536,8940,3546,1895,167.6900,0.0600
1784776530.936262,8518,8977,3555,1904,162.2800,-1.6900
1784776530.988039,8471,8996,3621,1895,160.0700,1.2500
1784776531.039277,8499,9015,3630,1961,161.7500,-0.0600
1784776531.091021,8499,8987,3630,1942,156.4500,-0.6300
1784776531.142828,8508,9024,3658,1914,156.4500,-0.6300
1784776531.194386,8490,9005,3668,1895,151.1400,0.6300
1784776531.245939,8499,8987,3687,1876,154.5500,-1.1200
1784776531.297258,8499,9062,3640,1867,148.4900,0.5600
1784776531.348982,8499,8996,3705,1951,148.7600,0.2500
1784776531.400295,8508,9034,3640,1895,151.4600,-0.2500
1784776531.452022,8518,9052,3705,1857,149.0300,0.6900
1784776531.503237,8527,9071,3612,1867,140.6400,0.1900
1784776531.555284,8527,9137,3640,1857,135.2300,2.1300
1784776531.606900,8536,9043,3593,1839,137.9400,-0.6900
1784776531.658297,8555,9024,3621,1886,132.5300,3.4400
1784776531.709941,8527,9090,3630,1848,129.8300,-1.2500
1784776531.761128,8546,9109,3640,1848,132.4700,0.0600
1784776531.812970,8546,9137,3602,1820,127.1200,1.1900
1784776531.864303,8546,9156,3687,1904,124.6300,0.8800
1784776531.916317,8508,9137,3649,1820,124.4200,-0.4400
1784776531.967377,8536,9137,3668,1820,124.4200,1.5600
1784776532.019120,8536,9156,3677,1839,121.7100,-0.3700
1784776532.070942,8555,9184,3696,1829,121.7100,-1.3100
1784776532.122187,8574,9193,3677,1867,116.3000,-0.8800
1784776532.173972,8527,9118,3696,1848,119.0100,-1.0000
