Standard EKF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=63.0  y=4257.5
   0.002       1      119.0     4077.7
   0.005       2      116.5     4076.8
   0.008       3      137.9     4080.3
   0.011       4      136.2     4077.3
   0.013       5      140.6     4081.8
   0.016       6      140.1     4085.1
   0.019       7      141.2     4081.9
   0.022       8      138.6     4079.1
   0.025       9      139.3     4080.7
   0.028      10      138.8     4082.7
   0.031      11      141.2     4082.7
   0.034      12      137.8     4080.4
   0.036      13      140.4     4082.8
   0.039      14      138.9     4083.1
   0.042      15      141.2     4084.9
   0.045      16      141.0     4082.7
   0.048      17      141.1     4082.5
   0.051      18      141.8     4083.5
   0.054      19      140.8     4084.6
   0.056      20      138.9     4081.3
   0.059      21      138.9     4080.6
   0.062      22      138.2     4080.4
   0.065      23      138.2     4080.3
   0.068      24      138.1     4081.8
   0.070      25      138.6     4082.4
   0.073      26      139.4     4083.0
   0.076      27      140.0     4083.3
   0.079      28      142.0     4085.8
   0.082      29      141.7     4085.4
   0.085      30      142.7     4085.4
   0.087      31      143.8     4085.6
   0.090      32      143.2     4086.3
   0.093      33      142.9     4086.3
   0.096      34      143.5     4086.5
   0.099      35      141.7     4085.1
   0.102      36      142.0     4085.6
   0.104      37      142.1     4085.7
   0.107      38      142.6     4086.0
   0.110      39      143.8     4086.6
   0.113      40      143.3     4087.6
   0.116      41      143.3     4087.9
   0.118      42      142.5     4087.3
   0.121      43      143.5     4087.3
   0.124      44      143.1     4086.8
   0.127      45      143.1     4086.9
   0.130      46      143.1     4085.9
   0.132      47      143.1     4085.5
   0.135      48      142.3     4085.2
   0.138      49      142.7     4084.4
   0.141      50      143.8     4085.3
   0.144      51      144.0     4085.4
   0.146      52      145.1     4084.9
   0.149      53      145.7     4084.2
   0.152      54      146.2     4084.8
   0.155      55      145.1     4084.0
   0.158      56      145.6     4084.2
   0.161      57      145.9     4084.1
   0.163      58      146.6     4084.5
   0.166      59      145.3     4085.1
   0.169      60      146.2     4084.8
   0.172      61      145.8     4084.6
   0.175      62      145.9     4084.3
   0.178      63      145.3     4084.7
   0.180      64      144.8     4084.1
   0.185      65      144.9     4083.8
   0.195      66      145.2     4084.7
   0.212      67      145.9     4085.0
   0.228      68      146.6     4085.5
   0.245      69      146.8     4084.7
   0.262      70      147.2     4083.3
   0.279      71      147.8     4082.6
   0.296      72      147.7     4081.4
   0.313      73      149.0     4080.2
   0.330      74      149.6     4079.5
   0.347      75      150.5     4078.5
   0.363      76      150.4     4078.3
   0.380      77      151.2     4077.9
   0.397      78      152.3     4078.3
   0.414      79      153.2     4078.0
   0.431      80      153.8     4077.4
   0.450      81      154.4     4076.5
   0.466      82      155.2     4075.5
   0.483      83      155.2     4075.0
   0.499      84      156.4     4074.5
   0.516      85      157.2     4073.6
   0.533      86      157.1     4073.1
   0.550      87      158.6     4073.4
   0.567      88      159.9     4073.4
   0.584      89      160.1     4073.7
   0.601      90      161.5     4073.8
   0.619      91      162.0     4073.8
   0.635      92      162.7     4074.1
   0.652      93      163.0     4074.7
   0.668      94      163.8     4075.8
   0.685      95      164.9     4075.2
   0.702      96      166.1     4074.3
   0.719      97      167.4     4073.6
   0.737      98      168.5     4073.0
   0.754      99      169.4     4073.6
   0.770     100      170.7     4072.5
   0.787     101      172.1     4071.8
   0.804     102      173.7     4071.6
   0.821     103      175.5     4071.5
   0.838     104      176.8     4071.4
   0.855     105      178.5     4071.6
   0.872     106      180.3     4071.2
   0.889     107      181.4     4071.2
   0.905     108      182.3     4071.6
   0.922     109      183.2     4071.1
   0.939     110      183.8     4071.9
   0.956     111      185.1     4071.7
   0.973     112      186.6     4071.5
   0.990     113      188.5     4072.2
   1.007     114      190.4     4072.3
   1.024     115      191.9     4072.9
   1.041     116      193.6     4073.5
   1.057     117      195.1     4074.5
   1.073     118      196.8     4075.3
   1.090     119      197.9     4076.0
   1.107     120      199.1     4076.8
   1.124     121      201.3     4077.2
   1.141     122      202.8     4077.6
   1.158     123      203.5     4078.2
   1.175     124      205.5     4079.6
   1.191     125      206.8     4081.1
   1.208     126      208.8     4082.3
   1.225     127      210.9     4083.2
   1.242     128      211.7     4084.3
   1.261     129      212.6     4085.2
   1.277     130      214.5     4086.0
   1.294     131      216.1     4086.4
   1.311     132      217.0     4086.8
   1.327     133      219.0     4087.0
   1.344     134      220.9     4087.0
   1.361     135      222.9     4086.3
   1.378     136      224.7     4085.5
   1.395     137      226.6     4083.5
   1.412     138      228.4     4081.7
   1.429     139      229.2     4079.7
   1.446     140      230.7     4078.2
   1.462     141      232.5     4076.9
   1.479     142      233.7     4074.8
   1.496     143      235.0     4074.4
   1.513     144      236.4     4074.0
   1.530     145      238.4     4074.3
   1.547     146      240.2     4073.4
   1.564     147      242.4     4073.4
   1.580     148      244.4     4074.1
   1.598     149      246.5     4074.7
   1.613     150      248.9     4076.3
   1.630     151      250.5     4076.6
   1.648     152      253.0     4078.3
   1.664     153      255.6     4079.8
   1.681     154      258.1     4081.6
   1.699     155      259.7     4082.7
   1.716     156      261.7     4083.8
   1.733     157      264.4     4084.8
   1.752     158      266.7     4086.3
   1.767     159      268.9     4087.3
   1.786     160      271.1     4088.1
   1.803     161      272.9     4089.1
   1.819     162      275.5     4089.6
   1.836     163      277.8     4089.8
   1.853     164      280.2     4090.0
   1.870     165      282.8     4090.0
   1.886     166      283.4     4090.5
   1.903     167      286.1     4090.7
   1.920     168      289.1     4091.1
   1.937     169      290.5     4090.9
   1.955     170      293.3     4090.8
   1.971     171      295.4     4091.6
   1.988     172      298.0     4091.4
   2.004     173      300.5     4091.4
   2.021     174      302.2     4090.6
   2.041     175      304.8     4090.4
   2.056     176      305.8     4090.0
   2.074     177      307.9     4090.0
   2.090     178      309.0     4089.4
   2.108     179      311.2     4089.3
