EKF_RT — Standard Extended Kalman Filter (Numba JIT)
  Q=0.01  R=50.0  (hardcoded)
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[EKF_RT] Warming up JIT kernels... OK

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)   dt(ms)
--------------------------------------------------
[EKF] init  x=6749.0  y=1437.4
   0.000       1     6743.7     1005.7    0.075
   0.003       2     6618.6      961.7    0.052
   0.005       3     6574.9      934.5    0.046
   0.008       4     6532.6      922.2    0.039
   0.010       5     6501.4      916.5    0.041
   0.013       6     6469.5      909.5    0.054
   0.015       7     6445.5      891.4    0.058
   0.018       8     6462.3      891.9    0.062
   0.020       9     6472.6      895.7    0.038
   0.023      10     6501.1      908.6    0.038
   0.025      11     6511.5      912.7    0.038
   0.027      12     6505.5      909.8    0.037
   0.030      13     6500.1      905.6    0.037
   0.032      14     6493.5      906.3    0.036
   0.035      15     6484.7      902.5    0.044
   0.037      16     6477.0      899.2    0.040
   0.039      17     6470.1      896.6    0.042
   0.042      18     6462.2      892.7    0.038
   0.044      19     6457.8      892.3    0.037
   0.047      20     6454.2      890.9    0.036
   0.049      21     6452.4      889.2    0.036
   0.051      22     6450.2      889.9    0.037
   0.054      23     6448.9      889.0    0.037
   0.056      24     6449.1      891.6    0.036
   0.058      25     6447.3      892.1    0.037
   0.061      26     6444.7      891.0    0.036
   0.063      27     6444.4      891.5    0.037
   0.066      28     6443.2      890.9    0.037
   0.068      29     6442.0      889.9    0.037
   0.070      30     6440.8      890.0    0.037
   0.073      31     6438.6      889.1    0.036
   0.075      32     6436.7      889.6    0.036
   0.077      33     6434.1      889.8    0.036
   0.080      34     6432.4      890.3    0.036
   0.082      35     6432.5      890.0    0.036
   0.084      36     6431.7      890.7    0.039
   0.087      37     6431.3      891.2    0.038
   0.089      38     6430.5      891.4    0.039
   0.092      39     6430.8      891.0    0.037
   0.094      40     6432.4      891.0    0.036
   0.096      41     6432.1      891.9    0.036
   0.099      42     6432.2      891.0    0.036
   0.101      43     6437.4      894.1    0.035
   0.103      44     6437.6      895.0    0.035
   0.106      45     6437.8      895.7    0.036
   0.108      46     6437.6      896.1    0.035
   0.110      47     6439.6      896.8    0.036
   0.113      48     6439.5      897.8    0.036
   0.115      49     6441.5      897.9    0.037
   0.118      50     6442.1      899.0    0.057
   0.120      51     6442.2      900.5    0.037
   0.122      52     6443.8      901.4    0.036
   0.125      53     6446.2      902.5    0.035
   0.127      54     6450.0      903.7    0.037
   0.129      55     6453.5      904.2    0.036
   0.132      56     6454.4      904.4    0.036
   0.134      57     6453.1      905.2    0.036
   0.136      58     6452.5      904.6    0.038
   0.139      59     6451.8      904.1    0.039
   0.141      60     6451.1      903.3    0.035
   0.144      61     6455.4      904.0    0.040
   0.146      62     6453.6      903.7    0.037
   0.148      63     6454.2      904.2    0.036
   0.151      64     6456.1      904.5    0.035
   0.156      65     6455.3      905.0    0.040
   0.175      66     6454.3      905.2    0.039
   0.192      67     6453.9      905.2    0.041
   0.210      68     6452.9      904.4    0.039
   0.228      69     6451.7      905.0    0.047
   0.246      70     6451.4      906.0    0.043
   0.264      71     6450.0      906.8    0.040
   0.280      72     6449.2      906.5    0.038
   0.297      73     6447.1      906.3    0.041
   0.315      74     6445.0      906.4    0.040
   0.331      75     6443.4      906.7    0.039
   0.348      76     6441.9      907.2    0.042
   0.367      77     6440.6      907.0    0.042
   0.383      78     6438.8      907.7    0.049
   0.400      79     6436.0      907.3    0.044
   0.417      80     6433.7      907.1    0.047
   0.434      81     6431.0      907.2    0.041
   0.452      82     6429.8      907.7    0.043
   0.468      83     6427.2      907.3    0.040
   0.485      84     6424.6      906.9    0.051
   0.503      85     6422.8      906.5    0.051
   0.519      86     6421.3      906.0    0.047
   0.538      87     6419.7      906.4    0.042
   0.554      88     6417.3      906.8    0.043
   0.571      89     6415.7      907.2    0.041
   0.587      90     6415.2      907.7    0.061
   0.604      91     6414.2      907.8    0.044
   0.621      92     6413.2      908.5    0.039
   0.638      93     6410.4      908.7    0.042
   0.655      94     6409.0      908.1    0.047
   0.672      95     6407.0      908.0    0.044
   0.692      96     6404.9      907.3    0.044
   0.710      97     6403.8      905.8    0.041
   0.726      98     6401.9      905.7    0.040
   0.745      99     6400.0      905.8    0.042
   0.761     100     6398.1      906.3    0.039
   0.778     101     6396.7      905.9    0.039
   0.795     102     6394.6      904.7    0.041
   0.812     103     6393.2      904.0    0.040
   0.828     104     6391.7      903.0    0.039
   0.845     105     6389.9      902.5    0.045
   0.861     106     6388.4      901.9    0.040
   0.878     107     6386.1      901.3    0.040
   0.895     108     6384.7      900.5    0.043
   0.912     109     6384.5      899.6    0.040
   0.929     110     6383.7      898.9    0.038
   0.946     111     6383.6      897.9    0.042
   0.964     112     6382.2      896.9    0.039
   0.980     113     6380.4      896.4    0.040
   0.997     114     6378.8      896.0    0.044
   1.014     115     6377.9      896.5    0.050
   1.033     116     6376.6      895.8    0.044
   1.049     117     6375.0      895.1    0.042
   1.066     118     6374.3      894.0    0.041
   1.083     119     6372.1      893.3    0.040
   1.101     120     6370.7      892.6    0.041
   1.117     121     6367.9      892.2    0.039
   1.136     122     6366.0      892.0    0.042
   1.152     123     6364.8      891.4    0.043
   1.169     124     6362.9      890.6    0.061
   1.187     125     6361.4      890.1    0.061
   1.204     126     6360.3      889.2    0.059
   1.222     127     6358.9      889.7    0.059
   1.238     128     6357.8      889.2    0.063
   1.257     129     6356.3      888.6    0.061
   1.273     130     6354.6      888.0    0.076
   1.290     131     6352.4      887.1    0.075
   1.307     132     6350.5      886.1    0.102
   1.324     133     6348.9      886.1    0.073
   1.341     134     6347.5      885.3    0.113
   1.357     135     6346.3      885.4    0.072
   1.374     136     6345.2      884.0    0.119
   1.390     137     6344.6      884.1    0.108
   1.408     138     6343.8      884.0    0.081
   1.424     139     6342.4      884.5    0.075
   1.441     140     6340.3      883.6    0.074
   1.458     141     6338.9      883.0    0.071
   1.475     142     6337.1      883.2    0.073
   1.495     143     6335.3      883.3    0.074
   1.511     144     6333.9      883.3    0.078
   1.527     145     6332.2      884.2    0.115
   1.546     146     6330.9      885.8    0.076
   1.562     147     6329.8      886.1    0.072
   1.579     148     6328.4      887.0    0.071
   1.596     149     6327.5      887.8    0.075
   1.614     150     6326.2      889.0    0.070
   1.630     151     6324.5      890.0    0.072
   1.647     152     6324.8      891.6    0.076
   1.664     153     6323.8      894.0    0.104
   1.681     154     6322.0      895.1    0.072
   1.698     155     6321.2      895.2    0.077
   1.717     156     6320.6      895.0    0.071
   1.736     157     6320.0      895.6    0.072
   1.752     158     6320.2      898.1    0.081
   1.768     159     6319.6      900.0    0.073
   1.785     160     6320.4      901.4    0.073
   1.802     161     6319.8      903.0    0.075
   1.822     162     6319.9      904.4    0.071
   1.839     163     6321.1      905.6    0.080
   1.857     164     6321.3      907.7    0.079
   1.873     165     6322.4      909.4    0.073
   1.892     166     6322.6      911.6    0.076
   1.908     167     6323.8      913.5    0.072
   1.927     168     6325.2      914.9    0.071
   1.943     169     6327.8      916.9    0.075
   1.960     170     6328.5      918.9    0.074
   1.978     171     6328.9      920.6    0.069
   1.994     172     6330.3      923.0    0.077
   2.011     173     6331.5      923.5    0.072
   2.030     174     6333.1      924.6    0.087
   2.046     175     6331.4      925.0    0.081
   2.063     176     6325.2      924.7    0.072
   2.079     177     6318.9      925.0    0.073
   2.097     178     6312.4      925.1    0.075
   2.115     179     6306.9      925.3    0.071
   2.131     180     6301.1      925.8    0.071
   2.148     181     6293.9      925.3    0.073
   2.165     182     6287.7      924.9    0.071
   2.182     183     6281.6      924.1    0.074
   2.198     184     6275.0      923.8    0.075
   2.215     185     6268.2      923.8    0.071
   2.234     186     6262.3      924.3    0.110
   2.250     187     6256.2      924.2    0.083
   2.267     188     6250.0      924.2    0.074
   2.284     189     6243.5      925.0    0.072
   2.301     190     6237.3      925.5    0.078
   2.318     191     6232.1      925.7    0.073
   2.336     192     6227.1      925.9    0.073
   2.353     193     6222.0      926.1    0.074
   2.370     194     6217.5      925.8    0.098
   2.386     195     6212.3      925.7    0.099
   2.403     196     6208.0      925.9    0.075
   2.420     197     6203.4      925.8    0.078
   2.437     198     6199.1      925.6    0.081
   2.454     199     6194.6      926.1    0.103
   2.471     200     6190.5      926.3    0.073
   2.488     201     6186.7      926.3    0.076
   2.505     202     6182.9      926.4    0.073
   2.522     203     6178.9      926.6    0.101
   2.538     204     6175.5      926.8    0.110
   2.556     205     6172.6      927.4    0.079
   2.574     206     6169.3      926.9    0.104
   2.590     207     6166.6      925.6    0.099
   2.607     208     6163.5      925.7    0.078
   2.624     209     6160.4      925.0    0.072
   2.641     210     6157.6      924.6    0.073
   2.659     211     6155.5      924.8    0.075
   2.675     212     6153.0      924.6    0.076
   2.692     213     6150.6      923.5    0.077
   2.709     214     6147.4      922.9    0.075
   2.726     215     6144.9      922.5    0.136
   2.744     216     6143.3      921.5    0.085
   2.760     217     6141.0      921.7    0.074
   2.777     218     6138.4      922.7    0.071
   2.794     219     6136.4      922.5    0.100
   2.810     220     6134.4      922.8    0.077
   2.827     221     6132.3      922.6    0.071
   2.846     222     6129.5      923.0    0.102
   2.862     223     6127.0      922.8    0.076
   2.881     224     6124.8      923.1    0.072
   2.897     225     6122.5      923.4    0.077
   2.914     226     6120.1      923.6    0.075
   2.931     227     6118.9      923.3    0.070
   2.947     228     6117.4      923.8    0.073
   2.964     229     6115.9      923.7    0.071
   2.980     230     6115.7      924.5    0.071
   2.996     231     6114.1      924.9    0.069
   3.013     232     6112.7      924.4    0.064
   3.030     233     6110.9      924.5    0.071
   3.048     234     6109.5      924.2    0.071
   3.065     235     6108.6      923.9    0.065
   3.081     236     6107.4      923.3    0.063
   3.099     237     6106.2      923.2    0.081
   3.116     238     6105.3      923.9    0.074
   3.132     239     6104.8      924.0    0.070
   3.150     240     6103.6      923.5    0.073
   3.166     241     6102.6      922.5    0.070
   3.184     242     6102.2      921.9    0.070
   3.200     243     6100.8      921.1    0.075
   3.218     244     6100.3      920.4    0.077
   3.234     245     6100.4      919.7    0.079
   3.251     246     6099.0      919.4    0.076
   3.267     247     6098.8      919.1    0.071
   3.287     248     6097.6      919.2    0.071
   3.304     249     6096.3      918.7    0.074
   3.321     250     6095.2      918.3    0.069
   3.339     251     6094.4      918.4    0.070
   3.356     252     6091.9      917.4    0.072
   3.374     253     6089.3      916.6    0.071
   3.390     254     6087.2      914.9    0.072
   3.408     255     6084.6      914.1    0.072
   3.424     256     6083.7      914.1    0.071
   3.442     257     6081.5      914.2    0.070
   3.460     258     6078.4      914.3    0.080
   3.476     259     6075.0      912.0    0.073
   3.492     260     6072.6      910.8    0.072
   3.511     261     6070.3      910.6    0.076
   3.528     262     6067.1      910.4    0.070
   3.544     263     6063.7      908.8    0.071
   3.561     264     6061.8      910.8    0.071
   3.579     265     6060.0      911.1    0.071
   3.595     266     6056.5      910.8    0.069
   3.612     267     6054.8      910.3    0.073
   3.629     268     6052.7      910.5    0.069
   3.646     269     6051.4      910.0    0.073
   3.663     270     6052.4      910.3    0.071
   3.681     271     6053.0      911.0    0.071
   3.698     272     6052.4      911.5    0.073
   3.715     273     6050.5      911.6    0.072
   3.733     274     6049.0      911.2    0.071
   3.753     275     6047.5      910.7    0.076
   3.772     276     6046.2      911.1    0.070
   3.789     277     6047.5      912.1    0.070
   3.806     278     6043.7      911.5    0.073
   3.822     279     6039.8      910.8    0.070
   3.839     280     6036.2      910.6    0.070
   3.858     281     6032.8      910.1    0.074
   3.874     282     6028.3      909.2    0.069
   3.891     283     6023.2      908.2    0.071
   3.908     284     6018.1      906.9    0.074
   3.925     285     6013.3      905.6    0.069
   3.941     286     6008.0      905.0    0.070
   3.957     287     6004.7      904.2    0.072
   3.974     288     6006.8      906.0    0.069
   3.991     289     6003.9      905.1    0.070
   4.008     290     5999.1      904.1    0.072
   4.024     291     5994.3      903.8    0.077
   4.040     292     5990.3      903.6    0.069
   4.056     293     5986.3      904.1    0.073
   4.073     294     5982.2      903.7    0.076
   4.091     295     5978.4      904.1    0.072
   4.109     296     5974.7      904.9    0.074
   4.125     297     5971.0      905.0    0.074
   4.142     298     5967.1      904.5    0.072
   4.159     299     5963.6      904.4    0.087
   4.176     300     5959.1      904.6    0.069
   4.195     301     5954.7      904.1    0.075
   4.212     302     5951.5      903.8    0.074
   4.229     303     5947.3      903.5    0.080
   4.245     304     5943.1      903.2    0.072
   4.262     305     5938.5      902.9    0.074
   4.279     306     5935.5      902.9    0.071
   4.296     307     5931.9      903.1    0.070
   4.314     308     5927.8      902.8    0.075
   4.333     309     5923.8      902.4    0.070
   4.349     310     5920.1      902.1    0.075
   4.365     311     5915.7      901.9    0.072
   4.383     312     5912.6      901.8    0.114
