KF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=126.1  y=4294.5
   0.002       1      177.5     4084.1
   0.005       2      164.4     4079.4
   0.008       3      160.4     4037.0
   0.011       4      157.7     4042.8
   0.014       5      159.0     4042.8
   0.016       6      149.7     4046.3
   0.019       7      143.4     4046.4
   0.022       8      143.8     4040.6
   0.025       9      144.9     4042.4
   0.028      10      146.0     4042.3
   0.031      11      147.0     4043.2
   0.034      12      146.9     4040.7
   0.036      13      144.9     4038.7
   0.039      14      142.3     4031.5
   0.042      15      144.7     4030.8
   0.045      16      144.5     4033.1
   0.048      17      143.4     4032.6
   0.051      18      144.6     4033.6
   0.053      19      148.0     4032.7
   0.056      20      146.7     4031.2
   0.059      21      147.9     4031.4
   0.062      22      147.4     4031.0
   0.065      23      146.0     4030.6
   0.067      24      146.1     4031.5
   0.070      25      145.4     4031.8
   0.073      26      146.3     4030.8
   0.076      27      144.6     4030.2
   0.078      28      143.9     4031.5
   0.081      29      143.6     4032.8
   0.084      30      144.4     4033.8
   0.087      31      145.3     4034.1
   0.090      32      145.2     4034.7
   0.092      33      144.6     4034.2
   0.095      34      145.4     4034.8
   0.098      35      146.0     4035.2
   0.101      36      145.6     4035.7
   0.103      37      146.5     4037.3
   0.106      38      146.8     4037.1
   0.109      39      147.1     4037.6
   0.112      40      147.3     4036.2
   0.115      41      147.0     4034.6
   0.117      42      146.5     4034.4
   0.120      43      146.9     4033.3
   0.123      44      147.3     4032.2
   0.126      45      147.3     4032.7
   0.129      46      148.0     4032.8
   0.131      47      148.8     4031.9
   0.134      48      148.7     4032.8
   0.137      49      149.2     4032.7
   0.140      50      149.7     4032.2
   0.142      51      149.8     4033.1
   0.145      52      150.0     4032.1
   0.148      53      149.3     4031.9
   0.151      54      149.5     4031.6
   0.154      55      149.7     4032.6
   0.156      56      149.5     4033.0
   0.159      57      150.6     4032.5
   0.162      58      150.7     4032.7
   0.165      59      150.7     4032.2
   0.167      60      150.9     4031.1
   0.170      61      150.9     4031.8
   0.173      62      150.8     4030.6
   0.176      63      150.8     4030.2
   0.179      64      150.7     4030.3
   0.181      65      150.8     4030.3
   0.185      66      151.1     4030.9
   0.193      67      151.8     4031.0
   0.210      68      151.7     4031.0
   0.227      69      152.1     4030.2
   0.244      70      152.2     4029.1
   0.261      71      152.6     4027.5
   0.278      72      153.2     4026.9
   0.295      73      153.4     4026.0
   0.311      74      154.0     4024.4
   0.328      75      154.4     4023.2
   0.345      76      153.5     4021.9
   0.364      77      153.0     4019.4
   0.380      78      152.9     4018.5
   0.397      79      154.0     4017.1
   0.414      80      153.6     4016.2
   0.431      81      154.0     4014.9
   0.449      82      154.3     4013.9
   0.465      83      154.8     4013.3
   0.482      84      156.3     4012.7
   0.499      85      157.9     4012.2
   0.516      86      158.3     4012.5
   0.533      87      159.5     4013.0
   0.550      88      159.8     4013.3
   0.567      89      160.0     4013.5
   0.583      90      160.9     4014.8
   0.600      91      162.1     4015.8
   0.617      92      163.1     4015.7
   0.634      93      163.6     4016.2
   0.651      94      164.7     4017.0
   0.668      95      165.5     4017.1
   0.685      96      166.9     4017.5
   0.702      97      167.1     4018.6
   0.718      98      168.6     4018.3
   0.734      99      170.3     4018.9
   0.751     100      171.5     4018.2
   0.768     101      172.8     4018.5
   0.785     102      172.9     4017.7
   0.802     103      174.3     4017.1
   0.819     104      175.9     4017.0
   0.836     105      177.0     4017.6
   0.852     106      178.3     4017.7
   0.869     107      179.6     4018.4
   0.886     108      181.1     4017.7
   0.903     109      181.8     4018.2
   0.920     110      183.0     4020.3
   0.937     111      184.6     4020.1
   0.954     112      185.8     4020.0
   0.971     113      187.8     4020.5
   0.987     114      189.6     4020.3
   1.004     115      191.1     4020.4
   1.021     116      193.0     4021.5
   1.038     117      194.9     4022.1
   1.055     118      196.0     4022.3
   1.072     119      197.7     4023.6
   1.089     120      199.7     4023.6
   1.106     121      201.7     4025.5
   1.123     122      203.5     4026.2
   1.139     123      206.1     4027.0
   1.156     124      208.1     4027.7
   1.173     125      209.4     4029.5
   1.190     126      211.6     4030.7
   1.207     127      213.7     4031.7
   1.224     128      216.4     4032.4
   1.241     129      217.7     4032.9
   1.258     130      220.1     4033.8
   1.274     131      222.3     4034.0
   1.291     132      224.5     4032.8
   1.308     133      226.9     4033.2
   1.325     134      228.5     4032.2
   1.342     135      230.4     4031.9
   1.359     136      232.4     4030.6
   1.376     137      234.6     4028.7
   1.392     138      237.1     4027.5
   1.408     139      239.3     4025.0
   1.425     140      241.3     4021.9
   1.442     141      243.1     4020.9
   1.459     142      245.6     4019.6
   1.476     143      247.5     4018.5
   1.493     144      250.0     4017.0
   1.510     145      252.4     4017.7
   1.527     146      255.3     4017.6
   1.543     147      258.2     4018.1
   1.560     148      260.5     4018.9
   1.577     149      263.7     4018.9
   1.594     150      266.2     4019.7
   1.611     151      269.0     4020.0
   1.628     152      271.3     4020.5
   1.645     153      273.4     4020.4
   1.662     154      276.0     4021.3
   1.679     155      279.2     4022.0
   1.695     156      280.8     4022.6
   1.712     157      283.4     4024.1
   1.729     158      285.6     4024.6
   1.746     159      288.8     4024.4
   1.763     160      291.5     4024.0
   1.780     161      294.3     4024.4
   1.797     162      296.7     4024.3
   1.814     163      298.8     4024.7
   1.830     164      301.0     4025.3
   1.847     165      302.7     4026.4
   1.864     166      305.4     4026.5
   1.883     167      307.7     4026.0
   1.899     168      309.6     4026.4
   1.916     169      312.1     4026.5
   1.933     170      314.3     4025.4
   1.950     171      316.2     4024.1
   1.966     172      318.9     4022.2
   1.983     173      321.6     4021.2
   2.000     174      323.8     4020.2
   2.017     175      325.5     4019.8
   2.034     176      326.7     4018.6
   2.051     177      328.6     4018.4
   2.068     178      331.3     4017.3
   2.085     179      333.7     4017.1
   2.101     180      335.3     4017.1
   2.118     181      337.6     4017.1
   2.135     182      339.3     4016.3
   2.152     183      341.2     4016.3
   2.169     184      343.8     4015.9
   2.186     185      345.8     4016.7
   2.203     186      347.4     4017.3
   2.220     187      349.6     4016.8
   2.236     188      351.6     4017.1
   2.253     189      353.5     4017.6
   2.270     190      355.7     4018.2
   2.287     191      357.5     4019.0
   2.304     192      359.5     4019.8
   2.321     193      361.7     4020.7
   2.338     194      363.9     4020.6
   2.355     195      366.6     4021.4
   2.371     196      369.0     4022.6
   2.388     197      371.6     4022.4
   2.405     198      373.8     4022.1
   2.422     199      375.9     4022.5
   2.441     200      378.5     4022.2
   2.457     201      381.1     4022.9
   2.474     202      384.2     4022.8
   2.491     203      386.9     4023.0
   2.507     204      389.7     4023.0
   2.524     205      391.1     4024.0
   2.541     206      393.1     4025.1
   2.558     207      395.2     4026.7
   2.575     208      395.8     4028.4
   2.592     209      396.9     4030.1
   2.609     210      398.6     4031.4
   2.626     211      399.8     4032.1
   2.642     212      401.8     4032.5
   2.659     213      403.8     4032.9
   2.676     214      406.8     4032.7
   2.693     215      409.8     4032.9
   2.710     216      412.4     4033.6
   2.727     217      414.8     4035.2
   2.744     218      417.1     4035.3
   2.760     219      418.9     4035.4
   2.778     220      422.0     4036.1
   2.795     221      425.2     4036.4
   2.812     222      428.0     4036.3
   2.829     223      431.3     4037.4
   2.846     224      434.0     4037.0
   2.863     225      436.5     4037.6
   2.881     226      439.2     4037.4
   2.897     227      441.5     4037.5
   2.915     228      443.6     4037.6
   2.933     229      445.5     4037.9
   2.951     230      447.8     4039.1
   2.969     231      449.5     4038.4
   2.987     232      452.7     4039.2
   3.007     233      455.6     4039.7
   3.025     234      457.2     4039.5
   3.041     235      458.8     4040.5
   3.060     236      460.9     4041.2
   3.076     237      463.7     4042.4
   3.093     238      465.9     4043.5
   3.108     239      468.4     4044.5
   3.125     240      470.4     4044.6
   3.142     241      472.6     4044.0
   3.159     242      475.7     4043.3
   3.176     243      477.5     4042.6
   3.193     244      480.2     4042.9
   3.210     245      481.7     4042.4
   3.227     246      484.2     4042.3
   3.245     247      486.9     4041.8
   3.261     248      488.9     4041.1
   3.278     249      491.1     4041.0
   3.295     250      493.1     4038.8
   3.315     251      495.6     4037.1
   3.330     252      498.1     4035.9
   3.350     253      501.4     4035.0
   3.368     254      503.0     4034.3
   3.384     255      505.0     4034.9
   3.402     256      506.0     4035.2
   3.419     257      508.6     4035.0
   3.436     258      510.5     4034.6
   3.454     259      511.8     4034.5
   3.471     260      514.1     4034.7
   3.487     261      516.4     4034.5
   3.504     262      518.4     4033.7
   3.520     263      521.2     4032.9
   3.537     264      523.2     4032.8
   3.554     265      526.3     4031.9
   3.571     266      528.4     4031.4
   3.588     267      530.1     4029.7
   3.605     268      532.6     4029.1
   3.621     269      535.5     4030.7
   3.638     270      538.8     4031.3
   3.655     271      541.7     4031.7
   3.673     272      544.9     4033.3
   3.689     273      548.8     4034.9
   3.707     274      550.2     4032.6
   3.723     275      552.0     4034.4
   3.740     276      555.2     4036.2
   3.757     277      556.0     4033.7
   3.773     278      559.6     4037.6
   3.790     279      563.5     4039.9
   3.807     280      567.0     4041.8
   3.824     281      570.7     4040.0
   3.841     282      573.4     4043.2
   3.858     283      576.1     4044.2
   3.874     284      579.8     4046.7
   3.891     285      582.4     4046.2
   3.909     286      585.1     4044.9
   3.925     287      587.4     4044.2
   3.943     288      590.0     4043.8
   3.959     289      592.8     4042.6
   3.977     290      595.5     4042.4
   3.993     291      597.8     4041.4
   4.011     292      599.8     4040.4
