KF_RT — Linear Kalman Filter (Numba JIT)
  Q=0.01  R=50.0  (hardcoded)
  H linearized at LS estimate each step
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[KF_RT] Warming up JIT kernels... OK

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)   dt(ms)
--------------------------------------------------
[KF] init  x=6600.0  y=1230.4
   0.034       1     6619.6      840.5    0.089
   0.037       2     6652.4      831.8    0.060
   0.039       3     6650.5      831.5    0.044
   0.042       4     6675.7      851.3    0.051
   0.044       5     6679.3      849.7    0.043
   0.047       6     6680.4      852.0    0.046
   0.049       7     6684.0      853.0    0.042
   0.052       8     6692.8      857.2    0.041
   0.054       9     6694.5      856.7    0.043
   0.057      10     6695.6      854.4    0.040
   0.059      11     6698.7      853.9    0.040
   0.061      12     6699.2      851.4    0.040
   0.064      13     6700.8      848.7    0.040
   0.066      14     6700.8      851.3    0.041
   0.069      15     6699.7      850.0    0.040
   0.071      16     6700.0      852.5    0.040
   0.074      17     6696.2      850.9    0.040
   0.076      18     6692.4      850.8    0.040
   0.078      19     6688.7      850.6    0.041
   0.081      20     6685.0      850.7    0.041
   0.083      21     6683.1      851.4    0.039
   0.086      22     6685.5      853.7    0.044
   0.088      23     6688.0      855.5    0.040
   0.091      24     6685.2      855.1    0.046
   0.093      25     6684.2      855.7    0.044
   0.095      26     6685.5      856.2    0.040
   0.098      27     6687.5      858.6    0.046
   0.100      28     6686.6      858.6    0.040
   0.103      29     6684.1      858.4    0.040
   0.105      30     6684.6      859.5    0.040
   0.107      31     6684.3      860.5    0.040
   0.110      32     6688.2      861.0    0.040
   0.112      33     6687.7      859.7    0.039
   0.115      34     6690.4      860.2    0.039
   0.117      35     6689.5      860.3    0.040
   0.119      36     6689.6      859.0    0.039
   0.122      37     6689.4      859.1    0.040
   0.124      38     6689.0      860.8    0.039
   0.127      39     6687.2      861.5    0.040
   0.129      40     6683.6      860.7    0.039
   0.131      41     6685.2      860.7    0.040
   0.134      42     6685.3      859.8    0.040
   0.136      43     6684.1      860.3    0.039
   0.139      44     6685.2      861.1    0.041
   0.141      45     6684.2      859.7    0.059
   0.144      46     6684.3      859.3    0.040
   0.146      47     6684.1      858.8    0.040
   0.148      48     6682.9      858.7    0.043
   0.151      49     6683.1      856.7    0.041
   0.153      50     6683.5      857.0    0.040
   0.156      51     6683.4      856.9    0.040
   0.158      52     6684.3      856.5    0.039
   0.160      53     6685.0      856.4    0.039
   0.163      54     6685.9      856.9    0.039
   0.165      55     6686.8      857.6    0.040
   0.167      56     6687.5      857.5    0.039
   0.170      57     6686.8      857.2    0.040
   0.172      58     6686.3      855.8    0.047
   0.175      59     6686.6      855.2    0.039
   0.177      60     6687.0      856.2    0.040
   0.179      61     6687.9      855.3    0.039
   0.182      62     6688.3      854.5    0.043
   0.184      63     6689.2      855.1    0.040
   0.187      64     6688.3      854.8    0.040
   0.189      65     6688.7      856.5    0.040
   0.197      66     6689.0      857.4    0.048
   0.213      67     6689.4      858.9    0.056
   0.229      68     6690.2      859.9    0.048
   0.246      69     6690.8      860.6    0.050
   0.263      70     6692.5      861.6    0.048
   0.280      71     6693.1      862.2    0.043
   0.297      72     6693.9      862.7    0.049
   0.315      73     6694.8      863.0    0.045
   0.332      74     6696.8      863.8    0.044
   0.348      75     6691.3      862.9    0.046
   0.365      76     6686.1      862.4    0.044
   0.382      77     6686.1      863.0    0.047
   0.399      78     6680.7      862.6    0.048
   0.417      79     6675.5      861.6    0.082
   0.433      80     6669.8      861.5    0.044
   0.450      81     6667.8      862.1    0.046
   0.467      82     6661.7      861.2    0.044
   0.484      83     6654.6      860.9    0.071
   0.501      84     6648.4      861.5    0.047
   0.518      85     6642.3      861.0    0.044
   0.535      86     6636.2      860.2    0.044
   0.552      87     6630.8      859.0    0.045
   0.569      88     6626.1      859.1    0.047
   0.585      89     6621.5      859.4    0.045
   0.606      90     6617.5      858.6    0.046
   0.622      91     6613.2      858.3    0.084
   0.639      92     6608.1      858.6    0.053
   0.657      93     6603.6      857.7    0.056
   0.674      94     6597.9      856.9    0.086
   0.691      95     6592.8      856.2    0.054
   0.707      96     6588.5      856.8    0.052
   0.724      97     6583.4      856.5    0.043
   0.741      98     6578.1      855.7    0.047
   0.758      99     6573.2      853.8    0.046
   0.778     100     6568.0      852.3    0.045
   0.796     101     6563.0      851.2    0.043
   0.812     102     6559.6      851.5    0.044
   0.831     103     6555.4      850.2    0.046
   0.848     104     6551.5      850.2    0.048
   0.865     105     6547.2      849.0    0.043
   0.882     106     6542.8      848.4    0.043
   0.899     107     6539.7      847.1    0.046
   0.916     108     6537.1      845.3    0.044
   0.933     109     6533.3      844.6    0.054
   0.949     110     6530.6      843.0    0.050
   0.966     111     6525.2      841.3    0.047
   0.983     112     6521.2      840.1    0.056
   0.999     113     6516.3      839.0    0.052
   1.019     114     6512.3      837.9    0.047
   1.035     115     6509.1      837.5    0.051
   1.053     116     6505.8      836.3    0.048
   1.074     117     6502.6      834.7    0.115
   1.090     118     6501.3      833.5    0.060
   1.107     119     6496.6      832.6    0.104
   1.124     120     6495.8      831.6    0.053
   1.142     121     6495.5      832.0    0.075
   1.158     122     6495.2      832.3    0.070
   1.175     123     6493.4      831.1    0.068
   1.192     124     6492.6      832.2    0.179
   1.208     125     6492.3      831.7    0.116
   1.227     126     6491.4      830.6    0.071
   1.244     127     6490.6      830.3    0.093
   1.261     128     6491.7      830.5    0.089
   1.278     129     6490.7      830.4    0.088
   1.295     130     6493.9      832.1    0.087
   1.310     131     6496.9      833.2    0.085
   1.327     132     6491.2      831.6    0.080
   1.343     133     6489.4      831.4    0.084
   1.360     134     6492.1      833.2    0.092
   1.379     135     6491.1      833.5    0.080
   1.395     136     6493.9      834.1    0.084
   1.415     137     6491.9      833.5    0.086
   1.433     138     6494.0      834.8    0.083
   1.449     139     6491.3      834.1    0.080
   1.467     140     6485.0      833.9    0.076
   1.484     141     6483.2      833.0    0.071
   1.501     142     6486.1      834.9    0.079
   1.517     143     6484.6      835.4    0.073
   1.536     144     6487.8      837.7    0.071
   1.553     145     6490.8      839.8    0.088
   1.571     146     6492.5      840.9    0.081
   1.587     147     6494.7      843.1    0.115
   1.606     148     6496.7      846.6    0.091
   1.622     149     6494.8      847.4    0.085
   1.639     150     6492.2      848.5    0.083
   1.655     151     6490.2      850.8    0.082
   1.672     152     6491.2      853.0    0.090
   1.689     153     6492.7      855.9    0.083
   1.707     154     6488.9      856.0    0.078
   1.725     155     6485.6      857.0    0.074
   1.742     156     6486.8      859.0    0.076
   1.759     157     6488.1      860.3    0.088
   1.776     158     6489.1      862.3    0.082
   1.796     159     6485.2      862.4    0.084
   1.816     160     6481.4      863.3    0.127
   1.832     161     6477.7      864.8    0.149
   1.849     162     6468.4      864.5    0.096
   1.865     163     6464.7      864.9    0.097
   1.882     164     6462.0      865.7    0.076
   1.899     165     6457.6      866.1    0.076
   1.915     166     6457.9      868.0    0.076
   1.932     167     6454.3      868.5    0.074
   1.949     168     6451.0      868.5    0.089
   1.966     169     6446.7      868.6    0.096
   1.983     170     6442.3      868.5    0.087
   2.000     171     6438.6      868.9    0.084
   2.016     172     6434.9      868.6    0.083
   2.034     173     6431.0      868.5    0.081
   2.051     174     6426.9      868.3    0.089
   2.067     175     6423.3      868.3    0.075
   2.083     176     6419.6      867.9    0.073
   2.101     177     6414.9      867.8    0.099
   2.117     178     6411.2      868.5    0.079
   2.134     179     6402.8      868.0    0.116
   2.151     180     6393.9      867.9    0.075
   2.168     181     6386.6      866.9    0.073
   2.185     182     6379.0      866.1    0.074
   2.204     183     6371.3      865.8    0.093
   2.219     184     6368.2      865.8    0.075
   2.237     185     6366.4      866.4    0.097
   2.253     186     6363.8      866.5    0.095
   2.271     187     6360.8      866.8    0.083
   2.288     188     6354.7      865.8    0.082
   2.305     189     6348.6      865.3    0.089
   2.322     190     6342.5      864.4    0.082
   2.339     191     6334.9      864.3    0.080
   2.355     192     6327.3      863.3    0.080
   2.371     193     6321.0      862.3    0.075
   2.390     194     6315.1      861.7    0.072
   2.406     195     6308.8      860.9    0.074
   2.423     196     6303.0      859.8    0.071
   2.440     197     6296.8      859.2    0.073
   2.457     198     6291.4      858.7    0.091
   2.474     199     6285.8      858.0    0.087
   2.493     200     6280.4      856.7    0.084
   2.511     201     6274.5      855.7    0.083
   2.527     202     6269.6      854.0    0.080
   2.544     203     6264.7      852.2    0.084
   2.560     204     6259.8      851.9    0.079
   2.577     205     6256.0      851.1    0.073
   2.594     206     6251.8      849.9    0.071
   2.611     207     6246.8      848.5    0.073
   2.627     208     6241.1      847.2    0.073
   2.644     209     6235.4      845.3    0.074
   2.663     210     6229.5      843.7    0.083
   2.679     211     6223.9      842.5    0.091
   2.696     212     6219.2      841.2    0.082
   2.713     213     6215.0      839.8    0.082
   2.730     214     6210.3      838.3    0.078
   2.748     215     6206.2      837.9    0.090
   2.764     216     6201.4      837.0    0.087
   2.781     217     6197.0      835.8    0.081
   2.798     218     6192.5      835.8    0.081
   2.817     219     6187.7      835.2    0.081
   2.835     220     6182.9      834.1    0.081
   2.852     221     6179.0      833.2    0.086
   2.869     222     6176.6      832.7    0.084
   2.885     223     6176.8      833.3    0.098
   2.902     224     6173.8      832.8    0.088
   2.919     225     6169.8      831.4    0.084
   2.935     226     6170.5      832.1    0.083
   2.952     227     6171.4      832.3    0.082
   2.969     228     6167.8      831.2    0.081
   2.986     229     6171.9      833.6    0.105
   3.003     230     6171.1      834.3    0.072
   3.020     231     6170.3      834.5    0.072
   3.036     232     6169.2      834.5    0.073
   3.053     233     6168.3      834.6    0.075
   3.070     234     6167.9      835.0    0.092
   3.087     235     6166.8      835.2    0.088
   3.104     236     6170.8      836.3    0.090
   3.121     237     6165.7      834.8    0.083
   3.138     238     6161.0      833.6    0.084
   3.156     239     6156.7      832.2    0.084
   3.172     240     6156.7      831.7    0.084
   3.189     241     6150.9      830.6    0.081
   3.206     242     6151.3      831.1    0.103
   3.223     243     6146.8      829.5    0.087
   3.240     244     6141.7      828.7    0.083
   3.257     245     6137.1      827.4    0.085
   3.274     246     6132.9      825.9    0.079
   3.291     247     6127.3      824.7    0.081
   3.309     248     6122.8      823.6    0.083
   3.326     249     6118.6      822.9    0.084
   3.346     250     6114.2      822.1    0.079
   3.363     251     6109.8      821.8    0.083
   3.381     252     6105.1      821.3    0.081
   3.397     253     6100.7      820.6    0.081
   3.413     254     6097.2      818.8    0.081
   3.429     255     6091.7      817.0    0.079
   3.446     256     6088.6      816.6    0.081
   3.463     257     6086.0      814.7    0.082
   3.480     258     6083.7      813.1    0.081
   3.496     259     6081.0      812.4    0.080
   3.513     260     6078.1      811.5    0.082
   3.530     261     6075.1      811.4    0.079
   3.547     262     6071.7      810.5    0.079
   3.564     263     6072.5      811.2    0.082
   3.580     264     6071.4      810.9    0.080
   3.597     265     6072.2      811.6    0.121
   3.614     266     6070.1      811.4    0.090
