LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.001       1      266.0     1082.8
   0.004       2      182.5      928.5
   0.007       3      246.3     1044.2
   0.010       4      204.0      978.3
   0.012       5      275.7     1069.9
   0.015       6      226.6     1062.7
   0.018       7      269.4     1103.5
   0.021       8      275.2     1052.1
   0.023       9      259.1      997.8
   0.026      10      224.8     1131.9
   0.029      11      245.1     1059.2
   0.032      12      266.6     1123.7
   0.035      13      285.2     1133.2
   0.038      14      239.6     1071.8
   0.040      15      225.7     1007.4
   0.043      16      249.8     1081.9
   0.046      17      238.1     1056.8
   0.048      18      270.7     1051.1
   0.051      19      218.8     1019.6
   0.054      20      230.7     1026.2
   0.056      21      259.4     1018.9
   0.059      22      207.4      993.5
   0.062      23      279.4     1038.3
   0.064      24      246.6     1027.5
   0.067      25      235.9     1075.5
   0.070      26      277.5     1072.2
   0.072      27      172.2      952.5
   0.075      28      265.1     1046.4
   0.078      29      283.2     1059.9
   0.080      30      245.1      963.6
   0.083      31      254.7     1050.5
   0.086      32      273.4     1129.6
   0.088      33      239.5     1050.1
   0.091      34      220.3     1033.1
   0.094      35      229.2      982.2
   0.096      36      263.1     1036.0
   0.099      37      284.2     1024.6
   0.102      38      272.1     1023.9
   0.104      39      201.0      942.3
   0.107      40      263.5     1038.4
   0.110      41      234.0     1042.8
   0.112      42      170.6      976.1
   0.115      43      202.1     1069.9
   0.118      44      202.3     1104.5
   0.120      45      174.4      956.9
   0.123      46      236.5      997.5
   0.126      47      295.7     1051.0
   0.128      48      274.9     1048.8
   0.131      49      274.7     1049.8
   0.134      50      192.5      987.4
   0.136      51      242.1     1032.0
   0.139      52      184.1     1036.3
   0.142      53      297.7     1125.1
   0.144      54      332.4     1066.6
   0.147      55      230.0     1067.6
   0.150      56      253.9      995.2
   0.152      57      282.0     1108.4
   0.155      58      271.4     1114.7
   0.158      59      303.9     1066.2
   0.160      60      321.9     1090.3
   0.163      61      281.0     1123.5
   0.166      62      301.6     1117.3
   0.168      63      266.8     1075.8
   0.171      64      297.4     1053.3
   0.174      65      206.7      998.5
   0.195      67      247.8     1093.2
   0.212      68      281.0     1056.9
   0.228      69      280.0     1142.1
   0.245      70      271.2     1089.6
   0.262      71      285.5     1103.7
   0.279      72      334.6     1106.0
   0.296      73      306.0     1138.5
   0.313      74      286.5     1122.9
   0.330      75      294.2     1109.3
   0.347      76      275.7     1120.8
   0.363      77      295.2     1090.8
   0.380      78      243.6     1090.2
   0.397      79      208.0      984.9
   0.414      80      238.0     1064.0
   0.431      81      287.4     1062.6
   0.448      82      267.1     1073.1
   0.465      83      162.7      942.3
   0.482      84      291.2     1079.7
