PC-EKF V3 — UWB Realtime
  Q=0.01  R_base=50.0  R_scale=30.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3
--------------------------------------------------------------------
[EKF] init  x=44.6  y=763.2
   0.033       1      173.7      703.9   0.000   0.450   0.494   0.305
   0.037       2      188.1      710.5   0.000   0.458   0.486   0.290
   0.040       3      201.5      733.4   0.001   0.458   0.487   0.290
   0.044       4      194.4      739.2   0.002   0.415   0.508   0.355
   0.048       5      199.6      739.0   0.001   0.355   0.507   0.414
   0.052       6      193.3      725.9   0.000   0.452   0.492   0.301
   0.055       7      195.7      726.6   0.001   0.457   0.488   0.292
   0.059       8      201.7      728.8   0.000   0.466   0.464   0.263
   0.063       9      205.1      743.5   0.316   0.511   0.467   0.040
   0.066      10      200.2      741.5   0.003   0.378   0.510   0.394
   0.070      11      193.6      740.3   0.004   0.387   0.511   0.386
   0.074      12      193.0      738.0   0.001   0.391   0.510   0.380
   0.078      13      190.3      736.2   0.002   0.402   0.509   0.370
   0.081      14      189.8      738.1   0.010   0.359   0.510   0.416
   0.085      15      189.9      736.5   0.001   0.379   0.510   0.392
   0.089      16      192.4      733.5   0.000   0.276   0.477   0.462
   0.092      17      189.5      734.4   0.009   0.428   0.509   0.345
   0.096      18      190.7      734.1   0.001   0.461   0.481   0.282
   0.099      19      190.6      735.9   0.008   0.447   0.501   0.318
   0.103      20      190.5      733.9   0.001   0.393   0.510   0.378
   0.107      21      189.8      730.9   0.000   0.393   0.509   0.377
   0.110      22      189.6      732.1   0.008   0.400   0.511   0.376
   0.114      23      189.7      733.1   0.006   0.455   0.494   0.302
   0.118      24      191.0      733.8   0.003   0.446   0.498   0.314
   0.121      25      190.3      733.7   0.005   0.414   0.509   0.358
   0.125      26      190.1      732.8   0.003   0.355   0.508   0.416
   0.129      27      190.1      734.0   0.009   0.416   0.511   0.359
   0.132      28      188.4      733.9   0.008   0.427   0.508   0.345
   0.136      29      186.6      732.0   0.003   0.345   0.506   0.424
   0.139      30      185.5      730.8   0.004   0.310   0.496   0.450
   0.143      31      185.8      729.7   0.001   0.388   0.510   0.383
   0.147      32      185.7      729.4   0.005   0.376   0.510   0.397
   0.151      33      186.4      730.2   0.005   0.463   0.482   0.282
   0.154      34      187.5      732.2   0.239   0.585   0.568   0.349
   0.158      35      188.0      734.4   0.304   0.610   0.607   0.338
   0.161      36      187.0      733.3   0.004   0.331   0.503   0.435
   0.165      37      185.5      734.7   0.037   0.394   0.519   0.403
   0.169      38      185.9      735.0   0.006   0.382   0.511   0.392
   0.172      39      185.3      738.4   0.527   0.596   0.598   0.473
   0.176      40      185.4      739.6   0.018   0.415   0.514   0.367
   0.180      41      185.1      738.0   0.001   0.324   0.501   0.439
   0.183      42      185.6      735.1   0.000   0.380   0.390   0.509
   0.187      43      185.5      734.6   0.003   0.446   0.499   0.315
   0.190      44      185.3      733.2   0.002   0.293   0.488   0.457
   0.194      45      185.8      733.5   0.005   0.421   0.508   0.350
   0.198      46      185.9      734.3   0.012   0.464   0.490   0.290
   0.201      47      187.1      732.4   0.000   0.387   0.509   0.384
   0.205      48      186.5      732.3   0.010   0.358   0.510   0.418
   0.209      49      186.0      732.0   0.009   0.340   0.506   0.431
   0.212      50      185.9      732.9   0.025   0.379   0.515   0.409
   0.216      51      185.6      733.6   0.019   0.440   0.510   0.337
   0.219      52      186.1      733.5   0.002   0.443   0.500   0.318
