PC-EKF V4 — UWB Realtime (Numba JIT, Gaussian Pairwise Scoring)
  Q=0.01  R_base=50.0  R_scale=10.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[PC-EKF] Warming up JIT kernels... OK
Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3   dt(ms)
------------------------------------------------------------------------------
[EKF] init  x=6263.9  y=780.7
   0.000       1     6167.6      805.3   0.951   0.947   0.958   0.859    0.104
   0.003       2     6170.1      797.0   0.007   0.007   0.000   0.000    0.080
   0.006       3     6199.2      801.9   0.000   0.000   0.000   0.000    0.065
   0.008       4     6191.7      797.2   0.000   0.023   0.023   0.000    0.062
   0.011       5     6183.8      794.1   0.051   0.054   0.003   0.000    0.053
   0.013       6     6179.9      786.7   0.133   0.000   0.133   0.000    0.056
   0.016       7     6194.1      790.9   0.000   0.000   0.000   0.000    0.056
   0.018       8     6184.1      789.6   0.129   0.234   0.327   0.000    0.052
   0.021       9     6175.1      788.2   0.308   0.097   0.358   0.000    0.053
   0.023      10     6167.5      784.2   0.292   0.285   0.010   0.000    0.051
   0.026      11     6159.5      781.7   0.474   0.421   0.257   0.000    0.054
   0.028      12     6153.9      779.3   0.332   0.332   0.000   0.000    0.052
   0.031      13     6150.8      776.2   0.091   0.091   0.000   0.000    0.052
   0.033      14     6147.9      773.8   0.121   0.121   0.000   0.000    0.054
   0.036      15     6151.9      774.8   0.000   0.000   0.000   0.000    0.054
   0.038      16     6155.5      775.3   0.000   0.000   0.000   0.000    0.053
   0.041      17     6166.8      779.3   0.000   0.000   0.000   0.000    0.053
   0.043      18     6176.9      782.7   0.000   0.000   0.000   0.000    0.052
   0.046      19     6174.4      783.3   0.000   0.000   0.000   0.000    0.052
   0.048      20     6172.5      781.8   0.147   0.147   0.000   0.000    0.057
   0.051      21     6170.1      780.9   0.000   0.000   0.000   0.000    0.052
   0.053      22     6176.9      781.7   0.000   0.092   0.092   0.000    0.079
   0.056      23     6177.0      782.0   0.000   0.005   0.005   0.000    0.056
   0.058      24     6172.8      779.4   0.000   0.001   0.001   0.000    0.054
   0.061      25     6177.5      781.1   0.000   0.001   0.001   0.000    0.054
   0.063      26     6174.9      781.2   0.000   0.323   0.323   0.000    0.052
   0.066      27     6171.8      778.9   0.017   0.000   0.017   0.000    0.052
   0.068      28     6170.0      777.1   0.051   0.049   0.002   0.000    0.053
   0.071      29     6167.9      775.7   0.333   0.333   0.001   0.000    0.052
   0.073      30     6166.7      775.2   0.223   0.223   0.000   0.000    0.054
   0.075      31     6165.2      773.1   0.000   0.027   0.027   0.000    0.068
   0.078      32     6164.5      773.2   0.000   0.000   0.000   0.000    0.053
   0.080      33     6163.0      771.8   0.005   0.102   0.097   0.000    0.052
   0.083      34     6161.3      769.9   0.002   0.000   0.002   0.000    0.051
   0.085      35     6158.9      769.5   0.018   0.263   0.277   0.000    0.052
   0.088      36     6157.4      769.2   0.000   0.000   0.000   0.000    0.051
   0.090      37     6156.6      768.0   0.000   0.302   0.302   0.000    0.050
   0.093      38     6155.6      767.5   0.000   0.276   0.276   0.000    0.052
   0.095      39     6155.0      767.7   0.000   0.000   0.000   0.000    0.052
   0.098      40     6153.8      767.2   0.000   0.000   0.000   0.000    0.056
   0.100      41     6153.6      767.1   0.000   0.000   0.000   0.000    0.053
   0.103      42     6157.6      768.8   0.000   0.000   0.000   0.000    0.051
   0.105      43     6156.9      768.4   0.000   0.000   0.000   0.000    0.058
   0.108      44     6155.2      767.4   0.194   0.041   0.155   0.000    0.054
   0.110      45     6154.7      766.7   0.000   0.000   0.000   0.000    0.051
   0.113      46     6153.6      766.3   0.000   0.008   0.008   0.000    0.052
   0.115      47     6157.9      767.9   0.000   0.000   0.000   0.000    0.051
   0.117      48     6161.8      769.0   0.000   0.121   0.121   0.000    0.054
   0.120      49     6161.1      768.5   0.000   0.190   0.190   0.000    0.053
   0.122      50     6160.1      767.9   0.002   0.002   0.000   0.000    0.051
   0.125      51     6163.2      769.2   0.000   0.000   0.000   0.000    0.054
   0.127      52     6167.2      770.6   0.000   0.000   0.000   0.000    0.052
   0.130      53     6166.0      771.0   0.000   0.000   0.000   0.000    0.052
   0.132      54     6162.2      771.9   0.620   0.553   0.587   0.000    0.052
   0.135      55     6161.0      771.2   0.033   0.245   0.218   0.000    0.050
   0.137      56     6159.8      770.5   0.026   0.065   0.039   0.000    0.051
   0.140      57     6160.0      769.3   0.123   0.123   0.000   0.000    0.053
   0.142      58     6159.0      769.1   0.020   0.020   0.000   0.000    0.050
   0.145      59     6158.9      768.7   0.000   0.000   0.000   0.000    0.052
   0.147      60     6158.9      768.4   0.000   0.000   0.000   0.000    0.057
   0.150      61     6158.7      768.6   0.000   0.000   0.000   0.000    0.059
   0.152      62     6161.5      769.8   0.000   0.000   0.000   0.000    0.055
   0.155      63     6163.4      770.8   0.000   0.000   0.000   0.000    0.060
   0.157      64     6162.2      770.5   0.026   0.027   0.000   0.000    0.055
   0.162      65     6164.2      771.2   0.000   0.004   0.004   0.000    0.054
   0.173      66     6166.3      772.9   0.000   0.000   0.000   0.000    0.060
   0.189      67     6169.4      773.9   0.000   0.000   0.000   0.000    0.058
   0.206      68     6168.0      773.4   0.000   0.000   0.000   0.000    0.061
   0.223      69     6167.3      772.6   0.329   0.329   0.000   0.000    0.060
   0.240      70     6166.3      772.0   0.101   0.101   0.000   0.000    0.060
   0.257      71     6173.2      770.2   0.000   0.000   0.000   0.000    0.122
   0.274      72     6172.6      769.3   0.000   0.003   0.003   0.000    0.063
   0.291      73     6177.7      771.8   0.000   0.000   0.000   0.000    0.060
   0.309      74     6176.0      771.6   0.001   0.001   0.000   0.000    0.099
   0.325      75     6174.2      770.9   0.032   0.000   0.032   0.000    0.070
   0.342      76     6172.1      770.3   0.304   0.000   0.304   0.000    0.063
   0.359      77     6174.1      771.4   0.000   0.000   0.000   0.000    0.066
   0.377      78     6172.9      771.2   0.084   0.084   0.000   0.000    0.063
   0.395      79     6171.5      771.6   0.324   0.324   0.000   0.000    0.070
   0.414      80     6170.1      771.2   0.325   0.325   0.000   0.000    0.066
   0.431      81     6168.8      772.0   0.322   0.322   0.000   0.000    0.062
   0.450      82     6167.5      771.9   0.324   0.324   0.000   0.000    0.073
   0.466      83     6166.5      772.1   0.000   0.000   0.000   0.000    0.063
   0.483      84     6168.4      773.6   0.000   0.000   0.000   0.000    0.061
   0.500      85     6170.4      775.3   0.000   0.000   0.000   0.000    0.062
   0.517      86     6170.2      775.5   0.000   0.000   0.000   0.000    0.061
   0.534      87     6169.3      775.2   0.000   0.000   0.000   0.000    0.061
   0.552      88     6168.9      774.8   0.000   0.000   0.000   0.000    0.060
   0.568      89     6170.5      775.4   0.000   0.000   0.000   0.000    0.060
   0.587      90     6169.8      775.6   0.000   0.000   0.000   0.000    0.056
   0.605      91     6169.3      776.2   0.000   0.000   0.000   0.000    0.059
   0.621      92     6168.7      777.0   0.006   0.006   0.000   0.000    0.058
   0.639      93     6167.6      776.9   0.000   0.000   0.000   0.000    0.059
   0.655      94     6167.4      777.4   0.006   0.006   0.000   0.000    0.075
   0.672      95     6166.8      777.6   0.332   0.332   0.000   0.000    0.061
   0.689      96     6166.0      777.5   0.000   0.000   0.000   0.000    0.061
   0.706      97     6164.4      776.8   0.000   0.098   0.098   0.000    0.073
   0.723      98     6163.0      776.8   0.000   0.055   0.055   0.000    0.071
   0.743      99     6161.4      775.6   0.000   0.000   0.000   0.000    0.064
   0.760     100     6160.6      775.4   0.000   0.000   0.000   0.000    0.067
   0.778     101     6159.7      775.0   0.003   0.000   0.002   0.000    0.062
   0.794     102     6158.6      774.1   0.002   0.000   0.002   0.000    0.061
   0.811     103     6158.0      774.7   0.036   0.036   0.000   0.000    0.062
   0.828     104     6156.8      774.7   0.000   0.001   0.001   0.000    0.061
   0.845     105     6156.1      774.6   0.000   0.000   0.000   0.000    0.058
   0.863     106     6154.5      773.9   0.332   0.338   0.020   0.000    0.059
   0.883     107     6153.1      773.4   0.281   0.278   0.004   0.000    0.058
   0.899     108     6152.8      772.8   0.000   0.007   0.007   0.000    0.058
   0.916     109     6151.6      772.8   0.000   0.000   0.000   0.000    0.059
   0.935     110     6150.7      773.0   0.025   0.025   0.000   0.000    0.058
   0.950     111     6149.8      773.2   0.000   0.000   0.000   0.000    0.058
   0.969     112     6148.3      772.5   0.450   0.387   0.219   0.000    0.058
   0.985     113     6148.0      772.6   0.000   0.000   0.000   0.000    0.058
   1.002     114     6147.4      772.7   0.002   0.002   0.000   0.000    0.059
   1.018     115     6146.6      772.5   0.000   0.023   0.023   0.000    0.059
   1.035     116     6146.1      772.5   0.000   0.000   0.000   0.000    0.056
   1.053     117     6145.4      772.1   0.000   0.002   0.002   0.000    0.059
   1.072     118     6144.9      772.0   0.000   0.000   0.000   0.000    0.081
   1.088     119     6144.0      772.1   0.001   0.249   0.248   0.000    0.061
   1.104     120     6143.2      771.6   0.161   0.000   0.161   0.000    0.120
   1.121     121     6142.0      771.8   0.298   0.000   0.298   0.000    0.089
   1.140     122     6141.2      770.9   0.024   0.066   0.090   0.000    0.084
   1.158     123     6140.3      770.7   0.252   0.000   0.252   0.000    0.084
   1.176     124     6139.3      770.8   0.000   0.001   0.001   0.000    0.085
   1.192     125     6138.0      770.6   0.005   0.000   0.005   0.000    0.141
   1.211     126     6137.6      770.4   0.000   0.268   0.268   0.000    0.098
   1.226     127     6136.6      769.8   0.240   0.446   0.345   0.000    0.120
   1.244     128     6135.9      769.6   0.000   0.032   0.032   0.000    0.127
   1.262     129     6135.1      769.1   0.000   0.000   0.000   0.000    0.123
   1.282     130     6134.3      769.5   0.000   0.206   0.206   0.000    0.111
   1.298     131     6133.9      769.8   0.000   0.000   0.000   0.000    0.105
   1.319     132     6133.4      769.8   0.000   0.000   0.000   0.000    0.190
   1.335     133     6132.4      769.1   0.293   0.000   0.293   0.000    0.120
   1.352     134     6131.7      769.1   0.000   0.000   0.000   0.000    0.109
   1.368     135     6131.4      768.6   0.000   0.000   0.000   0.000    0.112
   1.389     136     6131.1      767.7   0.000   0.000   0.000   0.000    0.103
   1.405     137     6131.1      767.5   0.000   0.000   0.000   0.000    0.100
   1.422     138     6130.4      767.4   0.000   0.000   0.000   0.000    0.106
   1.440     139     6129.7      767.0   0.000   0.000   0.000   0.000    0.131
   1.457     140     6129.2      766.9   0.000   0.000   0.000   0.000    0.115
   1.474     141     6128.8      766.5   0.000   0.001   0.001   0.000    0.107
   1.490     142     6128.3      766.5   0.000   0.000   0.000   0.000    0.106
   1.509     143     6127.9      766.5   0.000   0.000   0.000   0.000    0.111
   1.525     144     6127.5      766.6   0.000   0.000   0.000   0.000    0.108
   1.545     145     6127.2      766.5   0.000   0.000   0.000   0.000    0.104
   1.563     146     6126.8      766.6   0.000   0.000   0.000   0.000    0.105
   1.580     147     6126.2      766.9   0.000   0.000   0.000   0.000    0.128
   1.598     148     6125.7      766.9   0.000   0.000   0.000   0.000    0.103
   1.614     149     6125.3      767.4   0.000   0.206   0.206   0.000    0.103
   1.633     150     6125.3      767.2   0.000   0.000   0.000   0.000    0.107
   1.652     151     6125.4      768.2   0.000   0.203   0.203   0.000    0.128
