Standard EKF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=-221.6  y=4306.7
   0.002       1     -172.3     4062.9
   0.019       2     -176.6     4051.4
   0.035       3     -173.0     4043.1
   0.051       4     -163.5     4036.0
   0.067       5     -163.2     4042.5
   0.085       6     -166.1     4043.4
   0.103       7     -161.6     4050.1
   0.121       8     -156.7     4054.8
   0.137       9     -153.4     4054.3
   0.154      10     -152.6     4055.9
   0.171      11     -153.1     4058.1
   0.188      12     -153.2     4057.2
   0.204      13     -151.4     4056.6
   0.221      14     -147.8     4055.2
   0.240      15     -147.5     4056.9
   0.256      16     -147.5     4057.9
   0.275      17     -147.2     4058.0
   0.291      18     -150.6     4057.2
   0.309      19     -153.7     4055.2
   0.327      20     -155.4     4054.5
   0.345      21     -157.7     4055.1
   0.363      22     -158.7     4056.6
   0.379      23     -159.5     4056.2
   0.396      24     -162.4     4056.0
   0.414      25     -163.1     4054.9
   0.430      26     -162.7     4053.5
   0.447      27     -164.8     4053.2
   0.464      28     -164.9     4053.4
   0.481      29     -164.3     4053.0
   0.498      30     -163.7     4053.0
   0.515      31     -164.6     4052.4
   0.532      32     -163.9     4052.9
   0.549      33     -163.8     4053.5
   0.565      34     -163.1     4055.5
   0.582      35     -162.8     4055.4
   0.599      36     -162.4     4055.3
   0.616      37     -161.9     4055.0
   0.636      38     -161.6     4055.6
   0.652      39     -161.6     4055.2
   0.668      40     -161.4     4055.1
   0.686      41     -160.2     4055.0
   0.701      42     -159.7     4055.4
   0.718      43     -160.0     4055.1
   0.737      44     -159.9     4054.9
   0.755      45     -161.1     4053.5
   0.771      46     -160.3     4053.6
   0.788      47     -159.9     4053.3
   0.805      48     -160.4     4053.0
   0.821      49     -160.4     4052.6
   0.840      50     -160.8     4051.2
   0.856      51     -160.4     4051.0
   0.875      52     -160.0     4051.3
   0.892      53     -160.2     4051.7
   0.908      54     -160.2     4051.3
   0.925      55     -159.5     4051.3
   0.942      56     -159.3     4051.4
   0.960      57     -160.2     4051.0
   0.978      58     -160.4     4050.4
   0.994      59     -161.5     4050.9
   1.011      60     -161.7     4051.2
   1.028      61     -162.1     4051.2
   1.045      62     -161.6     4051.8
   1.062      63     -161.4     4051.3
   1.078      64     -162.5     4051.2
   1.095      65     -162.7     4050.9
   1.112      66     -163.3     4050.7
   1.130      67     -164.4     4050.2
   1.146      68     -164.2     4050.5
   1.163      69     -164.5     4050.5
   1.180      70     -165.1     4049.8
   1.197      71     -165.5     4049.8
   1.214      72     -166.1     4049.1
   1.230      73     -166.7     4048.7
   1.247      74     -167.2     4049.0
   1.264      75     -167.5     4048.8
   1.281      76     -167.3     4049.0
   1.298      77     -167.2     4048.5
   1.315      78     -167.9     4048.5
   1.332      79     -167.9     4049.1
   1.349      80     -167.7     4049.6
   1.365      81     -168.0     4049.6
   1.382      82     -168.1     4049.8
   1.399      83     -168.2     4050.0
   1.416      84     -168.1     4050.0
   1.433      85     -168.1     4049.8
   1.450      86     -168.1     4049.7
   1.467      87     -168.2     4049.5
   1.485      88     -168.0     4049.7
   1.501      89     -168.3     4049.9
   1.520      90     -168.6     4049.6
   1.536      91     -168.8     4049.3
   1.553      92     -169.1     4049.0
   1.570      93     -169.2     4048.9
   1.587      94     -168.7     4048.7
   1.604      95     -168.6     4048.9
   1.621      96     -168.9     4049.2
   1.639      97     -169.0     4049.4
   1.655      98     -169.1     4049.6
   1.672      99     -169.4     4049.4
   1.688     100     -169.3     4049.7
   1.705     101     -169.4     4050.0
   1.722     102     -169.1     4050.4
   1.739     103     -169.4     4050.6
   1.756     104     -169.3     4050.7
   1.772     105     -169.7     4050.4
   1.789     106     -170.1     4050.5
   1.808     107     -170.3     4050.4
   1.824     108     -170.9     4050.4
   1.841     109     -171.0     4050.6
   1.858     110     -171.0     4050.3
   1.875     111     -171.2     4050.2
   1.892     112     -171.1     4050.0
   1.908     113     -171.5     4049.8
   1.925     114     -171.6     4050.4
   1.942     115     -172.0     4050.1
   1.959     116     -172.5     4050.4
   1.976     117     -172.9     4050.6
   1.993     118     -172.9     4050.1
   2.010     119     -173.2     4050.3
   2.027     120     -172.8     4050.5
   2.043     121     -173.0     4050.6
   2.060     122     -172.6     4050.6
   2.077     123     -173.1     4050.3
   2.094     124     -172.8     4050.5
   2.110     125     -172.6     4050.3
   2.127     126     -172.6     4050.1
   2.145     127     -172.8     4050.2
   2.162     128     -172.4     4050.2
   2.179     129     -172.6     4050.0
   2.195     130     -172.8     4049.7
   2.212     131     -172.9     4049.6
   2.229     132     -172.7     4049.4
   2.246     133     -172.6     4049.8
   2.262     134     -172.4     4049.9
   2.279     135     -172.5     4049.7
   2.296     136     -172.4     4049.7
   2.313     137     -172.7     4049.7
   2.329     138     -172.7     4049.6
   2.348     139     -172.5     4049.9
   2.364     140     -172.4     4049.8
   2.381     141     -172.0     4049.8
   2.398     142     -171.9     4049.5
   2.415     143     -171.9     4049.4
   2.432     144     -171.9     4049.6
   2.449     145     -172.1     4049.1
   2.465     146     -172.1     4049.1
   2.482     147     -172.2     4048.7
   2.499     148     -172.1     4048.8
   2.516     149     -171.8     4048.8
   2.533     150     -171.4     4048.4
   2.550     151     -171.8     4048.3
   2.568     152     -171.7     4048.4
   2.585     153     -171.8     4047.8
   2.601     154     -171.7     4047.7
   2.618     155     -172.1     4047.4
   2.637     156     -172.0     4047.3
   2.653     157     -171.8     4047.3
   2.670     158     -171.6     4047.2
   2.687     159     -171.5     4047.2
   2.704     160     -171.2     4047.4
   2.721     161     -170.9     4047.5
   2.737     162     -170.8     4047.1
   2.754     163     -170.3     4047.3
   2.771     164     -170.2     4047.4
   2.788     165     -169.8     4047.7
   2.805     166     -169.8     4047.8
   2.821     167     -170.2     4047.9
   2.839     168     -170.2     4048.0
   2.856     169     -170.1     4048.3
   2.873     170     -169.7     4048.2
   2.889     171     -169.8     4048.1
   2.906     172     -169.6     4048.1
   2.923     173     -169.4     4048.2
   2.940     174     -169.2     4048.3
