EKF_RT — Standard Extended Kalman Filter (Numba JIT)
  Q=0.01  R=50.0  (hardcoded)
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[EKF_RT] Warming up JIT kernels... OK

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)   dt(ms)
--------------------------------------------------
[EKF] init  x=-599.6  y=1015.4
   0.000       1     -534.5      837.2    0.077
   0.003       2     -528.4      799.2    0.051
   0.005       3     -530.6      798.0    0.038
   0.008       4     -540.2      793.9    0.041
   0.010       5     -538.2      800.0    0.039
   0.013       6     -539.7      814.8    0.051
   0.015       7     -536.8      818.1    0.039
   0.018       8     -539.3      828.2    0.038
   0.020       9     -536.6      838.6    0.036
   0.023      10     -535.7      837.0    0.037
   0.025      11     -530.7      837.9    0.037
   0.027      12     -533.8      836.7    0.037
   0.030      13     -531.6      839.6    0.040
   0.032      14     -529.8      839.6    0.038
   0.035      15     -524.8      835.8    0.038
   0.037      16     -524.5      834.2    0.036
   0.040      17     -525.8      836.6    0.037
   0.042      18     -525.0      837.3    0.037
   0.044      19     -524.8      837.9    0.036
   0.047      20     -524.0      837.9    0.042
   0.049      21     -524.3      838.9    0.037
   0.052      22     -524.8      837.0    0.038
   0.054      23     -523.3      837.7    0.037
   0.057      24     -521.6      837.2    0.036
   0.059      25     -520.9      838.5    0.037
   0.061      26     -519.4      838.9    0.036
   0.064      27     -518.2      838.7    0.036
   0.066      28     -517.4      838.4    0.036
   0.069      29     -517.3      838.7    0.036
   0.071      30     -519.8      840.1    0.035
   0.073      31     -522.2      840.6    0.035
   0.076      32     -521.4      839.6    0.036
   0.078      33     -521.7      841.8    0.037
   0.080      34     -521.4      841.9    0.039
   0.083      35     -520.5      840.0    0.037
   0.085      36     -520.0      840.7    0.035
   0.088      37     -519.3      841.8    0.037
   0.090      38     -519.8      842.0    0.036
   0.092      39     -519.8      840.6    0.036
   0.095      40     -519.0      841.3    0.036
   0.097      41     -517.9      842.2    0.038
   0.100      42     -516.8      842.6    0.036
   0.102      43     -516.6      843.6    0.036
   0.104      44     -517.6      844.0    0.035
   0.107      45     -517.9      844.9    0.036
   0.109      46     -517.5      844.8    0.035
   0.112      47     -516.4      843.4    0.036
   0.114      48     -516.0      844.7    0.037
   0.116      49     -515.4      845.8    0.036
   0.119      50     -515.6      845.3    0.036
   0.121      51     -517.6      844.8    0.036
   0.124      52     -519.8      845.1    0.037
   0.126      53     -522.1      845.9    0.036
   0.128      54     -523.5      846.9    0.035
   0.131      55     -525.4      847.5    0.039
   0.133      56     -524.6      847.2    0.036
   0.136      57     -523.8      846.7    0.036
   0.138      58     -524.0      846.2    0.037
   0.140      59     -524.0      844.2    0.035
   0.143      60     -523.3      843.4    0.036
   0.145      61     -522.2      842.1    0.035
   0.148      62     -521.1      841.8    0.041
   0.150      63     -520.1      842.5    0.037
   0.153      64     -521.6      842.3    0.035
   0.155      65     -522.3      841.7    0.037
   0.159      66     -522.6      842.2    0.037
   0.174      67     -522.2      841.9    0.037
   0.190      68     -522.2      842.9    0.041
   0.207      69     -523.0      843.8    0.040
   0.227      70     -523.5      844.2    0.040
   0.244      71     -524.0      844.5    0.039
   0.262      72     -525.4      845.0    0.040
   0.282      73     -526.2      844.9    0.069
   0.302      74     -527.4      843.8    0.077
   0.318      75     -527.1      843.3    0.047
   0.340      76     -526.7      843.2    0.044
   0.358      77     -527.1      843.2    0.044
   0.376      78     -527.2      844.1    0.040
   0.394      79     -527.0      844.8    0.040
   0.415      80     -526.9      845.3    0.040
   0.431      81     -527.3      846.0    0.043
   0.450      82     -526.6      846.2    0.064
   0.466      83     -526.3      846.8    0.045
   0.485      84     -526.7      846.7    0.042
   0.502      85     -526.8      847.6    0.049
   0.519      86     -527.3      847.4    0.042
   0.536      87     -527.9      847.5    0.050
   0.552      88     -528.1      847.5    0.056
   0.569      89     -528.3      848.0    0.045
   0.586      90     -528.9      849.1    0.061
   0.603      91     -528.3      849.4    0.047
   0.620      92     -527.3      850.5    0.039
   0.640      93     -526.7      851.9    0.039
   0.657      94     -526.6      851.9    0.040
   0.675      95     -526.8      852.2    0.069
   0.691      96     -527.3      853.1    0.049
   0.707      97     -527.2      852.5    0.046
   0.725      98     -526.6      853.1    0.039
   0.743      99     -526.6      853.5    0.042
   0.759     100     -526.1      853.7    0.042
   0.776     101     -526.5      853.9    0.039
   0.792     102     -525.8      854.2    0.039
   0.810     103     -526.2      854.0    0.042
   0.827     104     -526.8      853.1    0.039
   0.846     105     -527.6      853.1    0.043
   0.864     106     -528.4      852.7    0.041
   0.880     107     -527.3      853.4    0.044
   0.898     108     -527.2      853.4    0.058
   0.914     109     -526.1      852.9    0.043
   0.930     110     -526.4      853.3    0.042
   0.949     111     -526.3      852.2    0.041
   0.967     112     -525.6      852.0    0.040
   0.983     113     -524.5      852.7    0.040
   0.999     114     -524.7      852.8    0.049
   1.016     115     -524.5      853.5    0.040
   1.034     116     -525.3      852.6    0.039
   1.050     117     -525.3      851.9    0.040
   1.069     118     -525.9      852.0    0.071
   1.086     119     -526.4      852.2    0.048
   1.103     120     -526.5      852.8    0.047
   1.120     121     -526.6      853.0    0.119
   1.139     122     -526.8      853.6    0.069
   1.155     123     -526.7      853.6    0.074
   1.172     124     -524.3      854.1    0.063
   1.191     125     -523.5      853.8    0.067
   1.208     126     -522.8      854.3    0.066
   1.227     127     -522.0      854.7    0.084
   1.245     128     -521.2      855.6    0.079
   1.261     129     -521.3      855.4    0.078
   1.278     130     -521.6      854.9    0.116
   1.297     131     -521.4      854.9    0.076
   1.314     132     -521.6      854.4    0.122
   1.331     133     -521.9      854.6    0.083
   1.349     134     -521.5      855.3    0.079
   1.366     135     -521.4      856.1    0.075
   1.382     136     -521.8      856.0    0.084
   1.401     137     -521.8      855.5    0.080
   1.417     138     -521.6      855.6    0.074
   1.437     139     -521.3      855.0    0.090
   1.455     140     -522.1      855.2    0.087
   1.471     141     -522.7      855.1    0.083
   1.489     142     -523.8      855.2    0.082
   1.504     143     -523.4      855.4    0.081
   1.521     144     -522.9      854.8    0.080
   1.538     145     -524.1      854.1    0.068
   1.555     146     -524.0      854.1    0.083
   1.574     147     -524.3      855.2    0.078
   1.590     148     -524.3      855.1    0.067
   1.607     149     -524.5      854.7    0.069
   1.624     150     -524.8      855.0    0.068
   1.641     151     -525.5      854.7    0.076
   1.661     152     -525.8      854.6    0.079
   1.679     153     -527.1      854.5    0.073
   1.696     154     -528.0      853.6    0.076
