KF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=-36.7  y=1015.7
   0.002       1      -67.6      951.6
   0.017       2      -44.8      928.5
   0.034       3      -53.2      937.2
   0.050       4      -51.9      911.5
   0.067       5      -51.6      908.0
   0.083       6      -58.1      907.7
   0.100       7      -60.3      912.9
   0.117       8      -57.8      909.6
   0.134       9      -56.8      910.2
   0.151      10      -54.7      912.1
   0.169      11      -52.2      914.0
   0.185      12      -51.3      914.4
   0.201      13      -51.8      918.4
   0.218      14      -48.9      919.9
   0.234      15      -49.2      921.4
   0.251      16      -48.9      919.1
   0.268      17      -47.9      920.7
   0.285      18      -47.5      920.0
   0.302      19      -48.0      919.9
   0.319      20      -45.5      919.1
   0.336      21      -47.4      917.7
   0.353      22      -48.4      919.0
   0.370      23      -47.4      917.4
   0.386      24      -46.1      916.1
   0.403      25      -47.5      917.1
   0.420      26      -48.5      917.2
   0.437      27      -48.3      918.6
   0.454      28      -46.7      917.7
   0.471      29      -45.1      916.8
   0.488      30      -44.8      917.6
   0.505      31      -44.8      917.7
   0.521      32      -45.2      917.3
   0.538      33      -45.7      918.4
   0.557      34      -46.2      918.1
   0.573      35      -46.7      917.6
   0.590      36      -46.5      917.2
   0.607      37      -45.9      916.3
   0.624      38      -46.3      917.1
   0.641      39      -45.9      917.5
   0.658      40      -46.9      918.2
   0.674      41      -46.6      918.1
   0.691      42      -46.1      917.2
   0.708      43      -47.0      916.6
   0.725      44      -47.3      916.7
   0.742      45      -46.8      916.0
   0.759      46      -47.0      916.6
   0.776      47      -47.1      916.3
   0.793      48      -47.9      916.1
   0.809      49      -48.1      914.9
   0.826      50      -48.9      914.8
   0.843      51      -48.6      914.9
   0.860      52      -48.5      914.7
   0.877      53      -48.8      915.1
   0.894      54      -48.3      913.5
   0.911      55      -48.0      913.8
   0.928      56      -48.1      914.3
   0.944      57      -49.1      914.2
   0.961      58      -48.9      914.1
   0.978      59      -48.9      914.5
   0.995      60      -49.5      914.9
   1.012      61      -49.2      914.0
   1.029      62      -49.4      913.3
   1.046      63      -48.7      913.3
   1.063      64      -49.5      913.9
   1.080      65      -49.3      914.4
   1.096      66      -49.4      914.1
   1.113      67      -49.2      914.5
   1.130      68      -49.4      915.8
   1.147      69      -49.4      915.6
   1.163      70      -49.3      915.8
   1.180      71      -49.0      916.5
   1.197      72      -49.4      916.7
   1.214      73      -49.1      917.3
   1.232      74      -49.4      917.2
   1.247      75      -49.3      917.4
   1.264      76      -49.0      917.6
   1.281      77      -48.9      917.7
   1.298      78      -48.9      917.7
   1.315      79      -48.8      918.1
   1.332      80      -48.4      917.8
   1.349      81      -48.6      917.6
   1.367      82      -48.9      917.1
   1.382      83      -48.8      916.9
   1.399      84      -49.7      917.0
   1.416      85      -49.6      917.0
   1.433      86      -49.9      917.1
   1.450      87      -49.5      917.5
   1.467      88      -49.6      917.4
   1.484      89      -49.7      917.6
   1.501      90      -49.4      917.6
   1.518      91      -49.5      918.2
   1.534      92      -49.4      918.5
   1.551      93      -49.1      918.2
   1.568      94      -49.1      918.7
   1.585      95      -48.9      918.7
   1.603      96      -48.8      918.9
   1.619      97      -48.5      919.0
   1.636      98      -48.6      918.5
   1.652      99      -48.4      918.4
   1.671     100      -48.3      918.0
   1.687     101      -48.2      917.9
