KF_RT — Linear Kalman Filter (Numba JIT)
  Q=0.01  R=50.0  (hardcoded)
  H linearized at LS estimate each step
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[KF_RT] Warming up JIT kernels... OK

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)   dt(ms)
--------------------------------------------------
[KF] init  x=6362.5  y=814.7
   0.034       1     6411.7      884.2    0.089
   0.037       2     6408.1      889.0    0.066
   0.039       3     6392.6      888.3    0.048
   0.041       4     6384.2      891.5    0.045
   0.044       5     6377.4      885.5    0.044
   0.046       6     6391.7      885.5    0.051
   0.049       7     6423.7      874.3    0.045
   0.051       8     6429.0      867.5    0.044
   0.054       9     6428.9      877.3    0.041
   0.056      10     6424.7      883.3    0.043
   0.059      11     6424.6      886.5    0.042
   0.061      12     6424.9      889.0    0.040
   0.064      13     6428.8      890.9    0.049
   0.066      14     6431.2      891.5    0.042
   0.068      15     6432.0      898.4    0.041
   0.071      16     6431.2      900.4    0.043
   0.073      17     6432.0      902.0    0.041
   0.076      18     6429.2      902.7    0.041
   0.078      19     6431.4      904.8    0.040
   0.080      20     6432.7      903.5    0.041
   0.083      21     6430.3      900.7    0.041
   0.085      22     6428.1      899.6    0.039
   0.088      23     6426.6      898.0    0.041
   0.090      24     6425.4      899.3    0.040
   0.092      25     6420.8      896.6    0.041
   0.095      26     6431.0      900.4    0.041
   0.097      27     6430.5      900.2    0.044
   0.100      28     6426.8      898.3    0.042
   0.102      29     6424.1      897.7    0.040
   0.104      30     6429.8      893.4    0.042
   0.107      31     6442.6      883.6    0.041
   0.109      32     6454.5      874.4    0.040
   0.112      33     6465.7      865.8    0.042
   0.114      34     6471.1      863.1    0.043
   0.116      35     6477.3      862.2    0.041
   0.119      36     6482.8      858.9    0.041
   0.121      37     6485.9      856.2    0.040
   0.123      38     6495.4      849.0    0.041
   0.126      39     6490.0      850.2    0.041
   0.128      40     6486.2      851.1    0.041
   0.131      41     6484.9      853.7    0.042
   0.133      42     6501.6      862.5    0.040
   0.135      43     6517.2      871.0    0.042
   0.138      44     6513.9      870.1    0.040
   0.140      45     6511.2      871.9    0.041
