LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.001       1     6536.0      642.9
   0.004       2     6522.3      620.6
   0.007       3     6522.3      620.6
   0.009       4     6530.1      634.9
   0.012       5     6530.1      634.9
   0.015       6     6517.6      618.1
   0.018       7     6528.1      643.3
   0.021       8     6552.3      702.7
   0.023       9     6451.7      799.2
   0.026      10     6438.5      796.5
   0.029      11     6390.9      893.1
   0.031      12     6364.9      836.2
   0.034      13     6396.7      833.5
   0.037      14     6383.2      826.8
   0.039      15     6399.2      827.9
   0.042      16     6341.3      728.7
   0.045      17     6358.0      739.4
   0.048      18     6395.5      800.7
   0.050      19     6394.9      803.5
   0.053      20     6385.8      802.8
   0.056      21     6442.3      701.8
   0.058      22     6400.5      772.8
   0.061      23     6381.2      675.4
   0.064      24     6451.3      765.3
   0.066      25     6442.0      753.0
   0.069      26     6438.5      748.4
   0.072      27     6429.0      728.3
   0.074      28     6474.7      785.4
   0.077      29     6468.5      810.5
   0.080      30     6601.1      987.4
   0.082      31     6596.4      977.6
   0.085      32     6442.8      779.8
   0.087      33     6427.7      759.6
   0.090      34     6434.7      750.2
   0.093      35     6473.3      757.9
   0.095      36     6455.8      684.5
   0.098      37     6420.7      649.1
   0.101      38     6428.9      724.2
   0.104      39     6455.4      767.0
   0.106      40     6563.2      701.7
   0.109      41     6366.9      731.9
   0.112      42     6397.4      826.6
   0.114      43     6384.7      809.8
   0.117      44     6382.3      821.5
   0.120      45     6453.8      713.2
   0.122      46     6455.8      734.6
   0.125      47     6535.5      619.4
   0.128      48     6959.1     1151.6
   0.130      49     6386.8      739.7
   0.133      50     6502.9      738.9
   0.136      51     6387.1      850.3
   0.138      52     6493.1      633.9
   0.141      53     6358.9      827.2
   0.144      54     6423.2      845.2
   0.146      55     6410.1      805.5
   0.149      56     6421.6      839.5
   0.152      57     6474.8      768.5
   0.154      58     6363.6      815.8
   0.157      59     6430.2      834.9
   0.160      60     6554.4      734.8
   0.162      61     6556.6      681.4
   0.165      62     6454.7      784.7
   0.168      63     6453.7      698.3
   0.170      64     6442.4      779.1
   0.175      65     6379.4      656.5
   0.191      66     6321.1      759.1
   0.209      67     6345.0      753.1
   0.225      68     6413.0      840.4
   0.241      69     6414.9      799.1
   0.258      70     6380.5      811.9
   0.275      71     6407.1      719.8
   0.292      72     6384.5      778.8
   0.308      73     6403.4      795.3
   0.326      74     6398.5      777.3
   0.344      75     6365.0      770.4
   0.360      76     6399.1      774.5
   0.376      77     6405.9      798.7
   0.393      78     6501.5      714.3
   0.410      79     6410.0      770.0
   0.427      80     6395.6      827.1
   0.443      81     6388.4      813.4
   0.460      82     6476.0      583.3
   0.478      83     6353.2      805.9
   0.495      84     6422.6      871.8
   0.511      85     6364.3      675.0
   0.528      86     6428.9      761.2
   0.545      87     6420.1      810.1
   0.564      88     6392.9      784.8
   0.580      89     6499.3      676.1
   0.597      90     6434.3      722.4
   0.615      91     6898.4     1356.7
   0.633      92     6433.0      770.3
   0.649      93     6432.2      739.9
   0.666      94     6438.9      801.7
   0.685      95     6427.8      874.6
   0.702      96     6393.7      832.7
   0.720      97     6377.5      829.8
   0.738      98     6414.0      863.7
   0.756      99     6395.0      864.5
   0.772     100     6456.3      631.4
   0.789     101     6521.9      722.4
   0.808     102     6513.8      699.8
   0.825     103     6494.7      625.0
   0.841     104     6463.6      739.4
   0.858     105     6520.1      625.5
   0.875     106     6395.2      765.7
   0.894     107     6539.1      705.4
   0.913     108     6539.9      679.6
   0.933     109     6553.8      694.6
   0.949     110     6405.9      833.1
   0.968     111     6387.6      808.8
