LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.001       1     6345.5     4129.7
   0.016       2     6366.1     4136.2
   0.033       3     6366.1     4204.3
   0.050       4     6372.2     4147.4
   0.068       5     6357.3     4153.7
   0.085       6     6317.4     4152.7
   0.102       7     6360.4     4118.7
   0.120       8     6392.3     4135.4
   0.138       9     6376.3     4153.7
   0.154      10     6318.7     4140.6
   0.171      11     6359.6     4093.2
   0.188      12     6359.4     4170.2
   0.205      13     6345.9     4151.4
   0.222      14     6340.0     4165.0
   0.238      15     6347.0     4195.9
   0.256      16     6342.9     4161.1
   0.272      17     6340.0     4165.0
   0.289      18     6316.6     4159.6
   0.306      19     6349.8     4143.2
   0.323      20     6365.1     4143.4
   0.340      21     6338.9     4120.9
   0.357      22     6350.5     4118.4
   0.373      23     6342.9     4152.4
   0.390      24     6356.0     4143.7
   0.407      25     6332.0     4124.3
   0.424      26     6346.3     4199.5
   0.441      27     6400.2     4242.3
   0.457      28     6361.3     4172.8
   0.473      29     6341.8     4111.3
   0.490      30     6377.4     4146.1
   0.507      31     6315.8     4129.6
   0.524      32     6327.6     4212.7
   0.542      33     6388.6     4160.7
   0.560      34     6395.0     4140.6
   0.576      35     6330.0     4125.5
   0.593      36     6326.3     4143.3
   0.610      37     6345.5     4145.9
   0.627      38     6339.7     4156.7
   0.644      39     6349.5     4125.8
   0.661      40     6339.1     4151.5
   0.678      41     6362.9     4152.4
   0.694      42     6314.7     4187.2
   0.710      43     6300.7     4104.3
   0.727      44     6324.5     4118.1
   0.744      45     6389.6     4178.9
   0.761      46     6364.6     4129.4
   0.778      47     6322.4     4163.4
   0.795      48     6308.5     4118.7
   0.812      49     6366.8     4114.6
   0.829      50     6325.0     4158.5
   0.846      51     6339.7     4190.7
   0.862      52     6377.5     4137.1
   0.879      53     6376.7     4167.8
   0.896      54     6360.6     4137.5
   0.913      55     6314.8     4127.8
   0.930      56     6352.0     4146.2
   0.947      57     6338.8     4163.8
   0.964      58     6395.3     4131.3
   0.981      59     6348.8     4116.7
   0.998      60     6331.2     4136.8
   1.014      61     6342.5     4189.9
   1.031      62     6357.0     4179.4
   1.048      63     6352.9     4199.5
   1.065      64     6340.2     4101.1
   1.082      65     6373.1     4149.1
   1.099      66     6333.1     4103.4
   1.116      67     6354.1     4097.6
   1.133      68     6338.0     4154.4
   1.150      69     6358.2     4189.7
   1.166      70     6383.3     4119.2
   1.183      71     6344.6     4107.5
   1.200      72     6332.2     4133.0
   1.217      73     6360.2     4101.5
   1.234      74     6292.9     4170.4
   1.251      75     6385.6     4187.0
   1.268      76     6344.2     4162.3
   1.285      77     6406.5     4193.7
   1.301      78     6375.3     4143.3
   1.320      79     6360.8     4140.4
   1.336      80     6346.7     4147.4
   1.353      81     6333.5     4122.4
   1.370      82     6352.3     4120.8
   1.387      83     6362.8     4143.6
   1.404      84     6324.2     4165.7
   1.421      85     6405.9     4163.2
   1.437      86     6295.9     4123.7
   1.454      87     6387.2     4207.4
   1.471      88     6388.6     4169.8
   1.488      89     6350.3     4166.0
   1.505      90     6355.9     4083.3
