PC-EKF V4 — UWB Realtime (Numba JIT, Gaussian Pairwise Scoring)
  Q=0.01  R_base=50.0  R_scale=10.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[PC-EKF] Warming up JIT kernels... OK
Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3   dt(ms)
------------------------------------------------------------------------------
[EKF] init  x=-458.8  y=1191.3
   0.000       1     -302.9      851.7   0.523   0.803   0.853   0.823    0.104
   0.003       2     -303.8      846.1   0.000   0.071   0.071   0.000    0.078
   0.006       3     -293.9      835.2   0.000   0.277   0.277   0.000    0.059
   0.008       4     -293.7      817.6   0.000   0.102   0.102   0.000    0.057
   0.011       5     -297.1      814.0   0.000   0.307   0.307   0.000    0.063
   0.013       6     -300.3      812.0   0.000   0.307   0.307   0.000    0.062
   0.016       7     -303.4      799.1   0.000   0.000   0.000   0.000    0.056
   0.018       8     -305.6      792.8   0.000   0.072   0.072   0.000    0.054
   0.021       9     -308.2      785.8   0.000   0.000   0.000   0.000    0.054
   0.023      10     -304.4      782.2   0.000   0.000   0.000   0.000    0.054
   0.026      11     -305.1      780.4   0.000   0.000   0.000   0.000    0.052
   0.028      12     -308.2      789.7   0.000   0.310   0.310   0.000    0.053
   0.030      13     -309.3      782.5   0.000   0.000   0.000   0.000    0.051
   0.033      14     -306.9      780.5   0.000   0.000   0.000   0.000    0.052
   0.035      15     -305.6      783.3   0.000   0.147   0.147   0.000    0.052
   0.038      16     -303.9      784.5   0.000   0.124   0.124   0.000    0.060
   0.040      17     -301.9      785.5   0.000   0.283   0.283   0.000    0.056
   0.043      18     -303.4      783.7   0.000   0.000   0.000   0.000    0.069
   0.045      19     -317.7      784.1   0.000   0.000   0.000   0.000    0.053
   0.048      20     -315.4      781.0   0.000   0.000   0.000   0.000    0.053
   0.050      21     -308.2      776.2   0.000   0.000   0.000   0.000    0.052
   0.052      22     -301.9      772.7   0.000   0.000   0.000   0.000    0.051
   0.055      23     -297.3      773.5   0.000   0.313   0.313   0.000    0.050
   0.057      24     -298.3      771.4   0.000   0.000   0.000   0.000    0.050
   0.060      25     -297.1      772.8   0.000   0.329   0.329   0.000    0.050
   0.062      26     -297.4      770.4   0.000   0.000   0.000   0.000    0.054
   0.064      27     -295.7      767.6   0.000   0.000   0.000   0.000    0.051
   0.067      28     -296.7      768.9   0.000   0.000   0.000   0.000    0.051
   0.069      29     -296.2      768.4   0.000   0.001   0.001   0.000    0.050
   0.072      30     -295.3      769.1   0.000   0.112   0.112   0.000    0.050
   0.074      31     -295.5      768.3   0.000   0.017   0.017   0.000    0.051
   0.076      32     -295.1      767.9   0.000   0.172   0.172   0.000    0.051
   0.079      33     -293.9      770.8   0.000   0.297   0.297   0.000    0.051
   0.081      34     -293.8      769.4   0.000   0.000   0.000   0.000    0.049
   0.084      35     -293.4      767.5   0.000   0.000   0.000   0.000    0.050
   0.086      36     -293.2      768.4   0.000   0.291   0.291   0.000    0.049
   0.088      37     -291.7      769.6   0.000   0.307   0.307   0.000    0.054
   0.091      38     -291.9      768.7   0.000   0.000   0.000   0.000    0.051
   0.093      39     -291.4      768.7   0.000   0.000   0.000   0.000    0.049
   0.096      40     -290.2      768.2   0.000   0.000   0.000   0.000    0.050
   0.098      41     -290.3      767.2   0.000   0.000   0.000   0.000    0.051
   0.101      42     -290.9      767.1   0.000   0.000   0.000   0.000    0.050
   0.103      43     -291.2      767.2   0.000   0.000   0.000   0.000    0.051
   0.105      44     -291.3      767.8   0.000   0.323   0.323   0.000    0.048
   0.108      45     -290.8      766.6   0.000   0.004   0.004   0.000    0.049
   0.110      46     -291.3      766.0   0.000   0.000   0.000   0.000    0.055
   0.113      47     -290.7      765.6   0.000   0.000   0.000   0.000    0.055
   0.115      48     -290.0      766.0   0.000   0.007   0.007   0.000    0.054
   0.117      49     -290.7      765.8   0.000   0.007   0.007   0.000    0.051
   0.120      50     -289.1      764.6   0.000   0.000   0.000   0.000    0.051
   0.122      51     -287.9      763.5   0.000   0.000   0.000   0.000    0.052
   0.125      52     -287.7      763.6   0.000   0.000   0.000   0.000    0.051
   0.127      53     -287.0      762.3   0.000   0.000   0.000   0.000    0.051
   0.129      54     -286.3      763.8   0.000   0.133   0.133   0.000    0.050
   0.132      55     -286.2      763.1   0.000   0.000   0.000   0.000    0.050
   0.134      56     -286.4      763.3   0.000   0.000   0.000   0.000    0.049
   0.137      57     -286.0      763.6   0.000   0.126   0.126   0.000    0.049
   0.139      58     -285.9      764.2   0.000   0.146   0.146   0.000    0.052
   0.141      59     -285.5      763.4   0.000   0.000   0.000   0.000    0.050
   0.144      60     -285.3      763.6   0.000   0.022   0.022   0.000    0.051
   0.146      61     -284.5      764.1   0.000   0.299   0.299   0.000    0.049
   0.149      62     -284.4      764.4   0.000   0.025   0.025   0.000    0.056
   0.151      63     -284.4      763.0   0.000   0.011   0.011   0.000    0.055
   0.154      64     -283.0      762.6   0.000   0.000   0.000   0.000    0.050
   0.156      65     -281.8      761.4   0.000   0.000   0.000   0.000    0.053
   0.159      66     -281.8      760.9   0.000   0.000   0.000   0.000    0.052
   0.168      67     -281.3      760.9   0.000   0.000   0.000   0.000    0.058
   0.185      68     -280.8      761.6   0.000   0.215   0.215   0.000    0.055
   0.202      69     -281.0      761.7   0.000   0.056   0.056   0.000    0.073
   0.219      70     -280.9      761.2   0.000   0.000   0.000   0.000    0.059
   0.235      71     -280.3      761.3   0.000   0.007   0.007   0.000    0.061
   0.252      72     -280.4      762.1   0.000   0.208   0.208   0.000    0.073
   0.271      73     -280.3      763.1   0.000   0.208   0.208   0.000    0.125
   0.287      74     -279.7      761.8   0.000   0.000   0.000   0.000    0.061
   0.304      75     -280.4      762.1   0.000   0.000   0.000   0.000    0.060
   0.322      76     -280.0      763.2   0.000   0.331   0.331   0.000    0.056
   0.339      77     -280.0      763.1   0.000   0.006   0.006   0.000    0.057
   0.355      78     -280.2      763.8   0.000   0.216   0.216   0.000    0.057
   0.372      79     -279.8      763.7   0.000   0.000   0.000   0.000    0.065
   0.389      80     -279.2      763.6   0.000   0.000   0.000   0.000    0.060
   0.406      81     -279.0      763.2   0.000   0.000   0.000   0.000    0.061
   0.423      82     -278.1      762.7   0.000   0.000   0.000   0.000    0.054
   0.442      83     -278.2      763.4   0.000   0.000   0.000   0.000    0.060
   0.458      84     -278.3      763.6   0.000   0.007   0.007   0.000    0.054
   0.475      85     -278.7      763.9   0.000   0.000   0.000   0.000    0.053
   0.491      86     -278.3      763.9   0.000   0.067   0.067   0.000    0.078
   0.508      87     -278.9      763.7   0.000   0.000   0.000   0.000    0.083
   0.525      88     -278.9      764.8   0.000   0.333   0.333   0.000    0.065
   0.542      89     -279.1      765.5   0.000   0.209   0.209   0.000    0.058
   0.559      90     -279.3      764.9   0.000   0.000   0.000   0.000    0.061
   0.576      91     -279.5      765.4   0.000   0.000   0.000   0.000    0.059
   0.594      92     -279.8      764.8   0.000   0.000   0.000   0.000    0.057
   0.611      93     -279.8      764.9   0.000   0.000   0.000   0.000    0.056
   0.629      94     -279.7      765.1   0.000   0.234   0.234   0.000    0.058
   0.645      95     -279.6      764.9   0.000   0.070   0.070   0.000    0.092
   0.665      96     -279.7      765.0   0.000   0.000   0.000   0.000    0.088
   0.682      97     -279.7      764.9   0.000   0.000   0.000   0.000    0.108
   0.699      98     -279.2      765.0   0.000   0.211   0.211   0.000    0.075
   0.716      99     -279.7      764.8   0.000   0.057   0.057   0.000    0.066
   0.732     100     -279.7      765.4   0.000   0.221   0.221   0.000    0.059
   0.751     101     -279.6      765.6   0.000   0.063   0.063   0.000    0.083
   0.767     102     -279.5      765.2   0.000   0.050   0.050   0.000    0.090
   0.785     103     -279.5      765.1   0.000   0.051   0.051   0.000    0.062
