PC-EKF V3 — UWB Realtime
  Q=0.01  R_base=300.0  R_scale=10.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3
--------------------------------------------------------------------
[EKF] init  x=6327.1  y=4183.0
   0.033       1     6167.4     4144.8   0.410   0.508   0.000   0.359
   0.037       2     6186.3     4162.2   0.447   0.497   0.001   0.312
   0.041       3     6194.1     4162.0   0.464   0.469   0.001   0.266
   0.049       4     6197.2     4166.7   0.475   0.463   0.001   0.273
   0.066       5     6194.6     4165.1   0.439   0.502   0.005   0.327
   0.083       6     6195.6     4164.8   0.463   0.475   0.003   0.275
   0.101       7     6192.5     4166.0   0.447   0.497   0.003   0.313
   0.118       8     6196.7     4168.9   0.459   0.486   0.005   0.291
   0.134       9     6199.1     4166.9   0.477   0.464   0.007   0.279
   0.152      10     6198.0     4168.7   0.454   0.492   0.004   0.301
   0.168      11     6195.0     4168.4   0.458   0.488   0.004   0.294
   0.185      12     6195.1     4166.7   0.444   0.504   0.019   0.331
   0.202      13     6194.8     4167.2   0.456   0.491   0.007   0.300
   0.219      14     6194.6     4167.3   0.495   0.450   0.003   0.308
   0.236      15     6196.8     4162.4   0.493   0.461   0.029   0.311
   0.253      16     6197.2     4162.1   0.444   0.503   0.018   0.330
   0.270      17     6197.7     4162.6   0.446   0.501   0.013   0.324
   0.287      18     6197.6     4160.5   0.458   0.495   0.023   0.312
   0.303      19     6199.7     4161.2   0.455   0.496   0.017   0.312
   0.320      20     6199.7     4159.3   0.480   0.464   0.014   0.286
   0.337      21     6200.1     4159.7   0.459   0.490   0.011   0.298
   0.354      22     6201.8     4158.9   0.467   0.467   0.017   0.273
   0.371      23     6202.3     4159.5   0.486   0.460   0.006   0.290
   0.388      24     6201.0     4159.5   0.460   0.486   0.007   0.291
   0.405      25     6201.6     4160.2   0.453   0.496   0.013   0.311
   0.421      26     6202.3     4159.7   0.456   0.498   0.025   0.318
   0.438      27     6202.3     4159.7   0.455   0.495   0.015   0.310
   0.456      28     6201.6     4158.8   0.440   0.508   0.029   0.346
   0.472      29     6202.1     4158.6   0.466   0.473   0.013   0.277
   0.489      30     6200.5     4158.6   0.447   0.499   0.009   0.318
   0.506      31     6201.6     4157.5   0.454   0.508   0.059   0.352
   0.523      32     6201.6     4157.4   0.466   0.467   0.009   0.268
   0.539      33     6202.2     4156.0   0.469   0.469   0.031   0.283
   0.556      34     6203.0     4155.8   0.472   0.466   0.016   0.276
   0.573      35     6203.5     4154.8   0.489   0.461   0.020   0.302
   0.590      36     6202.6     4154.5   0.459   0.490   0.012   0.299
   0.607      37     6203.1     4154.6   0.466   0.468   0.012   0.271
   0.625      38     6203.6     4153.9   0.467   0.475   0.023   0.285
   0.642      39     6203.8     4154.1   0.455   0.496   0.018   0.313
   0.660      40     6205.0     4153.9   0.471   0.467   0.022   0.279
