timestamp,d0,d1,d2,d3,v_mm_s,gz
1785142639.746547,8987,8658,1642,3602,0.0000,0.0000
1785142639.771388,8996,8733,1613,3630,0.0000,0.0000
1785142639.796198,8968,8677,1576,3668,15.6000,0.0000
1785142639.821391,8949,8677,1623,3583,15.6000,0.0000
1785142639.847167,9005,8696,1632,3593,56.8000,-0.6900
1785142639.872480,9005,8733,1613,3621,56.8000,-0.6900
1785142639.897474,8940,8752,1623,3602,62.2100,-1.5000
1785142639.923197,8968,8771,1595,3593,62.2100,-1.5000
1785142639.948254,8996,8705,1595,3630,79.5500,-2.3700
1785142639.973289,9024,8762,1717,3602,79.5500,-2.3700
1785142639.999391,9005,8658,1623,3593,75.7300,-3.1200
1785142640.024622,8940,8762,1689,3640,75.7300,-3.1200
1785142640.049601,8987,8743,1632,3583,78.4400,-3.5600
1785142640.076170,8996,8743,1632,3602,78.4400,-3.5600
1785142640.101348,9005,8752,1632,3583,77.2800,-3.7500
1785142640.125761,9015,8752,1632,3583,77.2800,-3.7500
1785142640.151350,8996,8733,1623,3537,71.5900,-3.8100
1785142640.176622,8977,8687,1632,3593,71.5900,-3.8100
1785142640.201663,8959,8677,1670,3565,74.5200,-3.8700
1785142640.227870,8987,8855,1632,3537,74.5200,-3.8700
1785142640.252969,8968,8780,1660,3546,73.0300,-3.9400
1785142640.277652,8987,8808,1595,3546,73.0300,-3.9400
1785142640.303342,8977,8790,1567,3583,76.9000,-4.0600
1785142640.329368,9024,8846,1604,3621,76.9000,-4.0600
1785142640.354305,8940,8771,1670,3565,77.2800,-4.1900
1785142640.378472,9005,8818,1623,3565,77.2800,-4.1900
1785142640.404514,8959,8865,1623,3583,78.4400,-4.2500
1785142640.430132,9034,8790,1642,3574,83.8500,-4.3100
1785142640.454598,8949,8912,1585,3555,83.8500,-4.3100
1785142640.480974,8968,8780,1679,3574,83.8500,-4.3100
1785142640.505464,8987,8893,1660,3555,81.1400,-4.2500
1785142640.530429,8940,8799,1698,3574,81.1400,-4.2500
1785142640.556781,8959,8818,1642,3583,87.5000,-4.2500
1785142640.582022,8996,8790,1745,3593,82.8000,-4.1900
1785142640.606812,8959,8874,1651,3621,82.8000,-4.1900
1785142640.632560,8959,8949,1689,3583,82.8000,-4.1900
1785142640.657518,8987,8874,1642,3518,90.1600,-4.1900
1785142640.682695,8940,8790,1642,3518,93.8400,-4.1900
1785142640.708749,8930,8715,1632,3555,93.8400,-4.1900
1785142640.733615,9034,9099,1698,3518,89.2500,-4.1200
1785142640.758519,8940,8930,1679,3574,89.2500,-4.1200
1785142640.786264,9015,8677,1651,3574,94.6600,-4.0600
1785142640.810329,8921,9118,1679,3602,94.6600,-4.0600
1785142640.835835,8968,9034,1642,3602,95.4600,-4.0000
1785142640.860559,8921,8940,1679,3518,95.4600,-4.0000
1785142640.886714,8987,8808,1792,3518,102.1200,-3.9400
1785142640.911818,8987,8959,1679,3518,102.1200,-3.9400
1785142640.937304,8987,9118,1613,3537,100.0700,-3.8100
1785142640.961741,8930,8837,1689,3546,100.0700,-3.8100
1785142640.987677,8949,9090,1642,3518,108.1900,-3.7500
1785142641.013848,8949,8996,1679,3518,108.1900,-3.7500
1785142641.038430,8977,9109,1651,3537,110.8900,-3.5600
1785142641.063377,8912,9015,1735,3527,110.8900,-3.5600
1785142641.088621,8921,9268,1726,3612,113.6000,-3.5000
1785142641.114463,8921,8921,1754,3565,113.6000,-3.5000
1785142641.139307,8949,8912,1698,3612,119.0100,-3.3700
1785142641.164648,8930,9146,1717,3555,119.0100,-3.3700
1785142641.189639,8912,9071,1623,3593,113.6000,-3.2500
1785142641.214657,8921,8968,1726,3574,113.6000,-3.2500
1785142641.241658,8930,9052,1764,3574,127.1200,-3.0600
1785142641.266302,8874,8921,1707,3527,127.1200,-3.0600
1785142641.290708,8921,9231,1689,3508,129.8300,-3.0000
1785142641.315581,8912,8677,1764,3537,129.8300,-3.0000
1785142641.341697,8912,8996,1717,3555,137.8900,-2.9400
1785142641.366908,8968,9090,1773,3499,137.8900,-2.9400
1785142641.391834,8968,9118,1679,3537,140.6400,-2.7500
1785142641.417769,8921,8611,1782,3480,140.6400,-2.7500
1785142641.442676,8874,8865,1698,3480,154.5500,-2.5600
1785142641.467697,8949,9212,1792,3518,154.5500,-2.5600
1785142641.494146,8949,8865,1782,3471,151.4600,-2.3700
1785142641.519018,8940,9202,1810,3461,151.4600,-2.3700
1785142641.543983,8893,8668,1782,3490,162.2800,-2.3100
1785142641.570420,8921,8940,1810,3452,162.2800,-2.3100
1785142641.596049,8874,8536,1764,3471,164.9900,-2.3100
1785142641.620383,8921,8565,1829,3471,164.9900,-2.3100
1785142641.645888,8874,8546,1801,3480,170.4000,-2.1900
1785142641.670984,8912,8565,1810,3480,170.4000,-2.1900
1785142641.696291,8865,8527,1782,3537,173.1000,-2.1200
