timestamp,d0,d1,d2,d3,v_mm_s,gz
1785391956.296474,9259,8471,1745,3705,0.0000,0.0000
1785391956.315874,9184,8499,1726,3649,0.0000,0.0000
1785391956.341682,9587,8490,1726,3649,21.2100,0.0000
1785391956.366903,9231,8546,1745,3612,21.2100,0.0000
1785391956.391968,9231,8518,1707,3630,53.0300,0.1300
1785391956.416719,9221,8461,1670,3658,53.0300,0.1300
1785391956.443326,9184,8480,1717,3658,46.9200,0.0000
1785391956.467507,9165,8508,1679,3687,46.9200,0.0000
1785391956.492753,9202,8499,1735,3705,71.5900,-0.2500
1785391956.518126,9587,8499,1670,3705,71.5900,-0.2500
1785391956.543954,9615,8490,1707,3668,74.5200,-0.1900
1785391956.569611,9212,8527,1726,3687,74.5200,-0.1900
1785391956.594197,8799,8508,1660,3743,81.1400,-0.1300
1785391956.619215,9231,8499,1754,3677,81.1400,-0.1300
1785391956.644231,9540,8499,1679,3705,83.8500,-0.1900
1785391956.669987,9184,8508,1707,3602,83.8500,-0.1900
1785391956.695723,9202,8490,1651,3630,89.2500,-0.2500
1785391956.720776,9568,8471,1735,3583,89.2500,-0.2500
1785391956.745273,9568,8452,1698,3621,94.6600,-0.3700
1785391956.772139,9202,8443,1707,3630,94.6600,-0.3700
1785391956.796657,9559,8461,1698,3630,94.6600,-0.5000
1785391956.821872,9568,8518,1726,3593,94.6600,-0.5000
1785391956.847296,9212,8527,1707,3649,89.2500,-0.5600
1785391956.872676,9259,8518,1698,3593,89.2500,-0.5600
1785391956.897525,9568,8480,1698,3612,94.6600,-0.6900
1785391956.923472,9146,8536,1707,3602,94.6600,-0.6900
1785391956.948642,9540,8499,1717,3583,100.0700,-0.8100
1785391956.973171,9540,8461,1792,3630,100.0700,-0.8100
1785391956.999626,9503,8490,1735,3602,102.7800,-0.9400
1785391957.025253,9231,8536,1773,3687,102.7800,-0.9400
1785391957.049951,9184,8527,1698,3630,108.1900,-0.9400
1785391957.075196,9531,8508,1660,3649,108.1900,-0.9400
1785391957.100280,9550,8518,1764,3574,110.8900,-1.0000
1785391957.125623,9156,8518,1810,3612,110.8900,-1.0000
1785391957.152491,9156,8490,1679,3583,113.6000,-1.0600
1785391957.176684,9568,8499,1735,3602,113.6000,-1.0600
1785391957.201164,9221,8471,1735,3612,116.3000,-1.2500
1785391957.228075,9531,8574,1745,3602,116.3000,-1.2500
1785391957.252675,9540,8480,1726,3593,121.9800,-1.3100
1785391957.277766,9559,8443,1707,3640,121.9800,-1.3100
1785391957.303435,9606,8518,1754,3612,124.4200,-1.4400
1785391957.328495,9568,8508,1717,3574,124.4200,-1.4400
1785391957.353946,9165,8527,1726,3518,129.7100,-1.4400
1785391957.379496,9212,8518,1810,3565,129.7100,-1.4400
1785391957.404665,9193,8536,1764,3574,129.8300,-1.4400
1785391957.429197,9156,8508,1829,3527,129.8300,-1.4400
1785391957.454197,9184,8546,1829,3508,132.5300,-1.4400
1785391957.480911,9550,8518,1829,3527,132.5300,-1.4400
1785391957.505999,9578,8480,1764,3518,132.5300,-1.3700
1785391957.531074,9174,8480,1782,3555,132.5300,-1.3700
1785391957.557163,9156,8583,1792,3555,135.2300,-1.3700
1785391957.581744,9559,8518,1810,3518,143.3500,-1.3700
1785391957.606985,9146,8518,1820,3565,143.3500,-1.3700
1785391957.632878,8808,8527,1820,3518,143.3500,-1.3700
1785391957.657689,9165,8546,1792,3527,151.4600,-1.3700
1785391957.682534,9174,8461,1848,3518,151.4600,-1.3700
1785391957.709194,9278,8555,1829,3527,154.1700,-1.3700
1785391957.733823,8771,8508,1857,3583,159.5800,-1.3700
1785391957.758874,8724,8555,1867,3518,159.5800,-1.3700
1785391957.784345,9174,8536,1848,3518,159.5800,-1.3700
1785391957.809667,9137,8536,1829,3555,164.9900,-1.3100
1785391957.835321,9099,8490,1895,3565,164.9900,-1.3100
1785391957.860998,9184,8611,1914,3555,164.9900,-1.3100
1785391957.885408,9193,8546,1848,3527,169.7100,-1.3700
1785391957.910248,8752,8574,1867,3602,169.7100,-1.3700
1785391957.939008,9184,8490,1914,3518,176.6300,-1.3700
1785391957.961975,9137,8555,1886,3499,176.6300,-1.3700
1785391957.991293,9531,8565,1904,3508,182.9600,-1.3700
1785391958.012283,9202,8536,1904,3499,182.9600,-1.3700
1785391958.040739,9109,8490,2007,3565,187.6700,-1.3700
1785391958.062798,9137,8574,1886,3480,187.6700,-1.3700
1785391958.091718,9503,8536,1923,3546,190.9200,-1.3700
1785391958.113512,9118,8555,1932,3555,190.9200,-1.3700
1785391958.141828,8799,8415,1923,3471,201.4700,-1.3100
1785391958.164762,8780,8508,1820,3452,201.4700,-1.3100
1785391958.191245,8733,8499,1942,3546,194.7400,-1.2500
1785391958.214835,8733,8518,1886,3499,194.7400,-1.2500
1785391958.241204,8733,8518,1904,3461,198.8700,-1.1900
1785391958.266004,8733,8471,1923,3452,198.8700,-1.1900
1785391958.291510,8780,8452,1839,3433,200.1500,-1.1200
1785391958.316240,8743,8480,1942,3433,200.1500,-1.1200
1785391958.341418,8762,8490,1904,3443,206.9900,-1.1200
1785391958.366640,9127,8433,1970,3424,206.9900,-1.1200
