timestamp,d0,d1,d2,d3,v_mm_s,gz
1784777891.284228,8987,8818,1782,3762,0.0000,-0.0600
1784777891.335490,8949,8855,1801,3874,20.8100,0.3700
1784777891.387489,8996,8837,1801,3855,56.8000,0.7500
1784777891.438570,9052,8790,1707,3855,75.7300,1.2500
1784777891.490314,9062,8865,1717,3809,91.9600,-1.6300
1784777891.542170,9071,8893,1773,3855,102.7800,2.1900
1784777891.593374,8959,8837,1707,3827,102.7800,0.7500
1784777891.645226,8940,8808,1745,3846,108.1900,1.1900
1784777891.696419,8968,8959,1773,3855,110.8900,-0.6300
1784777891.748269,8827,8837,1754,3884,110.8900,1.1200
1784777891.799625,9090,8884,1689,3931,108.7200,0.0600
1784777891.851336,8987,8837,1773,3827,118.6800,0.3700
1784777891.903593,9109,8855,1670,3921,116.3000,-0.1200
1784777891.954374,9071,8799,1717,3724,121.7100,0.5000
1784777892.006222,9071,8799,1717,3809,121.7100,0.5600
1784777892.057666,8996,8865,1764,3752,124.4200,-0.6300
1784777892.109279,8921,8855,1707,3734,129.8300,-0.0600
1784777892.160631,8968,8799,1773,3705,132.5800,-3.3100
1784777892.212457,9052,8837,1764,3696,132.5300,0.0000
1784777892.263496,9090,8846,1782,3705,143.5100,-1.0000
1784777892.315356,9146,8874,1745,3734,140.5400,0.1900
1784777892.366615,9165,8865,1764,3724,143.5100,1.3700
1784777892.418628,9174,8865,1782,3649,143.1900,3.3100
1784777892.470277,9109,8874,1782,3658,149.0300,-0.2500
1784777892.521442,9127,9015,1726,3668,148.4900,-0.0600
1784777892.573322,9146,8940,1754,3640,157.3100,0.2500
1784777892.624516,9174,9024,1745,3658,156.8700,0.3700
1784777892.676732,9165,9062,1801,3734,164.9900,1.0000
1784777892.727667,9099,8977,1810,3658,162.2800,0.6900
1784777892.779407,9118,9052,1773,3743,164.9900,1.0000
1784777892.831320,9118,9052,1792,3762,173.1000,2.0000
1784777892.882519,9231,9034,1782,3696,169.7100,-0.0600
1784777892.934344,9231,8959,1829,3762,180.3100,-0.4400
1784777892.985878,9146,9005,1820,3743,190.4300,-1.0600
1784777893.037361,9109,9015,1867,3818,186.6200,-0.0600
1784777893.088658,9090,8893,1857,3687,188.2700,0.9400
1784777893.140432,9081,8968,1848,3668,192.0300,-0.1900
1784777893.191706,9043,8921,1867,3527,195.9500,0.0000
1784777893.243466,9034,8884,1886,3949,194.7400,-0.6300
1784777893.295345,9024,8968,1886,3921,192.0300,0.1200
1784777893.346713,9062,8771,1867,3649,192.0300,-0.4400
1784777893.398378,9034,8762,1839,3583,188.2700,-0.7500
1784777893.449728,9034,8762,1914,3555,195.9500,-1.5600
1784777893.501431,9043,8846,1886,3565,188.2700,-0.2500
1784777893.552576,9052,8902,1886,3490,195.9500,0.2500
1784777893.604926,9052,8893,1895,3443,192.0300,1.9400
1784777893.656343,9062,8837,1886,3565,192.0300,0.2500
1784777893.707777,9034,8874,1876,3583,192.0300,0.9400
1784777893.759399,9062,8884,1951,3640,186.6200,0.6300
1784777893.810568,9090,8518,1951,3687,186.6200,1.0000
1784777893.862434,8733,8808,1876,3555,183.9200,-0.1200
1784777893.913594,8949,8827,1970,3612,183.9200,1.5000
1784777893.965796,8921,8818,1951,3724,183.9200,0.0000
1784777894.016755,9015,8743,1989,3809,183.9200,-0.1200
1784777894.068506,9127,8771,1970,3499,180.3100,0.5600
1784777894.120394,8837,8799,1998,3293,184.9100,-1.0000
1784777894.171568,8921,8846,1961,3433,181.2100,-0.3700
1784777894.223439,8977,8827,1942,4418,177.6600,-0.4400
1784777894.274749,8968,8827,2017,3565,182.1500,1.5000
1784777894.326487,8902,8790,2045,3621,181.2100,0.7500
1784777894.377847,8940,8865,2026,3602,181.2100,0.5000
1784777894.429516,9005,8837,2036,3461,181.2100,0.5000
1784777894.481445,8949,8884,2017,3471,177.6600,-0.0600
1784777894.532597,9015,8902,2026,3443,177.6600,-0.0600
1784777894.584428,9081,8855,2007,3368,175.0100,-0.0600
1784777894.635741,9071,8930,1989,3405,182.1500,-1.4400
1784777894.687485,9306,8884,2064,3330,175.0100,0.1200
1784777894.738779,8668,8893,2017,3433,176.6300,0.9400
1784777894.790546,8771,8865,2026,3358,178.5100,0.7500
1784777894.842377,8780,8893,2036,3368,175.8000,0.8100
1784777894.893826,8799,8874,2026,3837,178.5100,-0.2500
1784777894.945442,8837,8893,2036,3790,173.1000,2.2500
1784777894.996814,8808,8912,2092,4306,175.0100,-1.6900
1784777895.048493,8808,8893,2101,3874,179.3900,2.1900
1784777895.099662,8837,8912,2092,3565,175.0100,-0.1900
1784777895.151545,8855,8940,2139,3574,176.6300,1.2500
1784777895.202806,8846,8902,2092,3480,178.5100,-0.8800
1784777895.254842,8818,8930,2101,3574,175.8000,0.4400
1784777895.306454,8846,8940,2101,3621,169.7100,-1.1200
1784777895.357614,8799,8921,2092,3677,170.4000,1.1900
1784777895.409500,8837,8996,2148,2955,176.6300,0.5600
1784777895.460692,8780,8977,2176,3461,175.8000,-0.8800
1784777895.512909,8827,9052,2204,3021,175.8000,-0.1900
1784777895.565529,8818,8959,2195,3011,172.3600,-0.8800
1784777895.615576,8780,8949,2167,3227,178.5100,0.1900
1784777895.667469,8762,8968,2251,3189,176.6300,0.0600
1784777895.718636,8752,8987,2233,3152,178.5100,-0.3100
1784777895.770518,8743,8968,2242,3105,178.5100,-2.5600
1784777895.821694,8790,8996,2195,3077,175.0100,1.0000
1784777895.873556,8790,8996,2280,3058,179.3900,0.4400
1784777895.924886,8724,8949,2280,3039,175.8000,1.3100
1784777895.976616,8687,9034,2336,3208,178.5100,2.1900
1784777896.028029,8762,8968,2308,3377,178.5100,-1.6900
1784777896.079934,8762,8949,2223,3321,175.8000,1.1900
1784777896.131511,8771,9015,2289,3321,175.0100,1.5600
1784777896.182872,8762,9062,2317,3293,175.0100,1.5600
1784777896.234544,8762,9024,2317,3105,173.1000,1.1900
1784777896.285975,8733,8921,2345,3264,178.5100,0.6300
1784777896.337609,8799,8912,2317,3340,175.8000,0.0000
1784777896.388776,8818,8780,2336,3311,178.5100,-0.5600
1784777896.440654,8752,8837,2326,3358,178.5100,0.4400
1784777896.492536,8799,8705,2373,3199,181.2100,-0.4400
1784777896.543922,8771,8705,2336,3293,178.5100,-0.6300
1784777896.595578,8771,8696,2373,3283,181.2100,-0.1900
1784777896.646759,8827,8724,2411,3143,178.5100,-1.3700
1784777896.698609,8790,8705,2411,3161,178.5100,0.6300
1784777896.749798,8743,8705,2430,3105,175.8000,-1.3700
1784777896.801991,8818,8668,2477,3171,181.2100,0.6900
1784777896.854100,8799,8696,2477,3105,178.5100,-0.8100
1784777896.904962,8790,8752,2420,3049,177.6600,-0.7500
1784777896.956579,8799,8743,2467,3180,182.1500,-2.4400
1784777897.007777,8771,8818,2523,3049,180.3100,0.0000
1784777897.059659,8715,8799,2495,3189,186.6200,-0.6300
1784777897.110837,8715,8827,2477,3208,187.6700,1.0000
1784777897.162986,8705,8912,2533,3143,181.2100,-0.4400
1784777897.214042,8677,8930,2542,3189,183.9200,-0.8100
1784777897.265800,8696,8921,2514,3218,180.3100,-0.3700
1784777897.317653,8724,8949,2514,3152,183.9200,-0.0600
1784777897.368804,8715,8959,2580,3021,184.9100,-0.1900
1784777897.420647,8715,8940,2608,3077,185.6200,-0.3700
1784777897.471836,8715,8987,2627,3143,187.6700,2.4400
1784777897.523772,8687,8987,2617,3152,192.0300,-1.0600
1784777897.575326,8705,9005,2608,2946,186.6200,-0.3700
1784777897.626847,8762,8987,2636,2908,182.9600,0.8800
1784777897.678610,8658,9043,2598,2946,186.6200,0.0000
1784777897.729783,8715,8996,2617,3030,181.2100,2.0000
1784777897.781992,8743,9043,2664,2946,175.8000,0.5000
1784777897.832989,8696,9005,2598,2852,175.8000,0.5000
1784777897.884848,8752,9005,2655,2861,178.5100,1.1900
1784777897.936143,8790,9081,2692,2805,175.8000,-0.2500
1784777897.987742,8743,9071,2674,2777,175.0100,1.4400
1784777898.039083,8752,9052,2683,2861,179.3900,-0.6900
1784777898.090783,8743,9034,2692,2917,177.6600,-1.9400
1784777898.142712,8743,9062,2730,2692,175.8000,0.8100
1784777898.194093,8733,8987,2730,3124,182.1500,-0.1900
1784777898.245781,8743,9099,2702,2983,178.5100,1.1200
1784777898.297028,8743,9043,2749,2974,181.2100,1.0000
1784777898.348751,8715,9062,2749,2936,175.8000,0.0600
1784777898.400329,8752,9043,2767,2917,175.0100,1.8100
1784777898.452079,8715,9109,2842,2758,176.6300,-0.8100
1784777898.503671,8743,9099,2805,2702,172.3600,1.3100
1784777898.555047,8668,9090,2767,2589,173.8700,-0.3700
1784777898.606797,8649,9090,2730,2580,167.6900,1.6300
1784777898.657959,8696,9081,2739,2917,167.0500,0.9400
1784777898.709966,8696,9081,2842,2477,170.4000,-0.3700
1784777898.761013,8696,9127,2767,2908,171.1100,-0.6900
1784777898.813117,8630,9137,2711,2533,173.1000,-2.8100
1784777898.864150,8677,9099,2805,2589,173.1000,-4.0000
1784777898.915915,8687,9118,2795,2570,173.1000,0.5600
1784777898.967752,8649,9174,2805,2514,175.8000,-0.3100
1784777899.018888,8630,9099,2852,2617,172.3600,-0.0600
1784777899.070782,8687,9043,2805,2514,176.6300,0.5000
1784777899.122134,8724,8977,2805,2505,172.3600,-0.7500
1784777899.173845,8743,9034,2814,2505,176.6300,0.3100
1784777899.225269,8743,9015,2842,2477,175.8000,0.1200
1784777899.276858,8715,9005,2842,2533,178.5100,-0.2500
1784777899.328727,8733,8884,2814,2552,181.2100,-2.2500
1784777899.379882,8677,8846,2861,2580,183.9200,-1.5000
1784777899.431797,8696,8808,2805,2570,178.5100,-1.1200
1784777899.483194,8696,8893,2805,2552,175.8000,1.0000
1784777899.534817,8668,8827,2833,2561,172.3600,-0.9400
1784777899.586177,8640,8855,2842,2552,167.6900,1.6300
1784777899.637856,8658,8855,2842,2580,171.1100,-1.4400
1784777899.689727,8602,8827,2842,2636,162.2800,3.1300
1784777899.740910,8649,8874,2824,2598,170.4000,-2.8100
1784777899.792771,8640,8827,2870,2608,164.9900,2.1900
1784777899.844168,8640,8808,2899,2598,164.9900,-0.3700
1784777899.895811,8677,8818,2917,2552,164.4000,0.3100
1784777899.947158,8687,8771,2908,2589,168.3500,-0.5600
1784777899.999265,8752,8771,2917,2552,170.4000,-0.0600
1784777900.050165,8752,8715,2946,2505,170.4000,0.7500
1784777900.102832,8715,8771,2870,2495,175.0100,-0.1900
1784777900.153783,8733,8827,2936,2495,179.3900,1.1900
1784777900.205304,8696,8818,2936,2486,175.0100,0.3700
1784777900.256829,8668,8837,2955,2401,176.6300,0.7500
1784777900.308416,8677,8771,2936,2458,175.8000,0.4400
1784777900.359893,8687,8780,2908,2439,175.8000,-0.2500
1784777900.411115,8640,8855,2955,2458,173.1000,0.1900
1784777900.463198,8602,8921,2946,2430,175.8000,1.6300
1784777900.514844,8630,8959,2983,2345,172.3600,-1.0000
1784777900.566039,8621,8912,2992,2420,176.6300,-1.1900
1784777900.617918,8687,8902,3011,2326,173.1000,0.3100
1784777900.669019,8762,8968,3086,2355,173.1000,0.0600
1784777900.721095,8818,8921,3011,2458,167.6900,1.3100
1784777900.772191,8696,8884,3021,2383,167.6900,-0.3700
1784777900.823944,8696,9034,3049,2336,161.7500,0.6900
