timestamp,d0,d1,d2,d3,v_mm_s,gz
1784780603.695504,9005,8808,1623,3855,0.1100,0.0600
1784780603.747279,9005,8865,1642,3855,0.0000,0.0600
1784780603.798592,8921,8865,1613,3931,0.0000,0.0600
1784780603.850337,8949,8827,1548,3837,0.0000,0.0600
1784780603.901767,8949,8818,1604,3799,0.0000,0.0000
1784780603.953416,8996,8818,1632,3846,0.0000,0.0000
1784780604.005239,8949,8846,1642,3809,0.0000,0.0600
1784780604.056681,8930,8827,1829,3818,0.0000,-0.0600
1784780604.108334,8930,8902,2017,3818,0.0000,0.0600
1784780604.159700,8949,8827,1876,3827,0.0000,0.0000
1784780604.211324,8996,8818,1707,3837,0.0000,0.1900
1784780604.262508,8949,8827,1717,3799,0.0000,0.0000
1784780604.314366,8949,8780,1810,3818,0.0000,-0.0600
1784780604.365607,8930,8780,1810,3865,0.0000,0.1200
1784780604.417708,8930,8837,1867,3837,0.0000,0.0600
1784780604.469313,8930,8799,1754,3865,0.0000,0.0600
1784780604.520479,8930,8780,1810,3855,0.0000,0.0600
1784780604.572327,8940,8780,1801,3809,0.0000,0.0600
1784780604.623512,8874,8846,1698,3874,0.0000,0.0000
1784780604.675369,8874,8884,1857,3855,0.0000,0.0000
1784780604.726795,8930,8799,1848,3837,0.0000,0.0000
1784780604.778415,8930,8808,1848,3855,0.0000,-0.0600
1784780604.829738,8940,8865,1510,3865,0.0000,-0.0600
1784780604.881496,8959,8827,1989,3865,0.0000,-0.0600
1784780604.933381,8912,8837,1829,3809,0.0000,0.0000
1784780604.984809,8930,8846,1810,3818,0.0000,0.0000
1784780605.036385,8902,8865,1839,3790,0.0000,0.0000
1784780605.087723,8912,8780,1792,3846,0.0000,0.0600
1784780605.139446,8912,8855,1829,3837,0.0000,0.0600
1784780605.190805,8893,8855,1792,3799,0.0000,-0.0600
1784780605.242480,8968,8855,1801,3762,0.0000,0.0000
1784780605.294304,8940,8762,1801,3827,0.0000,0.1200
1784780605.345778,8940,8827,1820,3837,0.0000,0.0000
1784780605.397433,8930,8837,1904,3780,0.0000,-0.0600
1784780605.448764,8930,8780,1782,3818,0.0000,0.0000
1784780605.500475,8921,8874,1829,3780,0.0000,-0.0600
1784780605.551615,8959,8818,1848,3837,0.0000,0.0600
1784780605.603494,8949,8827,1820,3865,0.0000,0.0000
1784780605.654857,8912,8799,1801,3874,0.0000,0.0000
1784780605.706728,8930,8790,1820,3855,0.0000,0.0000
1784780605.758485,8940,8855,1839,3799,0.0000,-0.0600
1784780605.809541,8940,8808,1792,3827,0.0000,-0.0600
1784780605.861502,8940,8874,1773,3865,0.0000,0.0000
1784780605.912594,8902,8818,1735,3818,0.0000,-0.0600
1784780605.964788,8930,8855,1801,3818,0.0000,0.0000
1784780606.015903,8968,8799,1820,3865,0.0000,0.0600
1784780606.067543,8912,8780,1839,3865,0.0000,-0.0600
1784780606.119426,8930,8818,1867,3902,0.0000,-0.0600
1784780606.170562,8893,8780,1839,3827,0.0000,0.0000
1784780606.222458,8949,8846,1745,3846,0.0000,0.0000
1784780606.273649,8874,8827,1810,3818,0.0000,-0.0600
1784780606.325466,8959,8846,1820,3912,0.0000,0.1200
1784780606.376927,8940,8827,1839,3818,0.0000,-0.1200
1784780606.428574,8977,8827,1820,3799,0.0000,-0.1200
1784780606.479866,8921,8827,1867,3846,0.0000,-0.0600
1784780606.531610,8921,8846,1801,3846,0.0000,-0.0600
1784780606.583669,8912,8808,1801,3790,0.0000,0.0600
1784780606.634862,8912,8855,1773,3874,0.0000,0.0000
1784780606.686513,8912,8855,1764,3827,0.0000,0.0600
1784780606.737829,8912,8846,1886,3827,0.0000,0.0600
1784780606.789556,8959,8846,1886,3827,0.0000,0.0000
1784780606.840791,8977,8827,1782,3827,0.0000,0.0000
1784780606.892627,8930,8818,1773,3790,0.0000,-0.0600
1784780606.944440,8912,8837,1810,3884,0.0000,0.0000
1784780606.995827,8940,8808,1792,3874,0.0000,0.1200
1784780607.047505,8959,8827,1810,3827,0.0000,0.0000
1784780607.098885,8959,8855,1801,3902,0.0000,-0.0600
1784780607.150589,8968,8818,1857,3855,0.0000,0.0600
1784780607.201765,8921,8818,1857,3855,0.0000,0.0000
1784780607.253893,8921,8808,1782,3874,0.0000,0.0000
1784780607.305510,8949,8790,1857,3865,0.0000,-0.1200
1784780607.356879,8921,8780,1839,3846,0.0000,0.0600
1784780607.408542,8930,8855,1886,3780,0.0000,-0.1200
1784780607.459687,8930,8837,1923,3865,0.0000,0.0000
1784780607.511540,8977,8827,1876,3818,0.0000,0.0600
1784780607.562713,8940,8818,1801,3809,0.0000,-0.0600
1784780607.614866,8912,8799,1820,3865,0.0000,-0.0600
1784780607.666517,8977,8827,1792,3827,0.0000,0.0600
1784780607.717705,8940,8818,1782,3799,0.0000,0.0600
1784780607.769495,8921,8837,1782,3837,0.0000,0.0000
1784780607.820679,8912,8855,1792,3855,0.0000,-0.0600
1784780607.872558,8949,8780,1792,3809,0.0000,0.0600
1784780607.923934,8987,8733,1792,3837,0.0000,0.0000
1784780607.975590,8949,8818,1773,3846,0.0000,0.0000
1784780608.026924,8930,8808,1782,3855,0.0000,0.1200
1784780608.078629,8959,8818,1764,3931,0.0000,0.0000
1784780608.130511,8977,8818,1764,3912,0.0000,0.0000
1784780608.181690,8977,8818,1745,3931,0.0000,0.0000
1784780608.233571,8977,8855,1773,3959,0.0000,-0.0600
1784780608.284889,8930,8752,1820,3874,0.0000,0.0000
1784780608.336603,8940,8827,1754,3855,0.0000,0.0600
1784780608.387882,8968,8827,1764,3855,0.0000,0.0600
1784780608.439641,8930,8762,1792,3827,0.0000,-0.0600
1784780608.491528,8921,8818,1773,3846,0.0000,0.1200
1784780608.542694,8921,8808,1773,3865,0.0000,-0.0600
1784780608.594568,8921,8837,1773,3846,0.0000,-0.0600
1784780608.645920,8949,8837,1810,3855,0.0000,-0.1200
1784780608.697605,8930,8762,1820,3809,0.0000,-0.1200
1784780608.748942,8930,8827,1886,3818,0.0000,-0.1200
1784780608.800673,8921,8762,1839,3837,0.0000,0.0000
1784780608.852497,8987,8837,1810,3790,0.0000,0.0000
1784780608.903903,8902,8818,1773,3837,0.0000,0.0000
1784780608.955577,8940,8837,1782,3837,0.0000,-0.0600
1784780609.006951,8949,8837,1810,3846,0.0000,0.0600
1784780609.058618,8930,8799,1857,3893,0.0000,-0.1200
1784780609.109795,8930,8771,1904,3809,0.0000,0.1200
1784780609.161850,8930,8893,1867,3837,0.0000,-0.0600
1784780609.212939,8930,8837,1876,3799,0.0000,0.0600
1784780609.264953,8902,8762,1961,3884,0.0000,0.0000
1784780609.316660,8912,8818,1989,3818,0.0000,0.1200
1784780609.367734,8987,8874,1970,3827,0.0000,0.0000
1784780609.419608,8968,8752,2026,3837,0.0000,0.0000
1784780609.470812,8940,8808,2026,3790,0.0000,0.0000
1784780609.523004,8912,8799,1989,3846,0.0000,0.0000
1784780609.574028,8977,8799,2045,3827,0.0000,0.0000
1784780609.625720,8977,8808,2017,3818,0.0000,0.0600
1784780609.677551,8959,8827,1679,3837,0.0000,-0.0600
1784780609.728747,8912,8827,1773,3837,0.0000,0.0000
1784780609.780802,8968,8771,1492,3846,0.0000,0.0000
1784780609.832029,8968,8874,1482,3799,0.0000,0.0000
1784780609.883827,9024,8808,1529,3799,0.0000,0.0600
1784780609.934955,8959,8790,1510,3874,0.0000,0.1200
1784780609.986727,8874,8799,1501,3855,0.0000,-0.1200
1784780610.038677,8893,8874,1510,3846,0.0000,0.0600
1784780610.089936,8949,8771,1529,3865,0.0000,-0.0600
1784780610.141649,8902,8818,1463,3837,0.0000,-0.0600
1784780610.192981,8949,8818,1567,3827,0.0000,-0.1200
1784780610.244705,8987,8846,1492,3902,0.0000,-0.0600
1784780610.296247,8959,8827,1548,3837,0.0000,0.0600
1784780610.347775,8902,8818,1623,3827,0.0000,0.0600
1784780610.399037,9071,8837,1651,3809,0.0000,0.0600
1784780610.450768,9024,8808,1717,3818,0.0000,0.1200
1784780610.502634,8987,8818,1792,3799,0.0000,-0.0600
1784780610.554439,8921,8818,1745,3809,0.0000,0.0000
1784780610.605694,8921,8827,1810,3809,0.0000,-0.0600
1784780610.657035,8921,8846,1782,3837,0.0000,0.0600
1784780610.708743,9005,8855,1698,3799,0.0000,0.0000
1784780610.759898,9024,8855,1679,3846,0.0000,0.0600
1784780610.812048,9005,9005,1642,3780,0.0000,-0.0600
1784780610.863650,9005,8752,1660,3762,0.0000,0.0600
1784780610.915047,9521,8902,1867,3780,0.0000,-0.0600
1784780610.966694,9278,8846,1810,3799,0.0000,0.0000
1784780611.017883,9127,8921,1904,3827,0.0000,0.0000
1784780611.069756,9184,8696,1914,3855,0.0000,0.0600
1784780611.120895,9193,8733,1876,3799,0.0000,-0.0600
1784780611.173064,9193,8837,1801,3902,0.0000,0.0000
1784780611.224149,9202,8855,1857,3780,0.0000,-0.0600
