timestamp,d0,d1,d2,d3,v_mm_s,gz
1783084711.972454,9118,8611,1679,3621,0.0000,0.1200
1783084711.988288,9503,8658,1689,3621,0.0000,0.1200
1783084712.004286,8733,8611,1717,3677,0.0000,0.1200
1783084712.020502,8705,8574,1745,3668,0.0000,0.1200
1783084712.036258,9099,8611,1707,3687,20.8100,-0.0600
1783084712.051408,9090,8611,1726,3696,20.8100,-0.0600
1783084712.067547,9099,8621,1707,3668,20.8100,-0.0600
1783084712.083346,9109,8630,1764,3602,54.0900,-1.3700
1783084712.101359,9109,8630,1735,3640,54.0900,-1.3700
1783084712.119369,9109,8640,1754,3687,54.0900,-1.3700
1783084712.135560,9165,8583,1792,3687,89.2500,-0.1200
1783084712.151697,8715,8611,1754,3621,89.2500,-0.1200
1783084712.167466,9503,8640,1764,3658,89.2500,-0.1200
1783084712.184464,9503,8546,1717,3668,103.4100,0.8800
1783084712.202435,9062,8546,1764,3612,103.4100,0.8800
1783084712.218581,9090,8555,1773,3649,103.4100,0.8800
1783084712.236508,9090,8602,1754,3668,115.9200,-0.9400
1783084712.252408,8649,8518,1754,3687,115.9200,-0.9400
1783084712.268387,9118,8649,1764,3658,115.9200,-0.9400
1783084712.284994,8687,8536,1745,3640,116.6700,-1.3100
1783084712.302520,8658,8536,1745,3574,116.6700,-1.3100
1783084712.318504,9071,8621,1773,3677,116.6700,-1.3100
1783084712.334536,8696,8536,1745,3612,126.9500,-1.1900
1783084712.350866,8696,8583,1735,3593,126.9500,-1.1900
1783084712.366509,8687,8574,1735,3612,126.9500,-1.1900
1783084712.382513,8724,8565,1792,3546,121.9800,-0.5600
1783084712.398520,8658,8518,1660,3621,121.9800,-0.5600
1783084712.413578,9062,8574,1707,3658,121.9800,-0.5600
1783084712.430535,8696,8555,1717,3658,126.9500,0.0600
1783084712.446604,9081,8499,1679,3649,126.9500,0.0600
1783084712.462586,9118,8490,1670,3565,126.9500,0.0600
1783084712.479274,8696,8480,1689,3583,129.9300,0.0000
1783084712.494586,9052,8583,1698,3574,129.9300,0.0000
1783084712.510608,8724,8593,1670,3630,129.9300,0.0000
1783084712.526613,8696,8490,1623,3621,143.5100,-0.2500
1783084712.541886,8696,8574,1642,3574,143.5100,-0.2500
1783084712.558597,8677,8527,1632,3593,143.5100,-0.2500
1783084712.574883,9034,8536,1595,3658,143.5100,-0.2500
1783084712.591646,9034,8508,1623,3583,137.8900,1.3700
1783084712.608848,8733,8536,1595,3658,137.8900,1.3700
1783084712.623728,8687,8546,1651,3583,137.8900,1.3700
1783084712.639665,9024,8518,1595,3574,143.5100,1.5600
1783084712.657648,9024,8574,1604,3574,143.5100,1.5600
1783084712.673887,8677,8490,1642,3602,148.4900,0.0000
1783084712.689675,9127,8527,1585,3602,148.4900,0.0000
1783084712.705726,9081,8565,1604,3602,148.4900,0.0000
1783084712.721984,8677,8527,1576,3537,148.4900,0.0000
1783084712.737696,9052,8536,1585,3602,151.4600,1.6300
1783084712.753721,8743,8555,1585,3621,151.4600,1.6300
