timestamp,d0,d1,d2,d3,v_mm_s,gz
1785147132.809084,9043,8874,1754,3705,0.0000,0.0000
1785147132.834383,9043,8912,1745,3724,0.0000,0.0000
1785147132.860968,9062,8818,1698,3696,26.0100,0.0000
1785147132.885468,9052,8827,1792,4165,26.0100,0.0000
1785147132.910932,9090,8912,1848,4090,59.5000,0.0000
1785147132.937627,9071,8968,1745,4409,59.5000,0.0000
1785147132.961774,9409,8874,1707,4418,83.8500,-0.0600
1785147132.986441,9156,8902,1773,4362,83.8500,-0.0600
1785147133.013438,9052,8818,1689,4400,91.9600,-0.2500
1785147133.037186,9062,8912,1679,4418,91.9600,-0.2500
1785147133.061946,9071,8865,1689,4353,97.3700,-0.3100
1785147133.087965,9024,8902,1689,4362,97.3700,-0.3100
1785147133.113225,9062,8977,1707,4381,113.6000,-0.3100
1785147133.138014,9071,9315,1764,4390,113.6000,-0.3100
1785147133.163698,9071,9324,1764,4353,108.1900,-0.3100
1785147133.188710,9062,9109,1707,4418,108.1900,-0.3100
1785147133.214368,9043,9024,1754,4343,114.0200,-0.2500
1785147133.239779,8959,9118,1660,4381,114.0200,-0.2500
1785147133.264913,9034,9202,1660,4156,118.6800,-0.1900
1785147133.289936,8940,8902,1773,4381,118.6800,-0.1900
1785147133.316274,8940,8921,1707,4484,116.6700,-0.1300
1785147133.341180,8959,9362,1698,4221,116.6700,-0.1300
1785147133.366071,9052,9015,1698,3780,124.1900,-0.1300
1785147133.391817,9099,8930,1764,3818,124.1900,-0.1300
1785147133.417990,9099,8902,1726,4071,127.1200,-0.0600
1785147133.442523,9071,9015,1810,4137,127.2800,0.0600
1785147133.468659,9081,8996,1801,3884,127.2800,0.0600
1785147133.492772,9062,8977,1726,4287,127.2800,0.0600
1785147133.517757,8968,9137,1726,4184,135.2300,0.0600
1785147133.543938,8968,9165,1735,4024,135.2300,0.0600
1785147133.568992,8996,9052,1801,3893,135.2300,0.0600
1785147133.593707,9202,9165,1754,3762,137.8900,0.0600
1785147133.620376,9127,9193,1754,3790,137.8900,0.0600
1785147133.646301,9090,9343,1773,4625,143.5100,0.1300
1785147133.670903,9005,9062,1773,4559,143.5100,0.1300
1785147133.698223,8959,9146,1726,4446,145.8400,0.1900
1785147133.720690,8874,9071,1773,4343,145.8400,0.1900
1785147133.747430,9146,9071,1745,4231,154.5500,0.2500
1785147133.772538,9146,9090,1782,4212,154.5500,0.2500
1785147133.799319,9052,9052,1848,4128,151.1400,0.2500
