timestamp,d0,d1,d2,d3,v_mm_s,gz
1785390142.75067,9437,8658,1613,3677,0,0
1785390142.80455,9212,8583,1660,3715,18.2,0
1785390142.85781,8996,8555,1698,3668,55.68,-0.25
1785390142.90977,8959,8583,1651,3677,46.92,-0.31
1785390142.95942,8977,8546,1698,3762,71.59,-0.25
1785390143.01053,8893,8649,1632,3658,66.24,-0.31
1785390143.06163,9193,8583,1660,3724,78.44,-0.44
1785390143.11545,9334,8574,1660,3734,82.2,-0.81
1785390143.17104,9240,8574,1660,3687,91.08,-0.81
1785390143.22238,9268,8602,1707,3687,86.55,-0.81
1785390143.27156,9568,8640,1689,3705,86.55,-0.75
1785390143.31094,9362,8574,1689,3743,86.55,-0.75
1785390143.35243,9221,8611,1679,3696,87.5,-0.75
1785390143.39284,9306,8602,1670,3705,91.08,-0.81
1785390143.48843,9278,8593,1595,3696,99.36,-0.94
1785390143.53895,8949,8593,1698,3677,103.41,-1
1785390143.58831,8893,8583,1623,3658,113.16,-1.06
1785390143.64068,9287,8621,1707,3677,111.37,-1.12
1785390143.69118,9343,8611,1717,3630,121.44,-1.19
1785390143.74907,8930,8602,1735,3640,119.32,-1.31
1785390143.80766,9249,8574,1689,3602,121.44,-1.37
1785390143.8633,9268,8574,1726,3565,124.42,-1.44
1785390143.91661,9268,8658,1717,3574,124.42,-1.44
1785390143.97816,9231,8677,1773,3593,137.94,-1.37
1785390144.03284,9231,8677,1839,3640,135.23,-1.25
1785390144.0845,9231,8621,1735,3649,143.35,-1.06
1785390144.1393,8902,8593,1810,3583,148.49,-1
1785390144.199,8902,8593,1820,3583,162.83,-1
1785390144.2493,8912,8593,1820,3583,156.45,-0.94
1785390144.28981,8884,8658,1735,3602,162.83,-0.88
1785390144.33035,8912,8602,1782,3574,173.1,-0.88
1785390144.36965,8912,8602,1792,3546,169.71,-0.88
1785390144.47324,8827,8649,1820,3518,192.03,-0.88
1785390144.52507,8855,8611,1895,3508,186.62,-0.94
1785390144.57567,8874,8602,1867,3480,192.03,-1
1785390144.62629,8874,8658,1839,3508,202.85,-1.06
1785390144.68065,8855,8715,1857,3490,197.44,-1
1785390144.73453,8827,8696,1839,3452,197.44,-0.88
1785390144.78915,8893,8555,1839,3433,194.74,-0.75
1785390144.8403,8790,8565,1839,3471,190.92,-0.75
1785390144.8908,8818,8574,1857,3461,201.47,-0.88
1785390144.94437,8837,8583,1923,3452,197.44,-1.12
1785390144.99965,8743,8565,1848,3461,190.92,-1.37
1785390145.0544,8790,8527,1886,3461,195.95,-1.5
1785390145.10534,8790,8593,1914,3415,185.62,-1.62
1785390145.15674,8762,8452,1914,3415,192.03,-1.56
1785390145.20692,8771,8508,1904,3415,193.19,-1.44
1785390145.26053,8771,8508,1886,3377,190.92,-1.19
1785390145.31492,9090,8443,1942,3386,193.57,-0.88
1785390145.36895,8780,8527,1932,3405,195.95,-0.94
1785390145.4176,8855,8461,1923,3368,188.27,-1
1785390145.45791,8799,8471,1951,3386,188.27,-1
1785390145.49752,8799,8461,2036,3368,195.95,-1.12
1785390145.53794,8818,8480,1998,3358,188.27,-1.19
1785390145.63583,8818,8602,2083,3321,194.74,-1.25
1785390145.68879,8790,8518,2045,3340,192.03,-1.25
1785390145.73878,8752,8555,2083,3340,193.57,-1.25
1785390145.78812,8743,8583,2111,3340,195.95,-1.19
1785390145.83743,8733,8536,2101,3321,185.62,-1.06
1785390145.88757,8799,8602,2101,3311,195.95,-0.94
1785390145.94611,8743,8574,2111,3302,192.03,-0.81
1785390146.00015,8687,8630,2139,3386,189.33,-0.88
1785390146.0503,8771,8602,2120,3293,192.03,-0.94
1785390146.10175,8762,8602,2111,3302,192.03,-1.06
1785390146.15296,8743,8593,2167,3321,193.57,-1.19
1785390146.20519,8743,8621,2129,3321,193.19,-1.19
1785390146.25687,8790,8621,2120,3311,193.57,-1.12
1785390146.308,8743,8668,2148,3311,198.71,-1
1785390146.35997,8687,8630,2129,3236,196.22,-0.94
1785390146.40908,8771,8574,2111,3199,204.23,-1
1785390146.45943,8771,8649,2129,3189,202.85,-1.06
1785390146.51104,8752,8621,2148,3208,197.44,-1.19
1785390146.56867,8724,8649,2167,3189,197.44,-1.37
1785390146.62564,8808,8630,2186,3236,201.53,-1.37
1785390146.67384,8808,8593,2195,3208,194.74,-1.31
1785390146.71362,8799,8583,2204,3171,204.23,-1.31
1785390146.7525,8715,8687,2204,3236,204.23,-1.31
1785390146.79098,8705,8593,2176,3208,200.15,-1.25
1785390146.89278,8705,8715,2195,3208,201.47,-1.19
1785390146.94318,8724,8649,2214,3208,200.15,-1.12
1785390146.99178,8696,8752,2251,3161,200.15,-1.19
1785390147.04146,8715,8611,2176,3171,198.87,-1.19
1785390147.09066,8715,8771,2214,3227,204.23,-1.25
1785390147.14363,8715,8668,2270,3227,200.15,-1.31
1785390147.19658,8668,8752,2251,3208,200.15,-1.31
1785390147.2532,8715,8705,2242,3218,193.57,-1.31
1785390147.30298,8715,8743,2298,3152,198.71,-1.31
1785390147.35184,8658,8752,2280,3124,194.74,-1.31
1785390147.4036,8687,8687,2289,3143,192.03,-1.25
1785390147.4602,8696,8696,2298,3161,190.92,-1.25
1785390147.51662,8724,8677,2261,3124,192.03,-1.25
1785390147.56574,8705,8687,2345,3171,194.74,-1.31
1785390147.61653,8687,8705,2298,3143,192.03,-1.37
1785390147.66652,8696,8677,2326,3096,192.03,-1.37
1785390147.72014,8696,8602,2373,2983,194.74,-1.31
