timestamp,d0,d1,d2,d3,v_mm_s,gz
1784778307.499142,8996,8837,1773,3940,22.9600,-0.0600
1784778307.550728,8977,8799,1707,3893,67.6200,0.5600
1784778307.601923,9005,8771,1717,3921,78.4400,-2.6300
1784778307.653763,8959,8874,1735,3940,86.5500,0.6900
1784778307.705003,9024,8865,1792,3902,92.8100,-0.7500
1784778307.757179,8987,8837,1670,3931,100.0700,-0.1200
1784778307.808095,8940,8780,1745,3968,100.7600,0.5000
1784778307.859828,8940,8827,1810,3949,104.8800,0.8800
1784778307.911668,8977,8865,1792,3968,102.7800,2.1300
1784778307.962852,8977,8855,1754,3931,106.0700,-0.4400
1784778308.014737,8902,8808,1754,3912,106.0700,-0.4400
1784778308.066341,8893,8818,1726,3912,105.4800,1.7500
1784778308.117843,8921,8865,1735,3865,110.8900,1.9400
1784778308.169061,8921,8827,1707,3874,108.1900,-0.6300
1784778308.220788,8912,8837,1773,3874,108.1900,1.0000
1784778308.272068,8921,8771,1689,3893,116.6700,0.5000
1784778308.323828,8921,8808,1735,3893,113.6000,-1.2500
1784778308.375841,8949,8827,1745,3837,116.3000,0.3700
1784778308.427066,8949,8855,1754,3818,124.4200,-0.5000
1784778308.478722,8893,8846,1792,3837,127.1200,-0.3100
1784778308.530043,8987,8884,1745,3799,129.8300,0.0600
1784778308.581752,8912,8921,1745,3724,132.5300,-0.4400
1784778308.632974,8912,8902,1773,3780,129.8300,-2.0000
1784778308.684783,8940,8855,1764,3855,132.5800,0.5600
1784778308.736027,8930,8855,1792,3818,137.9900,-0.3100
1784778308.788055,8884,8902,1754,3799,140.6400,0.9400
1784778308.839680,8884,8893,1735,3780,143.3500,-1.1900
1784778308.890848,8968,8977,1745,3715,146.0500,0.3100
1784778308.942755,8968,8949,1754,3734,151.4600,-0.8800
1784778308.993867,8940,8949,1773,3649,156.8700,1.1900
1784778309.045729,8912,8771,1773,3537,159.1000,0.7500
1784778309.097028,8912,8949,1792,3612,165.5900,0.4400
1784778309.148784,8874,8884,1829,3593,164.4000,0.4400
1784778309.200616,8921,8874,1764,3537,167.6900,0.2500
1784778309.251804,8884,8930,1801,3555,175.8000,-2.1300
1784778309.303805,8865,8827,1829,3555,179.3900,-1.0000
1784778309.354826,8893,8912,1839,3602,175.8000,-0.8100
1784778309.406707,8949,9062,1904,3555,172.3600,0.3700
1784778309.458068,8912,8780,1857,3518,178.5100,0.6300
1784778309.509807,8893,8780,1961,3565,181.2100,1.6900
1784778309.561033,8893,8696,1857,3555,181.2100,0.2500
1784778309.612746,8846,8705,1876,3565,178.5100,2.1900
1784778309.663997,8884,8668,1876,3574,182.1500,0.3700
1784778309.715786,8865,8630,1876,3593,178.5100,-0.0600
1784778309.767653,8912,8630,1932,3583,180.3100,0.5600
1784778309.818983,8921,8602,1867,3452,184.9100,0.3700
1784778309.870670,8902,8602,1876,3480,177.6600,-0.6900
1784778309.922009,8902,8630,1942,3527,182.1500,0.7500
1784778309.973761,8874,8630,1857,3574,178.5100,0.6900
1784778310.024861,8884,8658,1895,3555,177.6600,1.1200
1784778310.076728,8874,8724,1979,3527,175.8000,-1.1200
1784778310.128098,8837,8668,1914,3527,182.1500,0.1200
1784778310.179995,8837,8715,1932,3490,169.7100,1.1200
1784778310.231633,8902,8743,1942,3471,176.6300,-0.1900
1784778310.282811,8902,8743,1951,3565,169.7100,0.4400
1784778310.334656,8799,8771,2036,3443,170.4000,0.2500
1784778310.385977,8846,8715,1970,3490,173.1000,-0.2500
1784778310.437696,8921,8780,1998,3499,167.6900,-2.0600
1784778310.488975,8893,8855,2036,3555,170.4000,-0.4400
1784778310.541054,8790,8808,1942,3527,173.1000,-1.6300
1784778310.591979,8827,8771,2017,3621,173.1000,1.0600
1784778310.643764,8780,8818,2054,3499,167.6900,-0.3700
1784778310.695600,8827,8799,2045,3452,175.8000,1.6300
1784778310.746787,8808,8827,2101,3358,170.4000,0.3100
1784778310.798656,8752,8837,2036,3311,170.4000,1.6900
1784778310.849983,8752,8855,2036,3255,164.9900,1.0600
1784778310.901783,8799,8884,2083,3264,173.1000,2.1300
